Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,9100,BOS,MON,16.0,0.8
Marc-Andre Fleury,8900,VGK,CLS,17.5,31.2
David Rittich,8600,CGY,ARI,19.2,27.2
Carey Price,8500,MON,BOS,17.2,12.8
Jordan Binnington,8400,STL,VAN,14.9,34.4
Ben Bishop,8400,DAL,COL,19.5,36.8
Frederik Andersen,8300,TOR,LA,22.7,27.2
John Gibson,8200,ANH,MIN,20.3,5.6
Thomas Greiss,8100,NYI,OTT,23.2,29.6
Philipp Grubauer,8000,COL,DAL,18.0,11.2
Jacob Markstrom,8000,VAN,STL,18.5,12.0
Petr Mrazek,8000,CAR,PHI,14.4,3.2
Connor Hellebuyck,7800,WPG,NJ,18.2,20.8
Robin Lehner,7700,CHI,SJ,15.8,10.4
Antti Raanta,7700,ARI,CGY,16.5,15.2
Carter Hart,7500,PHI,CAR,16.1,34.4
Joonas Korpisalo,7500,CLS,VGK,14.3,10.4
Alex Stalock,7400,MIN,ANH,16.4,27.2
MacKenzie Blackwood,7300,NJ,WPG,15.5,33.6
Martin Jones,7300,SJ,CHI,16.8,19.2
Jon Quick,7200,LA,TOR,10.9,4.0
Craig Anderson,7100,OTT,NYI,13.6,6.4
