Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Marc-Andre Fleury,,,G,9200,VGK,SJ,1,63%,2.85,59.5,57.7,57.7,0.921,0.921,22.2,21.0,21.0,4.9,37.1,18.1,2.0,13.6,1.5
Ben Bishop,,,G,8900,DAL,WPG,1,60%,2.47,52.5,54.6,54.6,0.928,0.928,26.2,18.3,18.3,3.5,33.2,20.5,2.3,18.4,2.1
Matthew Murray,,,G,8800,PIT,@NYI,1,43%,2.93,62.4,58.8,58.8,0.910,0.910,13.4,17.0,17.0,4.3,29.8,17.6,2.0,0.0,0.0
Tuukka Rask,1,,G,8800,BOS,BUF,1,70%,2.21,60.7,60.6,60.6,0.930,0.930,14.1,23.1,23.1,10.2,36.1,21.4,2.4,32.8,3.7
Jordan Binnington,1,,G,8500,STL,CGY,1,56%,2.56,61.9,61.0,61.0,0.920,0.920,18.9,19.3,19.3,9.2,29.4,18.3,2.2,52.0,6.1
Darcy Kuemper,,,G,8500,ARI,TOR,2,50%,3.01,60.5,60.2,60.2,0.937,0.937,23.4,23.6,23.6,8.7,38.5,17.7,2.1,12.0,1.4
Connor Hellebuyck,,,G,8400,WPG,@DAL,1,40%,3.03,60.1,58.6,58.6,0.932,0.932,24.5,23.1,23.1,7.8,38.5,16.8,2.0,8.8,1.0
Petr Mrazek,,,G,8300,CAR,PHI,1,59%,2.75,60.1,54.4,54.4,0.907,0.907,15.2,17.9,17.9,1.6,34.2,17.4,2.1,-1.6,-0.2
David Rittich,,,G,8200,CGY,@STL,1,43%,2.94,60.7,59.9,59.9,0.913,0.913,14.2,18.8,18.8,3.2,34.3,15.2,1.9,0.8,0.1
Mike Smith,,,G,8200,EDM,@LA,1,55%,2.85,60.1,57.2,57.2,0.915,0.915,19.8,17.9,17.9,1.8,34.0,18.6,2.3,-4.8,-0.6
Philipp Grubauer,,Q,G,8100,COL,@MIN,1,48%,3.05,59.7,60.4,60.4,0.918,0.918,18.6,20.5,20.5,11.1,29.8,17.8,2.2,10.4,1.3
Pekka Rinne,,,G,8100,NSH,VAN,1,61%,2.67,48.1,55.7,55.7,0.899,0.899,1.1,16.7,16.7,-0.7,34.1,19.9,2.5,-10.4,-1.3
Frederik Andersen,,,G,8100,TOR,@ARI,1,50%,2.99,60.7,60.2,60.2,0.912,0.912,16.8,18.3,18.3,5.9,30.7,18.9,2.3,32.0,4.0
Thomas Greiss,2,,G,8000,NYI,PIT,1,56%,2.57,60.7,57.5,57.5,0.938,0.938,29.6,25.0,25.0,13.8,36.1,20.6,2.6,18.4,2.3
John Gibson,,,G,8000,ANH,@FLA,2,37%,3.66,59.4,58.3,58.3,0.913,0.913,9.6,17.3,17.3,2.1,32.5,14.2,1.8,-1.6,-0.2
Curtis McElhinney,,,G,7800,TB,@CHI,1,55%,3.09,60.7,60.7,60.7,0.906,0.906,18.9,18.9,18.9,11.2,26.5,18.0,2.3,29.6,3.8
Sergei Bobrovsky,,,G,7800,FLA,ANH,1,63%,2.84,55.1,54.3,54.3,0.887,0.887,15.8,12.8,12.8,-0.8,26.5,20.3,2.6,18.4,2.4
Joonas Korpisalo,,,G,7600,CLS,DET,1,63%,2.63,60.0,58.1,58.1,0.900,0.900,20.0,15.2,15.2,4.5,25.9,19.0,2.5,13.6,1.8
Jon Quick,,,G,7500,LA,EDM,2,45%,3.15,59.1,59.3,59.3,0.878,0.878,18.1,11.1,11.1,-2.9,25.2,15.5,2.1,28.0,3.7
Corey Crawford,,,G,7400,CHI,TB,1,45%,3.41,60.6,59.7,59.7,0.914,0.914,25.9,18.3,18.3,5.7,30.9,16.7,2.3,12.8,1.7
Jacob Markstrom,,,G,7300,VAN,@NSH,1,39%,3.33,59.6,60.5,60.5,0.906,0.906,7.5,14.9,14.9,2.6,27.3,15.0,2.1,36.0,4.9
Brian Elliott,,,G,7300,PHI,@CAR,1,41%,3.25,52.6,50.2,50.2,0.913,0.913,10.9,14.3,14.3,1.2,27.4,15.0,2.1,26.4,3.6
Aaron Dell,,,G,7300,SJ,@VGK,1,37%,3.65,55.6,49.6,49.6,0.878,0.878,11.5,9.6,9.6,-3.8,23.0,11.2,1.5,37.6,5.2
Linus Ullmark,,,G,7300,BUF,@BOS,1,30%,3.29,59.2,60.1,60.1,0.912,0.912,18.1,19.0,19.0,1.9,36.1,14.7,2.0,7.2,1.0
Alex Stalock,,,G,7200,MIN,COL,1,52%,2.95,51.8,50.2,50.2,0.911,0.911,17.3,14.9,14.9,-2.1,31.8,16.8,2.3,24.0,3.3
Jimmy Howard,,,G,7000,DET,@CLS,1,37%,3.37,48.0,53.7,53.7,0.884,0.884,4.8,9.5,9.5,-3.6,22.6,14.9,2.1,5.6,0.8
