Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Christian McCaffrey,,O,RB,6000,CAR,ARI,24.3,ARI by 3,15%,-3%,8%,0.0,0.0,0.0,0.0,0.0,20.5,20.5,0.0,6.0,3.8,4.5,4.5,0.0,0.0,7.4,0,24.9,24.9,24.9,22.0,27.7,0.0,0.0,0.0,0.0
Geno Smith,,,QB,6000,SEA,@MIA,29.5,SEA by 6.5,10%,5%,17%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Easton Stick,,,QB,6000,LAC,@TB,17.8,TB by 7,13%,-36%,6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jameis Winston,,,QB,6000,NO,@DET,29.0,NO by 4,18%,8%,19%,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0
Jacob Eason,,,QB,6000,IND,@CHI,23.0,IND by 2.5,-6%,-3%,-22%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devlin Hodges,,,QB,6000,PIT,@TEN,24.5,PIT by 2,14%,-2%,5%,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kareem Hunt,4,,RB,5900,CLE,@DAL,25.8,DAL by 4.5,-2%,-4%,-7%,0.0,0.0,0.0,0.0,0.0,13.0,13.0,10.4,3.7,5.2,3.7,3.7,3.4,0.7,3.8,22,15.5,15.5,15.5,8.8,22.3,12.0,2.0,19.1,3.2
T.Y. Hilton,1,,WR,5900,IND,@CHI,23.0,IND by 2.5,-6%,-3%,-20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,5.7,5.7,7.3,0.3,7.8,12,6.1,6.1,6.1,4.5,7.7,10.5,1.8,4.4,0.7
Michael Gallup,4,,WR,5900,DAL,CLE,30.3,DAL by 4.5,-5%,24%,-6%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,7.3,0.0,12.9,11,12.0,12.0,12.0,2.7,21.4,11.1,1.9,3.9,0.7
Mike Williams,,Q,WR,5800,LAC,@TB,17.8,TB by 7,13%,-36%,29%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.7,4.7,0.0,0.3,7.1,0,4.5,4.5,4.5,0.7,8.3,0.0,0.0,0.0,0.0
David Montgomery,1,,RB,5800,CHI,IND,20.5,IND by 2.5,-3%,-18%,-22%,0.0,0.0,0.0,0.0,0.0,14.3,14.3,16.8,0.7,4.4,3.0,3.0,2.8,0.7,7.1,31,11.5,11.5,11.5,3.9,19.1,12.8,2.2,9.2,1.6
Emmanuel Sanders,0,,WR,5800,NO,@DET,29.0,NO by 4,18%,8%,21%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3,4.3,5.8,1.7,6.8,10,8.3,8.3,8.3,2.6,14.0,9.3,1.6,12.3,2.1
Jonnu Smith,,,TE,5800,TEN,PIT,22.5,PIT by 2,-23%,-19%,-12%,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,6.7,6.7,,1.3,9.1,,14.2,14.2,14.2,6.9,21.5,0.0,0.0,0.0,0.0
J.K. Dobbins,0,,RB,5700,BAL,@WAS,29.0,BAL by 13,-2%,24%,23%,0.0,0.0,0.0,0.0,0.0,3.3,3.3,5.6,0.7,7.6,1.7,1.7,2.3,0.0,10.2,12,9.1,9.1,9.1,4.6,13.5,7.5,1.3,2.2,0.4
A.J. Green,1,,WR,5700,CIN,JAX,26.3,CIN by 3,0%,22%,-12%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.3,9.3,7.9,0.7,4.1,12,6.0,6.0,6.0,4.4,7.6,10.7,1.9,0.8,0.1
Mike Gesicki,9,,TE,5700,MIA,SEA,23.0,SEA by 6.5,27%,2%,13%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.3,6.3,6.5,1.7,9.2,10,11.8,11.8,11.8,2.0,21.7,9.4,1.6,2.0,0.4
Carlos Hyde,0,Q,RB,5700,SEA,@MIA,29.5,SEA by 6.5,10%,5%,6%,0.0,0.0,0.0,0.0,0.0,5.3,5.3,0.0,0.3,3.6,1.0,1.0,0.0,0.0,8.7,0,5.3,5.3,5.3,2.5,8.1,0.0,0.0,0.0,0.0
Jarvis Landry,3,,WR,5700,CLE,@DAL,25.8,DAL by 4.5,-2%,-4%,-2%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,4.3,4.3,7.5,0.0,11.0,12,6.8,6.8,6.8,5.2,8.4,10.5,1.8,12.8,2.2
Ronald Jones,2,,RB,5600,TB,LAC,24.8,TB by 7,-17%,-3%,1%,0.0,0.0,0.0,0.0,0.0,12.3,12.3,17.4,2.7,3.8,3.0,3.0,3.2,0.7,4.4,34,9.1,9.1,9.1,8.4,9.8,13.4,2.4,15.8,2.8
