Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Nikola Jokic,9,,C,11500,DEN,UTA,2,109,30,31,102,104,-7%,17,17,16,35,34,35,55.7,56.7,44.8,68.7,35.0,53.4,4.6,39.8,68.3,5.9
Joel Embiid,,,C,9800,PHI,@OKC,2,113,29,28,103,108,0%,16,16,15,32,30,31,48.9,48.4,30.6,66.2,0.0,0.0,0.0,,0.0,0.0
Domas Sabonis,16,,PF,9600,IND,@LAC,2,106,25,21,99,111,-10%,17,18,16,38,39,38,47.0,44.8,36.3,53.2,38.0,46.7,4.9,34.3,49.8,5.2
Kawhi Leonard,13,,SF,9400,LAC,IND,1,114,30,27,103,105,-1%,17,17,19,33,35,34,42.9,45.9,35.0,56.7,35.5,47.7,5.1,30.8,31.9,3.4
Malcolm Brogdon,8,,PG,8800,IND,@LAC,2,106,25,23,99,111,-6%,18,20,18,34,37,38,44.8,42.6,33.1,52.2,37.5,40.0,4.5,33.6,31.4,3.6
Paul George,15,,SG,8700,LAC,IND,1,114,29,24,103,105,-1%,15,15,16,34,37,35,41.5,41.8,31.4,52.2,37.0,44.2,5.1,33.7,33.4,3.8
Brandon Ingram,10,,SF,8500,NOR,@SAC,1,115,29,22,103,118,3%,17,18,18,37,37,36,41.9,42.3,31.8,52.8,36.0,42.5,5.0,35.4,28.1,3.3
Ben Simmons,8,,PG,8300,PHI,@OKC,0,113,21,15,103,108,-6%,9,8,9,35,34,34,36.4,38.8,31.0,46.7,0.0,0.0,0.0,,0.0,0.0
Shai Gilgeous-Alexander,7,,SG,8200,OKC,PHI,1,111,26,22,105,104,6%,16,14,15,35,35,34,42.0,38.7,25.9,51.6,0.0,0.0,0.0,,0.0,0.0
Rudy Gobert,3,,C,8000,UTA,@DEN,1,111,17,20,101,111,-14%,7,7,8,27,31,30,36.7,38.2,30.9,45.5,33.0,37.7,4.7,32.9,37.1,4.6
Donovan Mitchell,6,,SG,7800,UTA,@DEN,1,111,32,18,101,111,-15%,18,20,20,30,33,33,37.9,35.5,28.1,43.0,35.5,37.5,4.8,37.9,37.1,4.8
Zion Williamson,13,,PF,7700,NOR,@SAC,1,115,29,22,103,118,-8%,21,18,16,34,34,32,39.0,36.6,25.8,47.4,33.5,39.1,5.1,35.3,39.2,5.1
Tobias Harris,5,,SF,7500,PHI,@OKC,0,113,23,19,103,108,16%,15,16,15,31,33,33,30.4,36.0,24.5,47.4,0.0,0.0,0.0,,0.0,0.0
Mike Conley,7,,PG,7400,UTA,@DEN,1,111,25,20,101,111,16%,10,12,13,27,29,30,34.4,32.9,22.6,43.3,30.5,31.0,4.2,30.7,31.6,4.3
Myles Turner,2,O,C,7400,IND,@LAC,2,106,16,18,99,111,-10%,13,9,10,39,35,32,41.4,37.0,28.3,45.6,0.0,0.0,0.0,,0.0,0.0
De'Aaron Fox,18,,PG,7300,SAC,NOR,1,112,29,17,100,107,-3%,15,14,16,30,30,32,29.9,35.3,21.5,49.1,34.0,37.7,5.2,39,77.3,10.6
