Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Carey Price,,,G,8600,MON,@FLA,0,45%,3.41,60.0,58.8,58.8,0.904,0.904,17.0,16.6,16.6,3.0,30.1,15.2,1.8,-1.6,-0.2
Antti Raanta,,,G,8300,ARI,DAL,0,51%,2.48,39.9,54.2,54.2,0.915,0.915,7.5,17.2,17.2,3.1,31.3,20.1,2.4,4.8,0.6
Anton Khudobin,,,G,8100,DAL,@ARI,0,49%,2.52,54.8,55.5,55.5,0.928,0.928,19.8,20.0,20.0,6.5,33.5,18.8,2.3,30.4,3.8
Tuukka Rask,,,G,8100,BOS,BUF,1,67%,2.28,60.8,60.6,60.6,0.923,0.923,11.5,21.0,21.0,8.1,34.0,20.7,2.6,23.2,2.9
Sergei Bobrovsky,,,G,7800,FLA,MON,0,55%,3.09,59.5,56.3,56.3,0.899,0.899,15.8,14.9,14.9,1.6,28.3,18.4,2.4,22.4,2.9
Curtis McElhinney,,,G,7700,TB,DET,0,78%,2.30,59.0,59.8,59.8,0.903,0.903,15.8,15.7,15.7,4.4,27.0,23.9,3.1,23.2,3.0
David Rittich,,,G,7700,CGY,VAN,1,65%,2.35,60.4,60.4,60.4,0.916,0.916,22.7,20.0,20.0,6.5,33.5,20.2,2.6,-8.8,-1.1
Jacob Markstrom,,,G,7600,VAN,@CGY,0,35%,3.15,59.6,59.9,59.9,0.919,0.919,27.2,19.5,19.5,5.0,34.0,15.2,2.0,0.0,0.0
John Gibson,,,G,7600,ANH,PHI,1,49%,2.77,61.1,59.5,59.5,0.907,0.907,16.0,16.3,16.3,2.5,30.0,19.2,2.5,18.4,2.4
Jonathan Bernier,,Q,G,7300,DET,@TB,0,22%,4.20,47.0,53.9,53.9,0.897,0.897,15.8,12.3,12.3,0.8,23.7,9.7,1.3,21.6,3.0
Linus Ullmark,,,G,7200,BUF,@BOS,1,33%,3.22,59.6,59.9,59.9,0.914,0.914,11.8,18.6,18.6,4.4,32.8,15.4,2.1,3.2,0.4
Brian Elliott,,,G,7200,PHI,@ANH,0,51%,2.73,56.7,52.6,52.6,0.903,0.903,13.3,14.7,14.7,0.3,29.0,18.3,2.5,29.6,4.1
