Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Nikola Jokic,13,,C,11200,DEN,@DAL,1,113,31,31,101,107,5%,24,22,18,41,37,36,61.4,57.9,47.2,68.6,34.5,54.2,4.8,33.9,41.0,3.7
Luka Doncic,14,,PG,10700,DAL,DEN,1,111,37,26,100,110,-6%,23,20,21,33,35,35,52.7,53.3,37.9,68.7,36.0,52.8,4.9,39,82.2,7.7
Karl-Anthony Towns,,O,C,10500,MIN,@GSW,11,109,27,27,106,108,4%,17,16,16,36,33,33,50.6,50.6,48.6,52.6,0.0,0.0,0.0,,0.0,0.0
Kevin Durant,8,,SF,10400,BKN,MIA,1,122,31,28,102,110,12%,22,22,20,44,39,36,55.6,51.3,40.7,61.9,36.5,49.5,4.8,37.8,51.1,4.9
Joel Embiid,6,O,C,10200,PHI,@DET,1,111,31,31,101,110,7%,18,17,16,33,32,32,55.3,50.6,34.2,67.0,0.0,0.0,0.0,,0.0,0.0
Anthony Davis,7,,PF,10100,LAL,@CLE,1,113,26,26,100,106,7%,20,16,16,33,33,33,52.4,47.2,36.8,57.7,33.0,46.8,4.6,35.6,50.0,5.0
James Harden,8,,SG,9800,BKN,MIA,1,122,30,22,102,110,5%,11,16,17,38,41,38,50.2,48.4,35.0,61.7,37.0,49.3,5.0,34.5,39.8,4.1
LeBron James,6,,SF,9800,LAL,@CLE,1,113,33,23,100,106,3%,21,18,18,33,33,32,42.9,44.6,36.7,52.5,33.0,46.1,4.7,38.1,73.6,7.5
Damian Lillard,15,,PG,9700,POR,OKC,0,116,31,26,103,109,-9%,20,20,19,35,38,36,52.7,45.5,32.7,58.2,38.0,52.3,5.4,38.6,45.2,4.7
Jayson Tatum,2,,PF,9600,BOS,@CHI,16,116,31,23,107,110,-4%,24,23,21,36,36,35,46.8,44.1,35.1,53.2,31.0,39.2,4.1,31.3,37.3,3.9
Bam Adebayo,17,,PF,9600,MIA,@BKN,1,115,25,24,104,109,3%,17,15,12,36,35,32,45.9,41.2,29.9,52.5,35.0,50.4,5.2,35.3,45.5,4.7
Stephen Curry,12,,PG,9600,GSW,MIN,1,118,32,23,104,110,8%,18,20,20,33,35,34,42.1,44.4,32.1,56.8,35.0,48.9,5.1,33.9,51.3,5.3
Domas Sabonis,4,,PF,9600,IND,TOR,0,111,24,20,103,105,7%,12,14,15,43,40,38,47.5,45.2,37.0,53.4,37.5,45.6,4.8,10.8,15.6,1.6
Kyrie Irving,8,,PG,9400,BKN,MIA,1,122,31,27,102,110,4%,21,22,21,34,37,35,51.0,46.9,38.9,54.9,35.0,44.3,4.7,39.8,32.6,3.5
Nikola Vucevic,6,,C,9400,ORL,CHA,0,107,28,25,102,107,4%,26,23,19,38,38,33,50.4,45.5,36.5,54.5,34.5,46.7,5.0,36.3,52.9,5.6
Zach LaVine,9,,SG,9000,CHI,BOS,1,112,29,21,102,108,-5%,18,16,19,36,37,36,43.7,42.8,30.4,55.2,36.0,42.6,4.7,34.3,41.7,4.6
Jaylen Brown,10,,SF,9000,BOS,@CHI,0,116,32,26,107,110,-5%,26,21,20,34,33,34,43.6,42.8,32.4,53.3,35.0,40.1,4.5,29.8,39.0,4.3
Kristaps Porzingis,4,,PF,8700,DAL,DEN,2,111,25,23,100,110,-4%,15,16,16,33,32,30,39.8,37.6,28.9,46.4,32.5,37.8,4.3,33,27.7,3.2
C.J. McCollum,,O,SG,8700,POR,OKC,8,116,29,26,103,109,-2%,21,19,21,38,34,35,42.7,44.6,35.4,53.8,0.0,0.0,0.0,,0.0,0.0
Andre Drummond,2,,C,8700,CLE,LAL,0,101,31,21,103,102,-7%,11,14,16,23,29,31,42.9,45.2,28.2,62.2,27.5,39.2,4.5,28,44.9,5.2
Jimmy Butler,,O,SF,8600,MIA,@BKN,10,115,26,22,104,109,-8%,19,12,13,35,28,29,34.9,37.1,18.5,55.7,0.0,0.0,0.0,,0.0,0.0
Jerami Grant,8,,SF,8400,DET,PHI,1,106,26,20,105,104,-5%,17,19,19,35,36,37,44.1,40.8,30.8,50.8,35.5,38.9,4.6,32.4,48.1,5.7
