Player Name,Pos,Salary,Team,Proj FP,Actual FP
Josh Okogie,SF,3900,MIN,0.0,0.0
Jabari Parker,PF,3800,SAC,0.0,0.0
Solomon Hill,SF,3800,ATL,12.6,12.2
Kevin Knox,SF,3800,NYK,11.4,15.3
Immanuel Quickley,PG,3800,NYK,13.3,41.0
Marcus Morris,PF,3800,LAC,18.7,21.5
Desmond Bane,SG,3800,MEM,0.0,0.0
Marc Gasol,C,3800,LAL,17.4,11.9
Dwayne Bacon,SG,3800,ORL,16.0,26.1
Reggie Jackson,SG,3800,LAC,22.2,23.3
Xavier Tillman,PF,3700,MEM,0.0,0.0
Cory Joseph,PG,3700,SAC,13.6,2.4
James Ennis,SF,3700,ORL,15.5,3.2
Luke Kennard,SG,3700,LAC,15.4,32.0
Theo Maledon,PG,3700,OKC,13.9,14.6
Reggie Bullock,SG,3700,NYK,15.2,13.2
Aaron Nesmith,SG,3600,BOS,0.0,10.0
Torrey Craig,SG,3600,MIL,0.0,0.0
Ed Davis,C,3600,MIN,0.0,0.0
Justin Jackson,SF,3600,OKC,0.0,0.0
Alex Caruso,PG,3600,LAL,12.2,24.6
Guillermo Hernangomez,C,3600,NOR,0.0,0.0
Gary Clark,PF,3600,ORL,11.2,11.6
D.J. Augustin,PG,3600,MIL,13.6,10.9
Denzel Valentine,SF,3600,CHI,0.0,17.3
Tony Snell,SG,3600,ATL,0.0,4.2
Chimezie Metu,C,3600,SAC,0.0,24.1
Naji Marshall,SF,3500,NOR,0.0,2.7
Jared Harper,PG,3500,NYK,0.0,0.0
Jontay Porter,SF,3500,MEM,0.0,0.0
Skylar Mays,SG,3500,ATL,0.0,0.0
Marques Bolden,PF,3500,CLE,0.0,0.0
Killian Tillie,PF,3500,MEM,0.0,0.0
Josh Hall,SF,3500,OKC,0.0,0.0
Amir Coffey,PF,3500,LAC,0.0,7.7
Mamadi Diakite,PF,3500,MIL,0.0,0.0
Moses Brown,C,3500,OKC,0.0,0.0
Devontae Cacok,PF,3500,LAL,0.0,0.0
Nate Hinton,SG,3500,DAL,0.0,0.0
Will Magnay,C,3500,NOR,0.0,0.0
Karim Mane,PG,3500,ORL,0.0,3.0
Kira Lewis,PG,3500,NOR,8.4,7.0
Lamar Stevens,PF,3500,CLE,12.7,18.0
Tyler Bey,SF,3500,DAL,0.0,0.0
Taj Gibson,PF,3500,NYK,0.0,0.0
Tyrell Terry,PG,3500,DAL,0.0,9.2
Sean McDermott,SF,3500,MEM,0.0,0.0
Ashton Hagans,SG,3500,MIN,0.0,0.0
Robert Woodard,PF,3500,SAC,0.0,2.0
Trent Forrest,SG,3500,UTA,0.0,0.0
Josh Green,SG,3500,DAL,10.4,8.6
Daniel Oturu,C,3500,LAC,0.0,10.3
Jordan Nwora,PF,3500,MIL,0.0,0.0
Udoka Azubuike,C,3500,UTA,0.0,-0.8
Elijah Hughes,SF,3500,UTA,0.0,2.5
Nathan Knight,PF,3500,ATL,0.0,0.0
Jaden McDaniels,SF,3500,MIN,0.0,0.0
Sam Merrill,PG,3500,MIL,0.0,0.0
Onyeka Okongwu,C,3500,ATL,0.0,14.0
Daniel Gafford,PF,3500,CHI,0.0,0.0
Shaquille Harrison,PG,3500,UTA,0.0,4.8
Darius Miller,SF,3500,OKC,0.0,0.0
Tim Frazier,PG,3500,MEM,0.0,0.0
Dennis Smith Jr.,PG,3500,NYK,0.0,0.0
Quinn Cook,PG,3500,LAL,0.0,0.0
Kenrich Williams,SF,3500,OKC,10.0,29.0
Wenyen Gabriel,PF,3500,NOR,0.0,0.0
Jaylen Adams,PG,3500,MIL,0.0,0.0
Jaren Jackson,PF,3500,MEM,0.0,0.0
Alfonzo McKinnie,SF,3500,LAL,0.0,0.0
D.J. Wilson,PF,3500,MIL,0.0,0.0
Glenn Robinson III,SF,3500,SAC,12.2,4.2
Nerlens Noel,PF,3500,NYK,12.7,28.8
Wesley Iwundu,SG,3500,DAL,14.9,11.7
Sindarius Thornwell,SG,3500,NOR,0.0,0.0
Bryn Forbes,SG,3500,MIL,10.8,6.9
Jake Layman,SF,3500,MIN,0.0,0.0
Boban Marjanovic,C,3500,DAL,15.7,4.4
Cristiano Felicio,C,3500,CHI,0.0,0.0
Georges Niang,PF,3500,UTA,11.3,18.7
Ryan Arcidiacono,PG,3500,CHI,0.0,0.0
Theo Pinson,SG,3500,NYK,0.0,0.0
Jordan McLaughlin,PG,3500,MIN,0.0,0.0
Patrick Patterson,PF,3500,LAC,0.0,0.0
Mfiondu Kabengele,SF,3500,LAC,0.0,2.0
Jaxson Hayes,C,3500,NOR,11.6,14.8
Wesley Matthews,SG,3500,LAL,7.2,1.5
Dean Wade,PF,3500,CLE,11.7,1.2
Adam Mokoka,SG,3500,CHI,0.0,0.0
Nicolo Melli,PF,3500,NOR,0.0,12.3
Kyle Guy,SG,3500,SAC,0.0,0.0
Ignas Brazdeikis,SF,3500,NYK,0.0,0.0
Terance Mann,SG,3500,LAC,12.3,31.3
Jaylen Nowell,PG,3500,MIN,0.0,0.0
Jordan Bone,PG,3500,ORL,11.3,15.6
Nemanja Bjelica,PF,3500,SAC,10.6,0.0
Jarrell Brantley,SF,3500,UTA,0.0,0.0
Miye Oni,SG,3500,UTA,9.8,7.2
Justin James,SG,3500,SAC,0.0,8.2
Bruno Fernando,PF,3500,ATL,0.0,2.2
Thanasis Antetokounmpo,SF,3500,MIL,0.0,4.0
