Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Delon Wright,4,,PG,5500,DET,@MIA,2,106,15,12,104,109,7%,10,8,7,34,27,26,21.7,20.6,9.7,31.5,24.5,20.4,3.7,25.6,29.8,5.4
Kelly Olynyk,6,,C,5300,MIA,DET,1,112,17,14,101,111,-2%,13,11,10,42,33,30,28.9,26.9,19.6,34.2,30.5,29.9,5.6,24.1,9.6,1.8
Enes Kanter,14,,C,5200,POR,ATL,1,120,18,26,103,108,-6%,5,6,7,17,16,19,23.8,23.5,14.1,32.8,24.5,30.0,5.8,28.6,55.5,10.7
Tyrese Maxey,11,,SG,5000,PHI,@MEM,1,111,23,15,103,104,3%,14,17,11,31,32,21,34.7,19.9,4.2,35.7,29.5,25.1,5.0,24.6,15.6,3.1
Kevin Huerter,6,,SG,4900,ATL,@POR,0,115,19,14,103,111,-6%,10,12,11,23,29,27,22.3,23.0,17.3,28.6,33.0,26.1,5.3,36,26.2,5.3
Danny Green,9,,SF,4900,PHI,@MEM,1,111,17,11,103,104,-9%,17,13,9,38,34,28,27.7,22.3,9.1,35.5,31.5,25.1,5.1,35.9,24.1,4.9
Duncan Robinson,9,,SF,4900,MIA,DET,1,112,16,11,101,111,6%,16,12,10,40,36,32,25.5,22.1,15.3,28.9,34.0,25.4,5.2,35.5,34.3,7.0
Grayson Allen,,,SG,4700,MEM,PHI,2,112,15,12,105,105,9%,8,6,6,22,20,21,18.9,15.3,6.9,23.7,18.0,12.8,2.7,26.4,25.4,5.4
Gabe Vincent,3,,PG,4700,MIA,DET,1,112,27,13,101,111,6%,19,14,14,36,29,29,25.9,25.9,14.0,37.8,31.0,25.3,5.4,15.6,8.4,1.8
Justise Winslow,,O,SF,4700,MEM,PHI,n/a,112,,,105,105,3%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
De'Anthony Melton,2,,PG,4600,MEM,PHI,2,112,20,14,105,105,9%,10,8,8,22,20,21,23.0,21.3,14.7,28.0,20.5,19.9,4.3,12.1,8.7,1.9
Norman Powell,1,,SG,4600,TOR,CHA,1,114,20,10,102,106,-9%,11,9,9,20,23,23,18.9,16.6,9.3,23.9,23.5,18.4,4.0,28.4,30.6,6.7
Seth Curry,,O,SG,4500,PHI,@MEM,9,111,17,21,103,104,3%,11,11,10,31,31,30,29.9,27.0,18.4,35.6,0.0,0.0,0.0,,0.0,0.0
Cam Reddish,4,O,SG,4500,ATL,@POR,0,115,20,10,103,111,2%,11,13,11,26,29,28,22.9,22.4,13.6,31.2,0.0,0.0,0.0,0,0.0,0.0
John Konchar,0,,SG,4400,MEM,PHI,2,112,13,18,105,105,9%,5,5,5,22,20,20,20.7,20.7,12.7,28.8,0.0,0.0,0.0,0,0.0,0.0
Dwight Howard,12,,C,4400,PHI,@MEM,1,111,16,15,103,104,10%,3,5,4,18,22,17,21.7,17.0,9.4,24.6,25.5,28.4,6.5,33.9,40.1,9.1
Robert Covington,13,,PF,4400,POR,ATL,1,120,12,7,103,108,-1%,10,7,7,29,29,31,18.3,20.4,14.0,26.9,33.5,27.1,6.2,28,24.5,5.6
Cody Zeller,,O,C,4400,CHA,@TOR,23,108,,,103,108,-4%,6,6,6,19,19,19,20.6,20.6,20.6,20.6,0.0,0.0,0.0,,0.0,0.0
Josh Jackson,1,,SF,4400,DET,@MIA,2,106,25,14,104,109,7%,7,9,11,19,20,23,15.5,22.4,12.4,32.4,18.5,18.0,4.1,21.9,19.0,4.3
Miles Bridges,3,,SF,4300,CHA,@TOR,1,108,16,11,103,108,13%,8,7,8,29,28,26,19.5,22.1,13.3,31.0,26.5,21.5,5.0,25.8,22.2,5.2
Bismack Biyombo,2,,C,4300,CHA,@TOR,1,108,13,13,103,108,-4%,5,4,6,25,25,26,20.2,22.2,15.8,28.7,24.5,20.6,4.8,33.5,26.7,6.2
Gorgui Dieng,,,C,4300,MEM,PHI,2,112,19,20,105,105,-11%,3,6,6,16,19,17,20.7,19.5,11.6,27.3,0.0,0.0,0.0,0,0.0,0.0
Carmelo Anthony,8,,SF,4200,POR,ATL,1,120,19,14,103,108,12%,8,10,9,21,24,25,22.6,21.0,13.2,28.8,25.5,21.6,5.1,28.7,16.7,4.0
Precious Achiuwa,2,,SF,4200,MIA,DET,1,112,19,16,101,111,-2%,8,6,6,32,22,18,20.7,17.4,8.6,26.3,17.0,17.1,4.1,11.3,9.8,2.3
Danilo Gallinari,,O,SF,4200,ATL,@POR,14,115,,,103,111,2%,4,4,4,14,14,14,12.8,12.8,3.5,22.0,0.0,0.0,0.0,,0.0,0.0
Tony Bradley,1,,PF,4200,PHI,@MEM,1,111,,,103,104,10%,3,5,5,8,14,14,20.7,20.7,7.3,34.1,18.5,22.1,5.3,9.1,7.4,1.8
Brandon Goodwin,,,PG,4000,ATL,@POR,0,115,20,10,103,111,13%,9,7,6,19,16,15,13.6,11.7,3.4,20.0,12.0,9.7,2.4,15,15.2,3.8
Derrick Jones Jr.,4,,SF,3900,POR,ATL,1,120,11,9,103,108,-1%,5,4,6,22,21,27,16.9,17.3,9.1,25.6,27.0,19.5,5.0,34.1,24.8,6.4
Rajon Rondo,,,PG,3900,ATL,@POR,0,115,,,103,111,13%,3,5,5,17,17,17,13.1,13.1,-0.4,26.6,15.5,14.0,3.6,8.9,7.8,2.0
Xavier Tillman,1,,PF,3900,MEM,PHI,2,112,15,18,105,105,-5%,7,7,6,18,18,18,19.0,18.0,11.5,24.6,18.0,16.0,4.1,27.8,33.8,8.7
Caleb Martin,1,,SF,3900,CHA,@TOR,1,108,19,15,103,108,13%,8,6,6,20,17,16,17.5,15.5,7.7,23.2,16.0,13.6,3.5,5.5,4.0,1.0
Saddiq Bey,1,,SF,3800,DET,@MIA,2,106,19,12,104,109,7%,9,9,9,23,26,23,19.1,17.8,7.5,28.0,24.0,17.6,4.6,11.1,6.2,1.6
Andre Iguodala,1,,SG,3800,MIA,DET,1,112,13,8,101,111,6%,6,5,4,24,19,19,15.5,13.6,7.7,19.5,21.0,17.1,4.5,21.4,0.7,0.2
Kris Dunn,,O,PG,3800,ATL,@POR,n/a,115,,,103,111,13%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Harry Giles,,,PF,3800,POR,ATL,1,120,,,103,108,12%,2,2,2,8,7,8,8.3,9.8,5.2,14.3,15.0,17.0,4.5,11.4,10.5,2.8
Solomon Hill,,,SF,3800,ATL,@POR,0,115,13,8,103,111,2%,6,4,5,23,18,18,14.7,12.3,3.5,21.0,23.0,15.8,4.2,25.7,8.5,2.2
Desmond Bane,,,SG,3800,MEM,PHI,2,112,15,10,105,105,9%,5,6,7,18,21,23,14.2,15.0,9.0,21.1,18.5,12.2,3.2,18.5,13.9,3.7
Malik Monk,,,SG,3800,CHA,@TOR,1,108,,,103,108,3%,4,3,3,12,11,11,7.5,7.5,-1.9,17.0,0.0,0.0,0.0,3.9,1.0,0.3
Matt Thomas,,,SG,3800,TOR,CHA,1,114,,,102,106,-9%,2,5,5,5,12,12,10.6,10.6,1.2,20.1,0.0,0.0,0.0,,0.0,0.0
Sviatoslav Mykhailiuk,,,SG,3700,DET,@MIA,2,106,21,14,104,109,7%,9,8,8,17,19,17,16.8,14.7,8.2,21.2,15.0,11.6,3.1,1.9,3.0,0.8
Isaiah Joe,,,PG,3700,PHI,@MEM,1,111,15,11,103,104,-9%,9,9,7,28,27,20,19.7,14.3,3.0,25.7,16.0,11.1,3.0,15.7,6.5,1.8
Dakota Mathias,,,SG,3700,PHI,@MEM,1,111,18,10,103,104,-9%,3,7,6,7,21,15,13.1,10.9,0.2,21.5,0.0,0.0,0.0,0,0.0,0.0
Max Strus,,,SF,3700,MIA,DET,1,112,14,12,101,111,6%,8,7,7,26,21,21,14.4,14.4,6.0,22.7,0.0,0.0,0.0,8.3,1.5,0.4
Killian Hayes,,O,PG,3700,DET,@MIA,11,106,20,-1,104,109,2%,6,7,7,19,21,21,10.4,9.7,0.8,18.7,0.0,0.0,0.0,,0.0,0.0
Isaiah Stewart,,,PF,3700,DET,@MIA,2,106,13,13,104,109,7%,5,4,4,16,16,17,13.7,14.3,9.8,18.8,14.5,11.9,3.2,19,28.2,7.6
Matisse Thybulle,0,,SF,3600,PHI,@MEM,1,111,11,8,103,104,-9%,5,4,3,17,17,13,14.4,9.7,1.1,18.3,18.5,13.9,3.9,19.6,24.5,6.8
Kendrick Nunn,1,,PG,3600,MIA,DET,6,112,24,10,101,111,6%,4,6,6,6,12,12,10.3,10.3,-3.0,23.6,17.0,16.0,4.4,27.2,9.5,2.6
Wayne Ellington,2,,SG,3600,DET,@MIA,2,106,18,14,104,109,7%,7,6,7,14,15,16,13.3,13.0,4.0,21.9,16.5,11.0,3.1,26.1,9.2,2.6
