Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Giannis Antetokounmpo,SF,MIL,vs LAC,4th,118.75,12300,47.8,87.8,59.6,5.5,1.89,67.79,9.74,11.42,9.33,37.8,20.3,31.6,34.50,64.92,64.92,100,,81,5.3,Y,26,42.20,3.4
Karl-Anthony Towns,C,MIN,@ OKC,12th,107.50,11000,36,80,51.3,4.3,1.54,55.45,15.15,12.58,15.26,28.3,17.6,33.3,36.25,54.82,54.82,100,,75,5,Y,37,60.00,5.5
LeBron James,SF,LAL,@ POR,17th,114.50,10800,36.6,76.7,51.9,10.8,1.50,53.90,10.89,11.44,10.74,32.0,19.7,34.7,35.50,53.80,53.80,100,,78,5,Y,34,51.40,4.8
Anthony Davis,PF,LAL,@ POR,29th,114.50,10700,39.7,72.6,51.8,3.2,1.51,54.47,11.16,9.40,11.01,30.2,18.5,34.2,35.50,53.79,53.79,100,,82,5,Y,32,64.80,6.1
Andre Drummond,C,DET,vs IND,24th,105.50,10600,27.8,74.8,49.3,3.2,1.45,52.30,11.69,13.43,11.2,24.8,13.5,34.0,34.50,47.92,47.92,100,,73,4.5,Y,41,66.90,6.3
Bradley Beal,SG,WAS,@ MIA,24th,109.75,9800,31.6,73.2,44.9,7.0,1.22,43.90,9.71,11.89,10.92,31.6,21.7,36.9,40.50,49.39,49.39,100,,74,5,Y,39,39.80,4.1
Kyrie Irving,PG,BKN,@ CHA,29th,111.00,9700,0,25.3,48.3,7.2,1.43,51.42,10.90,12.67,0,32.4,22.9,33.8,0.00,0.00,0.00,100,,74,0,,,,
Kawhi Leonard,PF,LAC,@ MIL,7th,114.75,9400,37.1,66.4,47.2,5.3,1.52,54.63,10.22,8.37,9.51,35.3,20.5,31.1,33.50,49.61,49.61,100,,82,5.3,Y,29,36.00,3.8
Damian Lillard,PG,POR,vs LAL,5th,110.50,9400,31.2,64.9,45.2,7.4,1.23,44.48,8.48,9.64,8.77,27.9,18.5,36.6,37.25,45.61,45.61,100,,79,4.9,Y,41,45.40,4.8
Jimmy Butler,SG,MIA,vs WAS,27th,118.75,9100,36.8,67.6,43.6,6.5,1.28,46.20,9.62,8.81,10.29,25.6,13.4,34.0,38.50,49.99,49.99,100,,80,5.5,Y,36,63.70,7
Paul George,SF,LAC,@ MIL,7th,114.75,9000,26.6,64.1,37.5,3.5,1.28,46.02,19.76,10.73,18.39,31.6,16.6,29.4,33.50,42.68,42.68,100,,71,4.7,Y,31,19.40,2.2
Domantas Sabonis,PF,IND,@ DET,21st,106.50,8600,28.3,54.1,40.3,3.7,1.18,42.43,9.22,7.38,8.64,24.1,14.2,34.2,33.75,39.36,39.36,100,,82,4.6,Y,34,45.10,5.2
Spencer Dinwiddie,PG,BKN,@ CHA,29th,111.00,8500,21.4,63.2,34.5,5.8,1.17,42.25,9.62,11.94,8.89,30.1,16.0,29.4,33.25,39.32,39.32,100,,65,4.6,Y,33,35.40,4.2
Nikola Jokic,C,DEN,@ BOS,9th,101.25,8500,22.9,60.8,38.7,6.2,1.26,45.30,8.23,10.82,7.49,23.5,13.4,30.8,32.75,39.11,39.11,100,,72,4.6,Y,31,56.00,6.6
Devonte' Graham,SG,CHA,vs BKN,30th,108.00,8400,20.6,57.5,34.2,7.8,1.02,36.58,10.32,10.54,10.11,25.1,14.9,33.6,35.25,36.44,36.44,100,,69,4.3,Y,34,43.60,5.2
Zach LaVine,SG,CHI,vs GSW,9th,109.00,8400,18.7,62.8,35.2,3.9,1.09,39.22,12.15,12.58,11.64,29.6,17.7,32.3,34.50,37.61,37.61,100,,64,4.5,Y,34,33.20,4
DeMar DeRozan,SG,SAS,vs SAC,16th,109.50,8300,25.4,51,37.0,4.7,1.09,39.28,7.14,7.31,6.64,26.7,16.3,33.9,33.50,36.37,36.37,100,,80,4.4,Y,40,40.50,4.9
