Player Name,Salary,Team,Opp,Proj FP,Actual FP
Marc-Andre Fleury,8900,VGK,BOS,18.1,8.8
Sergei Bobrovsky,8600,FLA,CAR,18.1,-8.0
Ben Bishop,8600,DAL,WAS,16.4,23.2
Tuukka Rask,8500,BOS,VGK,15.7,24.8
Pekka Rinne,8400,NSH,SJ,20.1,30.4
Matthew Murray,8400,PIT,WPG,19.9,-1.6
John Gibson,8200,ANH,DET,19.8,32.8
Braden Holtby,8100,WAS,DAL,19.9,0.0
Semyon Varlamov,7700,NYI,EDM,20.9,-4.0
David Rittich,7700,CGY,LA,20.0,0.0
Martin Jones,7600,SJ,NSH,12.8,0.0
Connor Hellebuyck,7400,WPG,PIT,14.5,0.0
James Reimer,7300,CAR,FLA,13.3,0.0
Mikko Koskinen,7300,EDM,NYI,14.6,24.0
Jack Campbell,7300,LA,CGY,12.3,20.8
Jimmy Howard,7200,DET,ANH,18.6,8.8
