Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
James Harden,SG,HOU,vs IND,11th,116.00,12500,40.3,87.5,57.8,8.2,1.59,57.38,11.57,13.48,12.05,40.8,24.5,36.3,37.50,60.54,60.54,100,,77,4.8,Y,40,70.10,5.6
Anthony Davis,PF,LAL,vs SAC,13th,112.25,11800,45.6,76.3,53.4,3.3,1.51,54.49,11.83,8.78,11.58,30.6,19.1,35.3,35.25,58.77,58.77,100,,84,5,Y,35,37.00,3.1
LeBron James,SF,LAL,vs SAC,23rd,112.25,11600,30.4,81.8,52.0,11.1,1.51,54.29,12.63,14.68,12.37,31.0,18.9,34.5,35.25,52.40,52.40,100,,72,4.5,Y,39,57.30,4.9
Karl-Anthony Towns,C,MIN,vs WAS,22nd,122.00,11400,31.5,84.9,53.3,4.2,1.63,58.53,18.33,15.25,17.69,27.6,17.7,32.8,34.75,54.41,54.41,100,,71,4.8,Y,33,48.50,4.3
Joel Embiid,C,PHI,@ OKC,4th,108.50,11000,32.8,71.3,47.5,3.1,1.66,59.53,7.98,11.00,6.98,33.2,15.7,28.7,31.50,49.32,49.32,100,,77,4.5,Y,38,50.40,4.6
Andre Drummond,C,DET,@ CHA,24th,111.75,10300,24.3,77.7,52.4,3.1,1.51,54.54,10.73,15.24,9.91,26.2,14.7,34.6,33.25,47.17,47.17,100,,71,4.6,Y,38,39.00,3.8
Russell Westbrook,PG,HOU,vs IND,19th,116.00,9500,31.7,80.4,43.8,6.9,1.34,48.33,12.69,13.91,12.25,31.1,18.1,32.6,34.75,52.53,52.53,100,,68,5.5,Y,35,37.60,4
Domantas Sabonis,PF,IND,@ HOU,24th,110.00,9500,30.8,59.2,43.2,3.9,1.23,44.40,9.83,8.12,9.49,24.6,15.7,35.0,34.75,42.95,42.95,100,,81,4.5,Y,36,34.10,3.6
Bradley Beal,SG,WAS,@ MIN,19th,117.00,9300,25.8,71,44.0,6.4,1.22,43.96,10.33,12.91,10.55,33.5,22.8,36.0,36.75,45.20,45.20,100,,71,4.9,Y,37,66.60,7.2
Kemba Walker,PG,BOS,@ GSW,5th,114.75,9100,24.4,62.3,40.7,4.6,1.21,43.48,11.80,10.82,10.82,28.6,18.0,33.7,33.00,40.66,40.66,100,,73,4.5,Y,35,38.50,4.2
D'Angelo Russell,SG,GSW,vs BOS,6th,107.75,9100,12.4,77.2,41.2,6.7,1.28,46.19,15.26,18.51,14.09,31.3,19.7,32.1,33.25,40.13,40.13,100,,55,4.4,Y,25,21.90,2.4
Nikola Vucevic,C,ORL,vs SAS,8th,106.75,9000,31.7,66.2,40.0,3.1,1.25,45.15,9.39,9.87,8.93,25.3,15.8,31.9,34.25,46.46,46.46,100,,75,5.2,Y,37,38.60,4.3
Clint Capela,C,HOU,vs IND,20th,116.00,9000,0,25.7,37.7,1.1,1.24,44.67,8.89,12.85,0,15.8,9.4,30.4,0.00,0.00,0.00,100,,66,0,,,,
Rudy Gobert,C,UTA,@ MEM,30th,111.25,9000,26.3,67.4,34.9,1.1,1.01,36.30,10.77,11.75,10.25,15.0,6.7,34.6,34.25,43.92,43.92,100,,66,4.9,Y,36,56.90,6.3
Andrew Wiggins,SG,MIN,vs WAS,24th,122.00,9000,0,23.9,41.4,3.6,1.20,43.01,11.04,11.97,0,27.7,20.9,34.6,0.00,0.00,0.00,100,,71,0,,,,
Donovan Mitchell,SG,UTA,@ MEM,22nd,111.25,8600,25.8,55.6,40.0,4.1,1.16,41.57,8.27,8.51,7.98,30.6,19.5,34.6,34.75,38.60,38.60,100,,79,4.5,Y,36,54.30,6.3
Ben Simmons,PG,PHI,@ OKC,8th,108.50,8300,25.5,63.9,36.3,6.6,1.11,40.14,6.36,10.98,6.18,19.1,11.1,32.6,35.00,41.94,41.94,100,,70,5.1,Y,46,39.20,4.7
Malcolm Brogdon,PG,IND,@ HOU,30th,110.00,8200,18.6,50.1,40.9,8.5,1.24,44.71,9.02,8.98,8.14,27.7,16.0,32.9,32.50,32.10,32.10,100,,78,3.9,Y,9,8.20,1
Jayson Tatum,PF,BOS,@ GSW,10th,114.75,8200,22.6,47.7,36.7,2.5,1.06,38.17,8.83,7.17,8.16,26.7,18.4,34.6,33.25,33.36,33.36,100,,80,4.1,Y,38,42.10,5.1
De'Aaron Fox,PG,SAC,@ LAL,1st,102.25,8200,0,20.4,33.2,6.9,1.03,37.27,8.23,10.20,0,28.4,14.2,32.1,0.00,0.00,0.00,100,,69,0,,,,
Blake Griffin,PF,DET,@ CHA,26th,111.75,8000,34.5,34.5,32.4,6.0,1.35,48.60,0.00,0.00,0,33.9,12.0,24.0,28.75,34.53,34.53,100,,0,4.3,Y,30,33.60,4.2
DeMar DeRozan,SG,SAS,@ ORL,12th,104.75,7800,26,51.9,34.7,4.8,1.05,37.71,6.74,7.39,6.32,26.2,15.5,33.1,33.75,37.10,37.10,100,,79,4.8,Y,37,31.90,4.1
Marvin Bagley III,PF,SAC,@ LAL,1st,102.25,7800,0,0,31.0,0.0,1.11,39.86,0.00,0.00,0,25.8,16.0,28.0,0.00,0.00,0.00,100,,0,0,,,,
Jaylen Brown,SF,BOS,@ GSW,13th,114.75,7700,14.5,52,34.2,2.4,1.07,38.60,8.51,10.70,7.86,23.2,14.6,31.9,33.25,30.58,30.58,100,,69,4,Y,35,43.10,5.6
LaMarcus Aldridge,PF,SAS,@ ORL,19th,104.75,7500,18.6,63.4,33.6,2.4,1.05,37.73,13.36,12.82,12.15,22.6,13.9,32.1,32.75,37.80,37.80,100,,62,5,Y,31,38.20,5.1
