Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,8700,BOS,NJ,20.8,20.0
Robin Lehner,8500,VGK,ANH,20.8,20.0
Connor Hellebuyck,8300,WPG,CGY,18.9,18.4
Igor Shesterkin,8200,NYR,NYI,19.4,7.2
Petr Mrazek,8100,CAR,DET,20.5,31.2
Mike Smith,8000,EDM,VAN,18.7,0.0
Semyon Varlamov,7900,NYI,NYR,17.2,31.2
Jacob Markstrom,7800,CGY,WPG,18.9,8.0
Ilya Samsonov,7600,WAS,BUF,18.6,13.6
Darcy Kuemper,7500,ARI,SJ,20.4,13.6
Cameron Talbot,7400,MIN,LA,18.9,24.8
Joonas Korpisalo,7300,CLS,NSH,17.0,17.6
Carter Hutton,7300,BUF,WAS,15.9,-2.4
Thatcher Demko,7200,VAN,EDM,16.6,12.8
John Gibson,7200,ANH,VGK,13.4,-0.8
Martin Jones,7100,SJ,ARI,15.2,27.2
Jon Quick,6900,LA,MIN,15.9,2.4
Juuse Saros,6900,NSH,CLS,19.0,31.2
MacKenzie Blackwood,6800,NJ,BOS,15.1,20.0
Thomas Greiss,6600,DET,CAR,13.5,24.0
