Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Tuukka Rask,2,,G,8700,BOS,@NJ,n/a,66%,2.33,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,20.8,2.4,20.0,2.3
Robin Lehner,2,,G,8500,VGK,ANH,n/a,70%,2.40,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,20.8,2.4,20.0,2.4
Connor Hellebuyck,,,G,8300,WPG,CGY,n/a,46%,2.85,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,18.9,2.3,18.4,2.2
Igor Shesterkin,,,G,8200,NYR,NYI,n/a,51%,2.99,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,19.4,2.4,7.2,0.9
Petr Mrazek,2,,G,8100,CAR,@DET,n/a,71%,2.37,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,20.5,2.5,31.2,3.9
Mike Smith,,,G,8000,EDM,VAN,n/a,56%,2.83,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,18.7,2.3,0.0,0.0
Semyon Varlamov,,,G,7900,NYI,@NYR,n/a,49%,3.01,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,17.2,2.2,31.2,3.9
Jacob Markstrom,,,G,7800,CGY,@WPG,n/a,54%,2.65,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,18.9,2.4,8.0,1.0
Ilya Samsonov,,,G,7600,WAS,@BUF,n/a,56%,2.83,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,18.6,2.4,13.6,1.8
Darcy Kuemper,,,G,7500,ARI,SJ,n/a,56%,2.59,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,20.4,2.7,13.6,1.8
Cameron Talbot,,,G,7400,MIN,@LA,n/a,56%,2.57,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,18.9,2.6,24.8,3.4
Joonas Korpisalo,,,G,7300,CLS,@NSH,n/a,47%,2.83,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,17.0,2.3,17.6,2.4
Carter Hutton,,,G,7300,BUF,WAS,n/a,44%,3.17,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,15.9,2.2,-2.4,-0.3
Thatcher Demko,,,G,7200,VAN,@EDM,n/a,44%,3.17,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,16.6,2.3,12.8,1.8
John Gibson,,,G,7200,ANH,@VGK,n/a,30%,3.60,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,13.4,1.9,-0.8,-0.1
Martin Jones,,,G,7100,SJ,@ARI,n/a,44%,2.91,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,15.2,2.1,27.2,3.8
Jon Quick,,,G,6900,LA,MIN,n/a,43%,2.93,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,15.9,2.3,2.4,0.3
Juuse Saros,,,G,6900,NSH,CLS,n/a,53%,2.67,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,19.0,2.8,31.2,4.5
MacKenzie Blackwood,,,G,6800,NJ,BOS,n/a,34%,3.17,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,15.1,2.2,20.0,2.9
Thomas Greiss,,,G,6600,DET,CAR,n/a,28%,3.63,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,13.5,2.0,24.0,3.6
