Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Robin Lehner,,,G,8600,VGK,ARI,1,64%,2.37,59.8,59.8,59.8,0.926,0.926,24.0,24.0,24.0,18.3,29.7,20.2,2.3,0.0,0.0
Carey Price,,,G,8200,MON,@VAN,3,53%,3.15,113.2,113.2,113.2,0.913,0.913,19.2,19.2,19.2,-3.4,41.8,16.9,2.1,-1.6,-0.2
Frederik Andersen,,,G,8000,TOR,EDM,1,59%,2.98,69.0,69.0,69.0,0.881,0.881,14.4,14.4,14.4,-3.1,31.9,19.2,2.4,7.2,0.9
Kaapo Kahkonen,,,G,7900,MIN,@ANH,n/a,56%,2.59,0.0,0.0,0.0,0.000,0.000,0.0,0.0,0.0,0.0,0.0,NaN,NaN,21.6,2.7
Darcy Kuemper,,,G,7800,ARI,@VGK,1,36%,3.13,60.9,60.9,60.9,0.903,0.903,10.4,10.4,10.4,5.9,14.9,15.8,2.0,-0.8,-0.1
Mikko Koskinen,,,G,7500,EDM,@TOR,1,41%,3.52,64.1,64.1,64.1,0.897,0.897,14.0,14.0,14.0,-0.2,28.2,14.4,1.9,28.0,3.7
John Gibson,,,G,7400,ANH,MIN,1,44%,2.91,59.2,59.2,59.2,0.927,0.927,21.1,21.1,21.1,-3.2,45.3,17.9,2.4,0.0,0.0
Jordan Binnington,,,G,7400,STL,SJ,1,63%,2.39,75.9,75.9,75.9,0.872,0.872,12.8,12.8,12.8,-3.6,29.2,20.0,2.7,25.6,3.5
Braden Holtby,,,G,7300,VAN,MON,3,47%,3.35,68.8,68.8,68.8,0.909,0.909,18.0,18.0,18.0,11.8,24.2,16.2,2.2,16.8,2.3
Martin Jones,,,G,7000,SJ,@STL,1,37%,3.11,36.8,36.8,36.8,0.889,0.889,10.4,10.4,10.4,-5.7,26.5,13.6,1.9,25.6,3.7
