Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Alexander Ovechkin,,,W,8700,WAS,@NYI,1,L1,P1,2.68,23.8,23.8,23.8,5.0,5.0,5.0,NaN,NaN,NaN,NaN,NaN,17.0,2.0,3.2,0.4
Auston Matthews,2,,C,8600,TOR,@CLS,1,L1,P1,3.59,18.4,18.4,18.4,8.0,8.0,8.0,NaN,NaN,NaN,NaN,NaN,18.1,2.1,23.7,2.8
Taylor Hall,2,,W,7800,NJ,WPG,n/a,L1,P1,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,2.1,17.6,2.3
John Tavares,,,C,7700,TOR,@CLS,1,L2,P1,3.59,18.2,18.2,18.2,2.0,2.0,2.0,11.7,11.7,11.7,11.7,11.7,16.9,2.2,19.7,2.6
Patrik Laine,,,W,7700,WPG,@NJ,0,L2,P1,3.03,20.0,20.0,20.0,4.0,4.0,4.0,14.9,14.9,14.9,14.9,14.9,13.7,1.8,12.8,1.7
Mark Scheifele,2,,C,7600,WPG,@NJ,0,L1,P1,3.03,24.1,24.1,24.1,4.0,4.0,4.0,18.4,18.4,18.4,18.4,18.4,14.2,1.9,16.0,2.1
Logan Couture,1,,C,7500,SJ,VGK,1,L1,P1,3.15,18.3,18.3,18.3,1.0,1.0,1.0,9.6,9.6,9.6,9.6,9.6,13.9,1.9,8.0,1.1
Evgeny Kuznetsov,,,C,7500,WAS,@NYI,1,,,2.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Marner,2,,W,7500,TOR,@CLS,1,L2,P1,3.59,19.6,19.6,19.6,3.0,3.0,3.0,13.3,13.3,13.3,13.3,13.3,15.3,2.0,42.6,5.7
Mark Stone,2,,W,7500,VGK,@SJ,1,L2,P2,3.35,19.1,19.1,19.1,1.0,1.0,1.0,23.7,23.7,23.7,23.7,23.7,14.5,1.9,26.0,3.5
Blake Wheeler,2,,W,7400,WPG,@NJ,0,L1,P1,3.03,22.8,22.8,22.8,9.0,9.0,9.0,NaN,NaN,NaN,NaN,NaN,14.3,1.9,4.8,0.6
Brent Burns,1,,D,7400,SJ,VGK,1,D2,P1,3.15,26.2,26.2,26.2,4.0,4.0,4.0,17.6,17.6,17.6,17.6,17.6,14.9,2.0,9.6,1.3
Cam Atkinson,2,,W,7200,CLS,TOR,n/a,L1,P1,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.1,1.8,25.3,3.5
Max Pacioretty,1,,W,7000,VGK,@SJ,1,L2,P2,3.35,19.1,19.1,19.1,5.0,5.0,5.0,NaN,NaN,NaN,NaN,NaN,12.0,1.7,4.8,0.7
Erik Karlsson,,Q,D,7000,SJ,VGK,1,D1,P2,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.6,2.1,6.4,0.9
Jonathan Audy-Marchessault,1,,W,6900,VGK,@SJ,1,L1,P1,3.35,15.5,15.5,15.5,1.0,1.0,1.0,1.6,1.6,1.6,1.6,1.6,13.5,2.0,16.8,2.4
Evander Kane,,S,W,6600,SJ,VGK,1,,,3.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anders Lee,1,,W,6600,NYI,WAS,n/a,L1,P1,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3,1.7,1.6,0.2
Kyle Connor,,,W,6600,WPG,@NJ,0,L2,P1,3.03,19.9,19.9,19.9,5.0,5.0,5.0,NaN,NaN,NaN,NaN,NaN,13.6,2.1,4.8,0.7
Tomas Hertl,1,,C,6600,SJ,VGK,1,L2,P1,3.15,19.1,19.1,19.1,4.0,4.0,4.0,6.4,6.4,6.4,6.4,6.4,13.2,2.0,4.8,0.7
William Karlsson,1,,C,6500,VGK,@SJ,1,L1,P1,3.35,16.1,16.1,16.1,6.0,6.0,6.0,NaN,NaN,NaN,NaN,NaN,11.8,1.8,11.6,1.8
John Carlson,1,,D,6400,WAS,@NYI,1,D1,P1,2.68,27.1,27.1,27.1,0.0,0.0,0.0,17.6,17.6,17.6,17.6,17.6,13.8,2.2,14.9,2.3
T.J. Oshie,,,W,6400,WAS,@NYI,1,L2,P1,2.68,20.3,20.3,20.3,3.0,3.0,3.0,12.8,12.8,12.8,12.8,12.8,10.8,1.7,15.7,2.5
Timo Meier,1,Q,W,6400,SJ,VGK,1,L1,P1,3.15,14.8,14.8,14.8,1.0,1.0,1.0,3.2,3.2,3.2,3.2,3.2,14.9,2.3,3.2,0.5
Nicklas Backstrom,,,C,6300,WAS,@NYI,1,L1,P1,2.68,22.2,22.2,22.2,5.0,5.0,5.0,NaN,NaN,NaN,NaN,NaN,12.0,1.9,10.1,1.6
Mathew Barzal,1,,C,6300,NYI,WAS,n/a,L1,P1,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.1,4.8,0.8
Tyson Barrie,1,,D,6300,TOR,@CLS,1,D2,P2,3.59,19.5,19.5,19.5,6.0,6.0,6.0,NaN,NaN,NaN,NaN,NaN,12.4,2.0,3.2,0.5
Seth Jones,2,,D,6200,CLS,TOR,n/a,D1,P1,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,2.1,6.4,1.0
Jordan Eberle,1,,W,6100,NYI,WAS,n/a,L1,P2,2.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.5,1.6,0.0,0.0
Morgan Rielly,3,,D,6000,TOR,@CLS,1,D1,P1,3.59,25.6,25.6,25.6,5.0,5.0,5.0,NaN,NaN,NaN,NaN,NaN,13.4,2.2,31.4,5.2
Kyle Palmieri,2,,W,5900,NJ,WPG,n/a,L1,P1,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.4,2.1,11.2,1.9
Reilly Smith,1,,W,5800,VGK,@SJ,1,L1,P1,3.35,14.9,14.9,14.9,5.0,5.0,5.0,NaN,NaN,NaN,NaN,NaN,11.3,1.9,16.4,2.8
P.K. Subban,2,,D,5600,NJ,WPG,n/a,D1,P1,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.7,2.1,12.8,2.3
William Nylander,2,,W,5600,TOR,@CLS,1,L1,P2,3.59,17.1,17.1,17.1,3.0,3.0,3.0,12.8,12.8,12.8,12.8,12.8,11.7,2.1,11.2,2.0
Gustav Nyquist,,,W,5500,CLS,TOR,n/a,L3,P2,2.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,2.0,0.0,0.0
Jack Hughes,2,,C,5500,NJ,WPG,n/a,L2,P2,3.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.2,2.2,1.6,0.3
Dustin Byfuglien,,,D,5400,WPG,@NJ,0,,,3.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
