Player Name,Likes,Pos,Salary,Team,Opp,Vegas PtsA,Vegas Spread,Sacks Allowed by Offense,Fumbles Allowed by Offense,Ints Allowed by Offense,Offense Pass Yds/G,Offense Rush Yds/G,Points Scored by Offense,FP Allowed by Offense,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Buffalo Bills,8,D,5000,BUF,@NYJ,15.5,BUF by 13.5,3.0,0.2,0.8,171,105,11.5,11.2,4.7,4.8,4.8,2.4,7.2,9.1,1.8,14.0,2.8
New England Patriots,3,D,4800,NE,SF,20.5,NE by 2.5,3.0,0.3,0.8,241,128,24.7,6.3,8.3,8.4,8.4,3.9,12.9,8.3,1.7,4.0,0.8
Cleveland Browns,2,D,4700,CLE,@CIN,23.5,CLE by 3.5,4.0,0.7,0.7,242,102,21.5,9.2,6.3,6.2,6.2,0.2,12.1,7.7,1.6,7.0,1.5
Kansas City Chiefs,7,D,4600,KC,@DEN,18.3,KC by 9.5,3.0,0.4,1.6,204,101,16.4,9.6,7.3,6.8,6.8,-0.3,13.9,8.6,1.9,24.0,5.2
Los Angeles Chargers,3,D,4500,LAC,JAX,20.8,LAC by 7.5,3.0,0.7,0.8,262,89,20.8,6.8,3.7,5.0,5.0,1.6,8.4,7.3,1.6,6.0,1.3
San Francisco 49ers,1,D,4400,SF,@NE,23.0,NE by 2.5,2.2,0.6,1.4,207,167,20.6,8.2,3.0,5.0,5.0,0.5,9.5,6.6,1.5,17.0,3.9
Pittsburgh Steelers,0,D,4300,PIT,@TEN,26.0,TEN by 1.5,1.3,0.3,0.5,282,163,29.0,2.8,11.0,10.8,10.8,6.1,15.5,6.0,1.4,2.0,0.5
Tennessee Titans,0,D,4200,TEN,PIT,24.5,TEN by 1.5,1.6,0.6,0.2,221,137,29.6,2.0,3.3,3.3,3.3,-0.6,7.1,4.5,1.1,6.0,1.4
Seattle Seahawks,,D,4100,SEA,@ARI,26.0,SEA by 3.5,1.5,0.2,1.0,242,161,27.7,2.8,7.7,6.0,6.0,2.8,9.2,6.1,1.5,0.0,0.0
New Orleans Saints,2,D,4000,NO,CAR,21.8,NO by 7.5,2.0,0.5,0.8,267,117,23.0,5.0,1.3,5.0,5.0,-2.3,12.3,7.4,1.9,1.0,0.3
Green Bay Packers,0,D,4000,GB,@HOU,27.0,GB by 3.5,3.2,0.3,0.8,282,86,24.3,6.0,2.3,4.8,4.8,0.1,9.5,6.4,1.6,6.0,1.5
Denver Broncos,,D,3900,DEN,KC,27.8,KC by 9.5,1.2,0.5,0.2,277,140,28.2,3.5,8.0,6.6,6.6,2.4,10.8,3.4,0.9,2.0,0.5
Washington Redskins,10,D,3800,WAS,DAL,23.5,DAL by 1,2.3,1.5,1.0,359,105,27.8,8.2,3.3,5.0,5.0,-0.1,10.1,7.7,2.0,17.0,4.5
Arizona Cardinals,,D,3800,ARI,SEA,29.5,SEA by 3.5,3.0,0.2,0.6,280,115,33.4,3.2,7.7,7.0,7.0,2.2,11.8,4.4,1.2,7.0,1.8
Dallas Cowboys,0,D,3700,DAL,@WAS,22.5,DAL by 1,4.0,1.0,0.7,193,82,18.0,9.7,1.3,1.2,1.2,-3.6,6.0,7.1,1.9,2.0,0.5
Cincinnati Bengals,0,D,3600,CIN,CLE,27.0,CLE by 3.5,1.8,0.3,1.0,189,170,25.8,6.8,4.0,3.3,3.3,0.3,6.3,5.7,1.6,-2.0,-0.6
Houston Texans,,D,3500,HOU,GB,30.5,GB by 3.5,1.6,0.0,0.4,257,139,30.8,1.8,5.0,3.2,3.2,0.0,6.4,3.2,0.9,-2.0,-0.6
Atlanta Falcons,0,D,3500,ATL,DET,26.3,ATL by 2,2.4,0.0,0.8,230,117,26.6,4.8,2.3,2.3,2.3,-0.9,5.5,5.1,1.5,2.0,0.6
Detroit Lions,0,D,3400,DET,@ATL,28.3,ATL by 2,2.2,0.2,0.5,291,112,26.0,2.7,4.3,2.2,2.2,-2.0,6.4,5.0,1.5,4.0,1.2
Jacksonville Jaguars,0,D,3300,JAX,@LAC,28.3,LAC by 7.5,2.2,0.8,0.6,268,122,20.8,5.6,2.3,2.2,2.2,-0.2,4.6,4.8,1.5,5.0,1.5
Carolina Panthers,0,D,3200,CAR,@NO,29.3,NO by 7.5,1.4,0.2,0.6,263,115,29.4,1.6,3.3,3.8,3.8,-0.2,7.9,4.1,1.3,3.0,0.9
New York Jets,1,D,3000,NYJ,BUF,29.0,BUF by 13.5,1.8,0.8,0.4,278,91,28.0,3.2,5.3,4.5,4.5,1.4,7.6,4.1,1.4,5.0,1.7
