Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
LeBron James,21,,SF,10700,LAL,@DET,0,111,33,25,101,110,-5%,24,21,19,38,36,33,49.3,46.3,36.3,56.2,33.5,50.0,4.7,35.8,46.4,4.3
Kawhi Leonard,0,O,SF,10500,LAC,@MIA,3,105,30,28,102,109,10%,23,19,19,37,33,35,49.2,47.2,36.1,58.3,0.0,0.0,0.0,,0.0,0.0
Anthony Davis,3,O,PF,10200,LAL,@DET,0,111,26,25,101,110,-4%,17,18,16,35,35,33,50.6,46.9,37.0,56.9,0.0,0.0,0.0,,0.0,0.0
Stephen Curry,6,,PG,9800,GSW,@PHO,0,109,32,23,99,107,-6%,19,19,20,34,34,34,41.5,44.1,32.0,56.2,34.0,42.6,4.3,31.2,33.8,3.4
Damian Lillard,19,,PG,9700,POR,@HOU,2,113,31,26,104,105,8%,20,20,19,37,38,36,47.8,45.5,33.1,57.8,38.0,50.4,5.2,37.7,44.3,4.6
Christian Wood,13,,PF,9500,HOU,POR,7,118,26,23,103,113,-2%,17,18,18,32,33,34,44.6,44.0,34.6,53.5,32.0,43.1,4.5,32.2,39.4,4.1
Bam Adebayo,18,,PF,9200,MIA,LAC,0,107,25,24,100,108,-9%,16,16,12,34,35,33,40.2,40.7,29.7,51.7,35.0,45.7,5.0,34.6,44.1,4.8
Paul George,,O,SG,8900,LAC,@MIA,3,105,28,23,102,109,10%,16,14,16,34,33,34,35.7,40.5,29.9,51.1,0.0,0.0,0.0,,0.0,0.0
C.J. McCollum,,O,SG,8700,POR,@HOU,11,113,29,26,104,105,0%,21,19,21,38,34,35,42.7,44.6,35.4,53.8,0.0,0.0,0.0,,0.0,0.0
Jimmy Butler,2,O,SF,8600,MIA,LAC,13,107,26,22,100,108,-4%,19,12,13,35,28,29,34.9,37.1,18.5,55.7,0.0,0.0,0.0,,0.0,0.0
Jerami Grant,7,,SF,8400,DET,LAL,0,104,26,21,102,102,-4%,13,16,18,33,35,36,39.6,40.8,31.0,50.5,34.0,36.3,4.3,37.1,26.6,3.2
Deandre Ayton,10,,C,8300,PHO,GSW,0,110,19,18,106,108,5%,11,13,11,36,36,32,42.1,34.3,23.4,45.1,33.5,41.0,4.9,23.3,31.6,3.8
Victor Oladipo,20,,SG,8300,HOU,POR,1,118,33,15,103,113,-5%,19,20,18,36,35,34,38.3,36.9,28.6,45.3,34.0,37.7,4.5,36.6,46.9,5.7
DeMarcus Cousins,1,,C,8000,HOU,POR,1,118,26,15,103,113,3%,13,11,8,31,25,18,33.3,25.5,10.2,40.8,17.0,24.6,3.1,11.1,17.3,2.2
Devin Booker,2,O,SG,7600,PHO,GSW,5,110,29,15,106,108,3%,20,20,18,37,36,37,36.8,34.2,26.0,42.3,0.0,0.0,0.0,,0.0,0.0
Chris Paul,17,,PG,7400,PHO,GSW,0,110,24,17,106,108,-4%,21,16,13,38,36,34,39.2,36.0,26.2,45.7,33.0,41.5,5.6,27.1,24.6,3.3
Andrew Wiggins,13,,SG,7400,GSW,@PHO,0,109,22,15,99,107,-7%,16,13,14,30,30,32,33.2,31.8,22.5,41.1,32.0,29.2,3.9,28.2,21.5,2.9
John Wall,10,,PG,7300,HOU,POR,1,118,28,16,103,113,12%,15,13,15,22,28,31,27.7,33.4,21.8,45.1,27.5,33.1,4.5,29.7,36.0,4.9
Enes Kanter,18,,C,6500,POR,@HOU,2,113,17,26,104,105,2%,8,7,7,28,25,21,34.7,27.4,14.6,40.2,28.5,36.0,5.5,32.9,37.6,5.8
Tyler Herro,10,,SG,6400,MIA,LAC,7,107,24,13,100,108,-4%,21,16,14,36,34,34,32.5,30.0,18.8,41.3,32.5,29.6,4.6,31.9,38.5,6.0
Kelly Oubre,8,,SF,6300,GSW,@PHO,0,109,21,11,99,107,-17%,9,10,12,26,28,28,29.4,26.3,16.2,36.5,30.0,26.7,4.2,25.5,12.3,2.0
Serge Ibaka,8,,PF,6200,LAC,@MIA,1,105,20,18,102,109,5%,12,8,9,26,24,25,25.3,25.3,19.0,31.7,28.5,28.5,4.6,26,34.1,5.5
Kendrick Nunn,9,,SG,6200,MIA,LAC,0,107,22,13,100,108,-4%,17,15,10,37,36,25,32.0,21.4,6.0,36.8,35.0,30.7,5.0,32.9,17.1,2.8
Delon Wright,7,,PG,6000,DET,LAL,0,104,17,16,102,102,-1%,10,10,8,33,31,28,37.2,26.3,13.8,38.8,28.0,25.0,4.2,26.7,30.6,5.1
Jusuf Nurkic,,O,C,6000,POR,@HOU,13,113,21,16,104,105,2%,8,10,9,26,25,25,33.1,28.9,19.6,38.2,0.0,0.0,0.0,,0.0,0.0
Louis Williams,3,,PG,6000,LAC,@MIA,1,105,24,13,102,109,5%,12,8,8,18,16,19,12.3,16.2,6.8,25.5,23.5,22.1,3.7,28.4,34.0,5.7
Eric Gordon,6,,SF,6000,HOU,POR,1,118,24,17,103,113,-5%,15,16,13,30,33,29,29.1,25.7,16.1,35.2,29.0,25.0,4.2,29.9,13.3,2.2
Goran Dragic,1,O,PG,5800,MIA,LAC,2,107,27,16,100,108,2%,16,15,13,32,32,28,29.4,28.0,20.3,35.8,0.0,0.0,0.0,,0.0,0.0
Dennis Schroder,8,,PG,5700,LAL,@DET,0,111,23,12,101,110,0%,12,11,12,29,30,31,20.2,25.6,16.6,34.6,30.0,26.8,4.7,28.8,19.6,3.4
Derrick Rose,1,,SG,5600,DET,LAL,0,104,30,18,102,102,-10%,11,12,13,19,23,24,26.1,27.2,17.8,36.7,22.0,23.0,4.1,20.4,23.7,4.2
Blake Griffin,5,,PF,5500,DET,LAL,2,104,19,11,102,102,-4%,8,9,12,27,32,33,23.7,27.3,17.4,37.1,30.0,24.4,4.4,35.3,35.6,6.5
