Player Name,Salary,Team,Opp,Proj FP,Actual FP
Andrei Vasilevskii,8800,TB,NYR,22.2,16.0
Petr Mrazek,8400,CAR,BUF,16.8,19.2
Mike Smith,8100,EDM,COL,18.5,28.8
Carter Hutton,8000,BUF,CAR,17.0,-0.8
Sergei Bobrovsky,7900,FLA,WPG,20.0,4.8
John Gibson,7800,ANH,SJ,18.0,4.0
Antti Raanta,7600,ARI,MIN,18.5,12.8
Adam Werner,7500,COL,EDM,0.0,-9.6
Anton Khudobin,7500,DAL,VAN,16.2,29.6
Alexander Georgiev,7500,NYR,TB,12.6,-3.2
Devan Dubnyk,7400,MIN,ARI,18.1,25.6
Martin Jones,7400,SJ,ANH,16.0,23.2
Jacob Markstrom,7400,VAN,DAL,20.3,4.0
Jonathan Bernier,7200,DET,LA,16.2,10.4
Jon Quick,7200,LA,DET,18.3,19.2
Laurent Brossoit,7200,WPG,FLA,14.2,27.2
