Player Name,Salary,Team,Opp,Proj FP,Actual FP
Jordan Binnington,8900,STL,PIT,16.6,27.2
Frederik Andersen,8400,TOR,BUF,22.6,31.2
Matthew Murray,8300,PIT,STL,17.4,-2.4
David Rittich,8200,CGY,OTT,20.9,28.8
Mike Smith,8100,EDM,VAN,17.6,6.4
Antti Raanta,8100,ARI,SJ,19.9,8.8
Curtis McElhinney,8100,TB,CAR,19.2,4.8
Martin Jones,8000,SJ,ARI,15.7,20.8
Robin Lehner,7900,CHI,COL,16.7,-12.8
Thomas Greiss,7900,NYI,CLS,22.3,19.2
Philipp Grubauer,7700,COL,CHI,20.6,20.8
Juuse Saros,7500,NSH,FLA,15.4,8.0
Ilya Samsonov,7500,WAS,DET,19.1,24.0
Jacob Markstrom,7400,VAN,EDM,15.4,26.4
Carter Hutton,7400,BUF,TOR,12.7,24.8
James Reimer,7300,CAR,TB,11.8,32.8
Laurent Brossoit,7300,WPG,LA,17.8,17.6
Jonathan Bernier,7100,DET,WAS,12.7,11.2
Jack Campbell,7100,LA,WPG,16.8,34.4
Elvis Merzlikins,7000,CLS,NYI,14.3,12.0
