Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jordan Binnington,,,G,8800,STL,@WPG,3,,,50.6,58.7,58.7,0.921,0.921,17.3,20.4,20.4,8.1,32.7,17.7,2.0,0.0,0.0
Tristan Jarry,,,G,8600,PIT,@NSH,5,,,61.4,56.4,56.4,0.939,0.939,25.0,24.4,24.4,10.4,38.4,18.6,2.2,0.0,0.0
Pavel Francouz,,,G,8400,COL,MIN,3,,,60.4,54.0,54.0,0.932,0.932,25.9,22.3,22.3,8.1,36.5,21.5,2.6,0.0,0.0
Mikko Koskinen,,,G,8200,EDM,CGY,3,,,59.0,57.3,57.3,0.917,0.917,19.4,19.2,19.2,5.6,32.7,17.0,2.1,0.0,0.0
Jaroslav Halak,,,G,8100,BOS,@BUF,3,,,59.7,60.7,60.7,0.924,0.924,15.7,21.1,21.1,6.8,35.4,17.4,2.1,0.0,0.0
Connor Hellebuyck,,,G,8000,WPG,STL,3,,,55.7,54.9,54.9,0.927,0.927,15.2,21.3,21.3,5.8,36.7,18.2,2.3,0.0,0.0
Malcolm Subban,,,G,8000,VGK,@ANH,3,,,60.8,57.9,57.9,0.910,0.910,19.2,16.2,16.2,1.8,30.5,19.3,2.4,0.0,0.0
Robin Lehner,,,G,8000,CHI,NYI,3,,,53.9,54.9,54.9,0.924,0.924,18.1,20.1,20.1,5.7,34.5,18.6,2.3,0.0,0.0
Ilya Samsonov,,,G,7800,WAS,CLS,3,,,55.4,57.9,57.9,0.914,0.914,18.4,18.6,18.6,9.8,27.5,18.3,2.3,0.0,0.0
James Reimer,,,G,7700,CAR,@NYR,3,,,48.6,54.1,54.1,0.921,0.921,22.1,19.6,19.6,3.1,36.0,17.4,2.3,0.0,0.0
David Rittich,,,G,7700,CGY,@EDM,3,,,60.9,60.4,60.4,0.915,0.915,20.3,19.6,19.6,6.1,33.2,16.0,2.1,0.0,0.0
Devan Dubnyk,,,G,7600,MIN,@COL,3,,,50.6,52.0,52.0,0.897,0.897,17.8,12.9,12.9,1.8,24.1,13.1,1.7,0.0,0.0
Thomas Greiss,,,G,7600,NYI,@CHI,3,,,54.9,54.9,54.9,0.924,0.924,13.4,19.9,19.9,6.8,33.0,20.5,2.7,0.0,0.0
John Gibson,,,G,7600,ANH,VGK,4,,,62.1,59.5,59.5,0.907,0.907,16.2,16.1,16.1,2.1,30.1,16.7,2.2,0.0,0.0
Joonas Korpisalo,,,G,7600,CLS,@WAS,3,,,59.9,58.3,58.3,0.911,0.911,27.5,17.8,17.8,5.4,30.1,11.9,1.6,0.0,0.0
Pekka Rinne,,,G,7500,NSH,PIT,3,,,60.3,56.5,56.5,0.896,0.896,17.4,16.6,16.6,-0.2,33.4,19.4,2.6,0.0,0.0
Aaron Dell,,,G,7500,SJ,LA,4,,,52.0,50.1,50.1,0.898,0.898,11.8,11.4,11.4,-2.3,25.0,17.1,2.3,0.0,0.0
MacKenzie Blackwood,,,G,7200,NJ,TOR,3,,,51.4,56.2,56.2,0.909,0.909,21.4,15.6,15.6,0.8,30.4,14.4,2.0,0.0,0.0
Henrik Lundqvist,,,G,7200,NYR,CAR,3,,,60.0,57.7,57.7,0.910,0.910,11.8,16.7,16.7,3.3,30.1,16.7,2.3,0.0,0.0
Jack Campbell,,,G,7200,LA,@SJ,3,,,59.7,60.3,60.3,0.893,0.893,13.9,12.4,12.4,2.2,22.7,14.7,2.0,0.0,0.0
Linus Ullmark,,,G,7200,BUF,BOS,3,,,59.9,59.9,59.9,0.914,0.914,15.7,19.0,19.0,4.6,33.4,16.4,2.3,0.0,0.0
Michael Hutchinson,,,G,7200,TOR,@NJ,3,,,58.6,53.6,53.6,0.886,0.886,11.4,9.6,9.6,0.4,18.8,21.2,2.9,0.0,0.0
