Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Andrei Vasilevskii,,,G,9000,TB,OTT,2,77%,2.34,59.1,59.7,59.7,0.909,0.909,18.6,18.1,18.1,4.3,31.8,23.9,2.7,20.0,2.2
Marc-Andre Fleury,,,G,8800,VGK,MIN,1,64%,2.60,59.8,58.1,58.1,0.918,0.918,14.9,19.7,19.7,4.6,34.8,19.3,2.2,23.2,2.6
Frederik Andersen,,,G,8700,TOR,BUF,2,65%,2.79,58.6,59.9,59.9,0.921,0.921,22.7,20.5,20.5,7.0,34.1,21.5,2.5,21.6,2.5
Darcy Kuemper,,,G,8700,ARI,@SJ,2,50%,2.75,60.7,60.9,60.9,0.935,0.935,25.0,23.2,23.2,11.0,35.3,18.8,2.2,24.8,2.9
Tuukka Rask,1,,G,8500,BOS,LA,2,71%,2.18,59.4,60.3,60.3,0.926,0.926,17.4,22.1,22.1,9.5,34.7,21.6,2.5,2.4,0.3
Carey Price,,,G,8500,MON,@VAN,2,48%,3.05,59.6,58.5,58.5,0.905,0.905,21.1,16.5,16.5,3.1,29.8,17.0,2.0,38.4,4.5
Connor Hellebuyck,,,G,8400,WPG,CAR,1,47%,3.08,48.1,55.0,55.0,0.931,0.931,14.6,22.0,22.0,7.5,36.4,17.5,2.1,-5.6,-0.7
Tristan Jarry,,,G,8300,PIT,@CGY,2,47%,3.09,61.4,55.9,55.9,0.937,0.937,30.9,23.7,23.7,8.9,38.4,18.2,2.2,34.4,4.1
Petr Mrazek,,,G,7900,CAR,@WPG,2,53%,2.92,60.5,56.2,56.2,0.906,0.906,15.5,16.6,16.6,2.1,31.1,16.0,2.0,24.0,3.0
Thomas Greiss,,,G,7900,NYI,NSH,2,56%,2.56,50.1,55.6,55.6,0.932,0.932,17.8,22.3,22.3,11.5,33.1,20.6,2.6,-12.0,-1.5
John Gibson,,,G,7700,ANH,@PHI,2,44%,2.92,61.3,59.3,59.3,0.910,0.910,14.1,16.4,16.4,2.0,30.9,18.0,2.3,9.6,1.2
Jon Quick,,,G,7700,LA,@BOS,1,28%,3.32,60.3,59.7,59.7,0.891,0.891,16.8,12.5,12.5,-1.5,26.6,12.8,1.7,29.6,3.8
Carter Hart,,,G,7700,PHI,ANH,1,56%,2.58,51.1,53.0,53.0,0.906,0.906,13.3,14.0,14.0,-0.7,28.7,19.5,2.5,40.0,5.2
Pekka Rinne,,,G,7600,NSH,@NYI,0,43%,2.94,55.9,55.8,55.8,0.893,0.893,12.5,15.5,15.5,-2.5,33.5,16.7,2.2,21.6,2.8
Jacob Markstrom,,,G,7600,VAN,MON,1,52%,2.95,57.5,60.0,60.0,0.915,0.915,17.1,17.7,17.7,3.1,32.4,18.1,2.4,9.6,1.3
Alex Stalock,,,G,7500,MIN,@VGK,1,36%,3.40,60.7,54.9,54.9,0.908,0.908,20.8,16.4,16.4,2.7,30.0,13.1,1.7,8.8,1.2
Linus Ullmark,,,G,7400,BUF,@TOR,2,35%,3.71,60.3,60.1,60.1,0.915,0.915,18.1,19.7,19.7,4.6,34.8,13.7,1.9,6.4,0.9
Cameron Talbot,,,G,7400,CGY,PIT,2,53%,2.91,59.3,54.6,54.6,0.907,0.907,17.4,14.5,14.5,0.1,28.9,16.5,2.2,15.2,2.1
Joonas Korpisalo,,,G,7300,CLS,@DET,0,56%,2.82,56.6,58.0,58.0,0.910,0.910,21.0,16.9,16.9,4.1,29.7,17.4,2.4,14.4,2.0
Aaron Dell,,,G,7200,SJ,ARI,2,50%,2.75,44.9,48.8,48.8,0.898,0.898,9.6,11.9,11.9,-2.5,26.4,16.4,2.3,0.8,0.1
Jonathan Bernier,,,G,7100,DET,CLS,1,44%,3.18,57.7,56.0,56.0,0.897,0.897,15.5,12.8,12.8,1.0,24.6,16.5,2.3,11.2,1.6
Marcus Hogberg,,,G,7000,OTT,@TB,0,23%,4.16,49.4,49.4,49.4,0.925,0.925,8.8,8.8,8.8,5.4,12.2,0.0,0.0,12.8,1.8
