Player Name,Salary,Team,Opp,Proj FP,Actual FP
Carey Price,8500,MON,ARI,16.5,33.6
Sergei Bobrovsky,8300,FLA,COL,15.9,21.6
Jordan Binnington,8100,STL,MIN,19.5,36.0
Philipp Grubauer,8000,COL,FLA,18.5,11.2
Jacob Markstrom,8000,VAN,LA,18.0,16.8
Joonas Korpisalo,7800,CLS,EDM,17.7,-9.6
Mike Smith,7800,EDM,CLS,15.5,26.4
Curtis McElhinney,7800,TB,NJ,17.7,16.8
Antti Raanta,7700,ARI,MON,18.9,9.6
Devan Dubnyk,7300,MIN,STL,14.9,11.2
Jon Quick,7200,LA,VAN,16.3,15.2
Cory Schneider,7000,NJ,TB,15.3,-15.2
