Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Jaroslav Halak,,,G,8500,BOS,PHI,6,56%,2.56,65.0,65.0,65.0,0.935,0.935,15.2,15.2,15.2,15.2,15.2,19.2,2.3,20.8,2.4
Connor Hellebuyck,1,,G,8400,WPG,OTT,1,57%,2.78,59.9,59.9,59.9,0.935,0.935,22.9,22.9,22.9,16.4,29.4,20.5,2.4,14.4,1.7
Carter Hart,,,G,8300,PHI,@BOS,1,43%,2.94,53.2,53.2,53.2,0.902,0.902,16.8,16.8,16.8,3.3,30.3,15.8,1.9,-8.0,-1.0
Carey Price,,,G,8300,MON,@VAN,1,56%,2.80,72.9,72.9,72.9,0.887,0.887,9.2,9.2,9.2,-8.2,26.6,18.6,2.2,22.4,2.7
Jordan Binnington,2,,G,7300,STL,LA,2,65%,2.35,73.1,73.1,73.1,0.905,0.905,16.0,16.0,16.0,1.1,30.9,20.4,2.8,20.8,2.8
Thatcher Demko,,,G,7200,VAN,MON,1,43%,3.20,58.5,58.5,58.5,0.866,0.866,6.1,6.1,6.1,-0.3,12.5,16.3,2.3,0.0,0.0
Matthew Murray,,,G,6900,OTT,@WPG,1,42%,3.22,55.4,55.4,55.4,0.880,0.880,9.6,9.6,9.6,1.2,18.0,17.2,2.5,0.0,0.0
Cal Petersen,,,G,6800,LA,@STL,3,35%,3.15,58.1,58.1,58.1,0.875,0.875,4.8,4.8,4.8,4.8,4.8,14.2,2.1,8.8,1.3
