Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Connor McDavid,C,9000,EDM,WPG,1,16.2,24.5
Auston Matthews,C,8800,TOR,OTT,1,16.0,15.2
Patrick Kane,W,8600,CHI,DET,1,14.0,12.8
Leon Draisaitl,C,8200,EDM,WPG,2,15.3,34.1
Mitchell Marner,W,7900,TOR,OTT,1,12.6,1.6
Johnny Gaudreau,W,7700,CGY,VAN,2,11.1,6.4
Mark Scheifele,C,7500,WPG,EDM,1,11.9,17.3
John Tavares,C,7300,TOR,OTT,2,11.9,8.0
Brock Boeser,W,7100,VAN,CGY,2,10.6,32.8
Alex DeBrincat,W,6900,CHI,DET,1,10.5,21.6
Nikolaj Ehlers,W,6900,WPG,EDM,2,10.5,16.0
Elias Pettersson,C,6700,VAN,CGY,2,0.0,11.2
Sean Monahan,C,6700,CGY,VAN,2,10.0,1.6
Kyle Connor,W,6500,WPG,EDM,2,12.6,19.7
Dylan Larkin,C,6400,DET,CHI,1,11.1,4.8
Elias Lindholm,C,6300,CGY,VAN,1,10.3,1.6
Blake Wheeler,W,6200,WPG,EDM,1,10.8,3.2
Ryan Nugent-Hopkins,W,6200,EDM,WPG,1,10.9,24.5
Anthony Mantha,W,6100,DET,CHI,2,11.3,3.2
Darnell Nurse,D,6000,EDM,WPG,24,8.9,8.0
J.T. Miller,W,5900,VAN,CGY,2,11.1,23.2
Bo Horvat,C,5800,VAN,CGY,1,10.5,24.8
William Nylander,W,5800,TOR,OTT,2,10.4,4.8
Tyson Barrie,D,5700,EDM,WPG,28,10.2,4.8
Quinn Hughes,D,5700,VAN,CGY,29,9.2,11.2
Matthew Tkachuk,W,5700,CGY,VAN,1,11.1,6.4
Brady Tkachuk,W,5600,OTT,TOR,1,10.8,23.2
Mark Giordano,D,5400,CGY,VAN,32,10.0,16.0
Paul Stastny,C,5200,WPG,EDM,2,7.6,6.4
Evgeni Dadonov,W,5200,OTT,TOR,2,8.8,1.6
Zach Hyman,W,5100,TOR,OTT,2,8.5,9.6
Morgan Rielly,D,5000,TOR,OTT,36,10.2,6.4
Neal Pionk,D,4900,WPG,EDM,37,8.7,20.0
Thomas Chabot,D,4900,OTT,TOR,38,9.8,1.6
Dominik Kubalik,W,4900,CHI,DET,2,8.6,1.6
Mikael Backlund,C,4800,CGY,VAN,3,7.7,4.8
Dylan Strome,C,4700,CHI,DET,2,8.8,3.2
Duncan Keith,D,4700,CHI,DET,43,7.6,13.3
Andrew Mangiapane,W,4600,CGY,VAN,1,7.7,13.6
Robby Fabbri,C,4600,DET,CHI,2,7.1,3.2
Kailer Yamamoto,W,4400,EDM,WPG,2,9.2,6.4
Tanner Pearson,W,4400,VAN,CGY,1,8.2,4.8
Nate Schmidt,D,4300,VAN,CGY,51,7.9,16.8
Joe Thornton,W,4300,TOR,OTT,1,5.1,1.6
Pius Suter,C,4300,CHI,DET,1,10.4,4.8
Josh Norris,C,4300,OTT,TOR,1,6.3,16.0
Jesse Puljujarvi,W,4200,EDM,WPG,1,6.5,15.2
Bobby Ryan,W,4200,DET,CHI,2,7.2,9.6
Connor Brown,W,4100,OTT,TOR,1,7.5,6.4
Joshua Morrissey,D,4100,WPG,EDM,60,7.6,22.9
Alexander Kerfoot,C,4000,TOR,OTT,3,6.4,13.6
Andrew Copp,W,4000,WPG,EDM,1,6.2,6.4
Colin White,C,3900,OTT,TOR,2,0.0,1.6
Dillon Dube,W,3900,CGY,VAN,3,5.7,3.2
Derek Stepan,C,3800,OTT,TOR,3,7.2,4.8
Filip Hronek,D,3700,DET,CHI,71,8.0,6.4
Brandon Sutter,C,3700,VAN,CGY,3,5.1,8.0
Philipp Kurashev,C,3700,CHI,DET,3,7.5,15.7
Mattias Janmark,W,3700,CHI,DET,3,5.2,0.0
Nicholas Paul,W,3700,OTT,TOR,2,6.1,0.0
Adam Lowry,C,3700,WPG,EDM,3,4.8,3.2
Drake Batherson,W,3700,OTT,TOR,3,6.5,1.6
Nils Hoglander,W,3700,VAN,CGY,1,7.8,20.8
Dominik Kahun,W,3600,EDM,WPG,2,6.8,1.6
Mason Appleton,W,3600,WPG,EDM,3,3.7,0.0
Juuso Valimaki,D,3600,CGY,VAN,91,6.1,14.4
Vladislav Namestnikov,W,3600,DET,CHI,3,7.0,4.8
Ilya Mikheyev,W,3600,TOR,OTT,3,8.2,1.6
T.J. Brodie,D,3600,TOR,OTT,106,5.7,11.2
Dominik Simon,W,3500,CGY,VAN,2,5.8,1.6
Milan Lucic,W,3300,CGY,VAN,3,4.2,3.2
Filip Zadina,W,3300,DET,CHI,1,9.0,4.8
Mathieu Perreault,W,3200,WPG,EDM,3,4.8,3.2
Valtteri Filppula,C,3200,DET,CHI,3,4.2,1.6
Adam Gaudette,C,3200,VAN,CGY,3,5.8,9.6
Kyle Turris,C,3200,EDM,WPG,3,5.9,0.0
Carl Soderberg,C,3200,CHI,DET,3,7.1,0.0
Pierre Engvall,W,3100,TOR,OTT,3,4.4,1.6
Alex Chiasson,W,3100,EDM,WPG,3,5.8,1.6
Mathias Brome,W,3000,DET,CHI,1,4.5,3.2
Devin Shore,W,3000,EDM,WPG,3,5.0,0.0
Sam Gagner,W,3000,DET,CHI,3,5.2,4.8
Antoine Roussel,W,3000,VAN,CGY,3,4.9,1.6
Brandon Hagel,W,3000,CHI,DET,2,5.5,0.0
