Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Carey Price,,,G,8800,MON,@EDM,1,53%,2.93,60.5,58.8,58.8,0.907,0.907,25.9,17.4,17.4,3.9,30.9,18.1,2.1,1.6,0.2
Braden Holtby,,,G,8300,WAS,TB,0,49%,3.27,58.8,58.7,58.7,0.909,0.909,17.8,18.7,18.7,7.0,30.5,16.0,1.9,28.8,3.5
Mikko Koskinen,,,G,8200,EDM,MON,0,47%,3.07,59.4,57.1,57.1,0.919,0.919,20.8,19.7,19.7,5.8,33.7,16.5,2.0,18.4,2.2
Jaroslav Halak,,,G,8200,BOS,NSH,1,61%,2.47,59.3,60.6,60.6,0.928,0.928,19.8,22.3,22.3,8.3,36.3,19.1,2.3,4.0,0.5
Robin Lehner,,,G,8000,CHI,@COL,1,34%,3.47,61.1,56.0,56.0,0.927,0.927,23.2,20.8,20.8,6.1,35.5,15.2,1.9,22.4,2.8
Matthew Murray,,,G,8000,PIT,@VAN,0,48%,3.06,57.0,58.2,58.2,0.897,0.897,3.8,14.2,14.2,0.6,27.9,17.7,2.2,-8.0,-1.0
Petr Mrazek,,,G,7900,CAR,FLA,1,63%,2.85,60.9,56.4,56.4,0.906,0.906,19.2,16.9,16.9,2.7,31.2,17.5,2.2,-1.6,-0.2
Curtis McElhinney,,,G,7900,TB,@WAS,1,51%,3.23,59.8,60.1,60.1,0.898,0.898,15.7,15.5,15.5,3.5,27.5,16.9,2.1,17.6,2.2
Jake Allen,,,G,7800,STL,@SJ,2,54%,2.66,57.1,59.2,59.2,0.930,0.930,27.5,21.6,21.6,7.1,36.1,17.4,2.2,31.2,4.0
Philipp Grubauer,,,G,7600,COL,CHI,1,66%,2.53,51.1,55.9,55.9,0.915,0.915,17.4,18.0,18.0,6.1,29.8,22.1,2.9,5.6,0.7
Joonas Korpisalo,,,G,7600,CLS,NJ,1,63%,2.40,56.9,58.1,58.1,0.909,0.909,21.4,17.0,17.0,4.6,29.4,19.9,2.6,24.8,3.3
Jacob Markstrom,,,G,7500,VAN,PIT,1,52%,2.94,57.7,59.9,59.9,0.914,0.914,21.8,17.8,17.8,3.6,32.0,18.1,2.4,30.4,4.1
Pekka Rinne,,,G,7500,NSH,@BOS,1,39%,3.03,59.9,56.0,56.0,0.894,0.894,18.9,15.8,15.8,-1.7,33.4,15.8,2.1,23.2,3.1
Brian Elliott,,,G,7200,PHI,@OTT,1,56%,2.81,55.7,51.9,51.9,0.904,0.904,14.6,14.4,14.4,-0.4,29.1,18.5,2.6,20.0,2.8
Martin Jones,,,G,7200,SJ,STL,3,46%,2.84,51.6,56.6,56.6,0.888,0.888,2.6,12.7,12.7,0.2,25.2,15.7,2.2,6.4,0.9
Michael Hutchinson,,,G,7200,TOR,DET,0,72%,2.52,58.2,52.8,52.8,0.876,0.876,6.4,6.5,6.5,3.3,9.8,22.6,3.1,31.2,4.3
Marcus Hogberg,,,G,7100,OTT,PHI,1,43%,3.19,56.3,56.3,56.3,0.906,0.906,13.2,13.2,13.2,6.5,19.9,0.0,0.0,11.2,1.6
Jonathan Bernier,,,G,7100,DET,@TOR,3,28%,3.98,57.6,56.1,56.1,0.896,0.896,15.5,12.7,12.7,1.2,24.2,11.3,1.6,2.4,0.3
Chris Driedger,,,G,7000,FLA,@CAR,0,37%,3.65,59.0,59.0,59.0,0.942,0.942,23.6,23.6,23.6,-1.9,49.1,10.2,1.5,37.6,5.4
Gilles Senn,,,G,7000,NJ,@CLS,0,37%,3.10,11.6,11.6,11.6,0.667,0.667,-2.4,-2.4,-2.4,-2.4,-2.4,11.3,1.6,16.0,2.3
