Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
David Pastrnak,1,,W,9200,BOS,@TOR,2,L1,P1,3.19,21.9,19.2,19.2,5.2,3.8,3.8,19.6,24.8,24.8,10.3,39.3,17.6,1.9,6.4,0.7
Alexander Ovechkin,1,,W,8800,WAS,MON,1,L1,P1,3.58,22.2,21.4,21.4,5.4,5.0,5.0,18.0,20.6,20.6,6.4,34.8,17.0,1.9,22.1,2.5
Auston Matthews,1,,C,8700,TOR,BOS,1,L1,P1,3.31,20.6,19.9,19.9,3.8,3.9,3.9,25.5,20.4,20.4,6.6,34.2,18.1,2.1,20.0,2.3
Evgeni Malkin,1,,C,8200,PIT,@NJ,2,L1,P1,3.06,17.7,16.7,16.7,3.6,3.1,3.1,16.8,14.7,14.7,5.4,24.0,15.4,1.9,12.8,1.6
Brad Marchand,1,,W,8200,BOS,@TOR,2,L1,P1,3.19,20.9,19.7,19.7,1.6,2.6,2.6,16.3,20.5,20.5,5.1,35.9,16.4,2.0,35.2,4.3
Sidney Crosby,,Q,C,8100,PIT,@NJ,2,,,3.06,19.0,20.5,20.5,3.4,2.7,2.7,12.0,14.3,14.3,3.3,25.3,0.0,0.0,0.0,0.0
Patrice Bergeron,1,,C,7800,BOS,@TOR,2,L1,P1,3.19,20.1,19.2,19.2,3.0,3.4,3.4,11.1,15.5,15.5,5.9,25.2,16.6,2.1,11.2,1.4
Mitchell Marner,,Q,W,7700,TOR,BOS,4,,,3.31,19.8,19.7,19.7,2.0,2.7,2.7,10.2,14.6,14.6,4.0,25.2,0.0,0.0,0.0,0.0
John Tavares,,,C,7600,TOR,BOS,1,L2,P1,3.31,18.6,18.3,18.3,2.8,2.2,2.2,17.7,13.9,13.9,4.8,22.9,16.9,2.2,9.6,1.3
Evgeny Kuznetsov,,,C,7600,WAS,MON,1,L2,P1,3.58,20.0,17.7,17.7,3.4,2.8,2.8,22.8,15.3,15.3,3.7,26.8,13.1,1.7,18.4,2.4
Claude Giroux,1,,C,7500,PHI,@OTT,1,L1,P1,3.43,19.6,19.4,19.4,2.8,3.3,3.3,13.5,13.1,13.1,5.0,21.2,13.3,1.8,8.0,1.1
Brendan Gallagher,,,W,7300,MON,@WAS,2,L1,P2,2.92,17.3,17.0,17.0,3.0,3.6,3.6,11.0,15.2,15.2,3.4,27.1,12.6,1.7,11.2,1.5
Taylor Hall,1,,W,7300,NJ,PIT,1,L1,P1,2.94,19.4,19.6,19.6,4.4,3.6,3.6,12.6,14.0,14.0,7.8,20.3,16.5,2.3,6.4,0.9
John Carlson,1,,D,7200,WAS,MON,1,D1,P1,3.58,25.3,25.5,25.5,4.4,2.9,2.9,21.5,21.4,21.4,10.6,32.2,13.8,1.9,18.1,2.5
Jake Guentzel,,,W,7200,PIT,@NJ,2,L1,P1,3.06,21.2,21.2,21.2,3.0,3.2,3.2,7.5,13.7,13.7,5.5,22.0,15.1,2.1,9.6,1.3
Ryan O'Reilly,1,,C,7000,STL,@CLS,2,L2,P2,2.83,21.5,20.5,20.5,2.8,1.9,1.9,15.7,13.4,13.4,-0.8,27.6,13.1,1.9,4.8,0.7
Sean Couturier,1,,C,6900,PHI,@OTT,1,L2,P2,3.43,19.4,18.9,18.9,2.2,2.6,2.6,14.2,12.3,12.3,4.6,20.0,14.9,2.2,9.6,1.4
Cam Atkinson,1,,W,6800,CLS,STL,2,L2,P2,2.67,19.5,19.1,19.1,3.0,3.7,3.7,10.7,12.2,12.2,5.5,18.8,13.1,1.9,11.7,1.7
Jakub Voracek,1,,W,6700,PHI,@OTT,1,L1,P1,3.43,16.7,16.4,16.4,2.2,2.1,2.1,7.5,10.7,10.7,-1.5,23.0,12.8,1.9,0.0,0.0
Morgan Rielly,1,,D,6600,TOR,BOS,1,D1,P1,3.31,25.0,25.5,25.5,4.0,2.6,2.6,11.9,13.9,13.9,2.3,25.5,13.4,2.0,6.4,1.0
Alex Pietrangelo,1,,D,6400,STL,@CLS,2,D1,P2,2.83,24.8,24.0,24.0,2.4,2.7,2.7,17.9,15.1,15.1,7.2,22.9,12.2,1.9,4.8,0.8
Kris Letang,,Q,D,6400,PIT,@NJ,2,,,3.06,24.0,25.0,25.0,3.6,3.7,3.7,11.5,15.1,15.1,6.8,23.5,0.0,0.0,0.0,0.0
T.J. Oshie,1,,W,6400,WAS,MON,1,L1,P1,3.58,19.7,19.3,19.3,2.2,1.9,1.9,8.2,12.0,12.0,3.9,20.0,10.8,1.7,3.2,0.5
Tomas Tatar,1,,W,6400,MON,@WAS,2,L3,P2,2.92,13.9,16.0,16.0,2.6,2.7,2.7,12.2,12.4,12.4,3.7,21.0,10.7,1.7,39.2,6.1
Travis Konecny,,,W,6300,PHI,@OTT,1,L2,P2,3.43,17.8,17.4,17.4,2.6,2.3,2.3,14.5,14.4,14.4,6.7,22.1,11.1,1.8,6.4,1.0
David Perron,,,W,6300,STL,@CLS,2,L2,P2,2.83,18.4,18.0,18.0,3.0,2.6,2.6,10.7,13.7,13.7,2.5,24.9,10.0,1.6,10.1,1.6
Brayden Schenn,,,C,6200,STL,@CLS,2,L1,P1,2.83,19.3,18.3,18.3,2.0,2.1,2.1,8.1,13.1,13.1,4.5,21.6,11.5,1.9,17.3,2.8
Shea Weber,1,Q,D,6000,MON,@WAS,2,D1,P2,2.92,23.6,23.0,23.0,3.6,2.7,2.7,20.5,15.0,15.0,3.9,26.2,12.2,2.0,24.8,4.1
William Nylander,1,,W,5900,TOR,BOS,1,L1,P1,3.31,18.6,17.9,17.9,2.6,2.5,2.5,19.4,12.2,12.2,3.7,20.6,11.7,2.0,12.8,2.2
Kyle Palmieri,1,,W,5900,NJ,PIT,1,L1,P1,2.94,17.2,17.1,17.1,1.6,2.4,2.4,5.5,11.3,11.3,-0.9,23.6,12.4,2.1,1.6,0.3
Max Domi,,,C,5900,MON,@WAS,2,L2,P1,2.92,17.3,17.1,17.1,1.8,2.4,2.4,4.9,11.1,11.1,2.1,20.1,11.9,2.0,4.8,0.8
Torey Krug,,Q,D,5800,BOS,@TOR,2,,,3.19,19.8,20.6,20.6,2.6,2.2,2.2,14.4,12.2,12.2,4.6,19.8,0.0,0.0,0.0,0.0
Nicklas Backstrom,2,,C,5800,WAS,MON,1,L1,P1,3.58,19.9,20.0,20.0,2.8,2.4,2.4,11.6,11.7,11.7,2.1,21.2,12.0,2.1,13.3,2.3
Pierre-Luc Dubois,,,C,5700,CLS,STL,2,L1,P1,2.67,18.5,18.5,18.5,1.4,2.3,2.3,6.1,11.5,11.5,3.5,19.6,11.4,2.0,20.0,3.5
David Krejci,1,,C,5600,BOS,@TOR,2,L2,P2,3.19,17.9,16.5,16.5,1.8,1.8,1.8,14.1,10.5,10.5,0.1,20.9,10.1,1.8,11.2,2.0
Jaden Schwartz,1,,W,5600,STL,@CLS,2,L1,P1,2.83,18.8,17.9,17.9,2.0,2.1,2.1,13.7,11.5,11.5,5.3,17.7,11.6,2.1,11.7,2.1
Thomas Chabot,1,,D,5600,OTT,PHI,1,D1,P1,3.07,24.6,25.9,25.9,2.2,2.8,2.8,7.7,11.7,11.7,3.7,19.6,13.3,2.4,4.8,0.9
Zachary Werenski,1,,D,5600,CLS,STL,2,D1,P1,2.67,25.2,23.8,23.8,4.2,2.8,2.8,14.4,11.4,11.4,3.5,19.3,10.9,1.9,23.7,4.2
Jakub Vrana,,,W,5600,WAS,MON,1,L2,P2,3.58,14.5,14.0,14.0,2.8,2.8,2.8,16.5,13.4,13.4,1.0,25.8,9.9,1.8,4.8,0.9
Gustav Nyquist,1,,W,5500,CLS,STL,2,L1,P1,2.67,17.4,17.4,17.4,3.0,2.6,2.6,12.5,10.2,10.2,1.8,18.7,10.8,2.0,1.6,0.3
Patric Hornqvist,,,W,5500,PIT,@NJ,12,,,3.06,14.9,15.8,15.8,3.2,2.9,2.9,12.6,13.2,13.2,1.0,25.3,0.0,0.0,0.0,0.0
Jean-Gabriel Pageau,,,C,5400,OTT,PHI,1,L2,,3.07,18.0,17.7,17.7,2.8,2.5,2.5,20.2,14.6,14.6,3.6,25.5,9.0,1.7,0.0,0.0
Seth Jones,1,,D,5400,CLS,STL,2,D1,P2,2.67,26.1,25.2,25.2,2.2,2.3,2.3,11.0,11.5,11.5,6.0,16.9,12.9,2.4,14.9,2.8
Brady Tkachuk,1,,W,5400,OTT,PHI,1,L1,P1,3.07,16.6,17.8,17.8,3.2,3.7,3.7,12.5,12.9,12.9,3.3,22.5,13.0,2.4,1.6,0.3
Andreas Johnson,,,W,5400,TOR,BOS,1,L1,P1,3.31,18.6,17.3,17.3,2.6,2.4,2.4,10.6,10.5,10.5,3.3,17.6,9.9,1.8,3.2,0.6
Phillip Danault,,,C,5300,MON,@WAS,2,L1,P2,2.92,19.7,18.2,18.2,2.0,1.6,1.6,7.0,9.8,9.8,1.0,18.6,9.4,1.8,32.8,6.2
James van Riemsdyk,,,W,5200,PHI,@OTT,1,L3,P1,3.43,15.7,16.5,16.5,1.4,3.2,3.2,8.5,10.4,10.4,1.7,19.2,11.3,2.2,4.8,0.9
Kevin Hayes,,,C,5200,PHI,@OTT,1,L3,,3.43,18.8,18.5,18.5,2.6,2.8,2.8,5.1,9.2,9.2,0.5,17.9,10.9,2.1,0.0,0.0
Ivan Provorov,1,,D,5100,PHI,@OTT,1,D1,P2,3.43,24.5,24.2,24.2,2.6,2.2,2.2,9.4,10.7,10.7,1.9,19.4,10.3,2.0,1.6,0.3
Jonathan Drouin,,,W,5100,MON,@WAS,2,L1,P2,2.92,17.4,16.8,16.8,1.6,2.3,2.3,8.2,12.4,12.4,4.2,20.7,10.7,2.1,6.4,1.3
Justin Schultz,1,,D,5000,PIT,@NJ,2,D2,P1,3.06,22.2,20.8,20.8,2.4,2.7,2.7,9.1,9.8,9.8,2.8,16.7,9.4,1.9,4.8,1.0
Jack Hughes,1,,C,5000,NJ,PIT,1,L1,P1,2.94,15.8,16.1,16.1,1.6,1.9,1.9,7.5,9.0,9.0,-0.4,18.4,12.2,2.4,3.2,0.6
Oliver Bjorkstrand,1,,W,4900,CLS,STL,2,L1,P1,2.67,17.0,16.7,16.7,3.8,2.9,2.9,10.1,9.0,9.0,0.7,17.3,9.6,2.0,3.2,0.7
Nico Hischier,,,C,4800,NJ,PIT,1,L2,P2,2.94,17.3,16.7,16.7,1.6,1.8,1.8,7.5,8.6,8.6,0.4,16.7,12.1,2.5,9.6,2.0
Nick Foligno,,S,W,4800,CLS,STL,2,,,2.67,16.3,17.5,17.5,1.6,1.9,1.9,5.8,7.6,7.6,-0.1,15.4,0.0,0.0,0.0,0.0
Jake DeBrusk,,Q,W,4700,BOS,@TOR,4,,,3.19,16.6,16.2,16.2,2.0,2.3,2.3,9.9,8.1,8.1,1.8,14.3,0.0,0.0,0.0,0.0
Jacob Muzzin,,,D,4700,TOR,BOS,1,D2,,3.31,22.0,21.9,21.9,3.2,2.2,2.2,10.9,11.2,11.2,4.0,18.4,9.7,2.1,12.8,2.7
Alex Galchenyuk,,,W,4700,PIT,@NJ,2,L2,P1,3.06,14.1,14.7,14.7,3.4,2.8,2.8,7.7,7.7,7.7,2.3,13.1,11.1,2.4,9.6,2.0
Shayne Gostisbehere,1,,D,4700,PHI,@OTT,1,D2,P1,3.43,18.5,18.7,18.7,1.0,1.8,1.8,6.0,7.1,7.1,1.0,13.2,11.9,2.5,8.0,1.7
P.K. Subban,,,D,4700,NJ,PIT,1,D1,P2,2.94,24.1,23.9,23.9,2.8,2.6,2.6,6.4,8.6,8.6,2.1,15.1,11.7,2.5,6.4,1.4
Kasperi Kapanen,,,W,4700,TOR,BOS,1,L2,P2,3.31,17.7,17.0,17.0,2.0,1.5,1.5,5.9,8.4,8.4,-0.6,17.4,9.3,2.0,20.0,4.3
Colin White,,,C,4600,OTT,PHI,1,L3,P1,3.07,16.2,17.3,17.3,1.6,1.5,1.5,6.9,6.5,6.5,0.5,12.6,9.7,2.1,1.6,0.3
Colton Parayko,,,D,4600,STL,@CLS,2,D2,P1,2.83,23.0,23.0,23.0,4.0,2.4,2.4,15.6,10.7,10.7,3.2,18.3,10.0,2.2,6.4,1.4
Oskar Lindblom,,,W,4600,PHI,@OTT,1,L2,P2,3.43,17.8,17.2,17.2,2.4,2.3,2.3,8.3,11.6,11.6,3.7,19.5,9.7,2.1,4.8,1.0
Bryan Rust,,,W,4500,PIT,@NJ,2,L1,,3.06,14.9,15.0,15.0,3.0,2.4,2.4,16.7,15.7,15.7,7.7,23.7,9.0,2.0,6.4,1.4
