Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Matthew Murray,,,G,9000,PIT,@NJ,2,52%,2.94,55.4,58.5,58.5,0.914,0.914,11.5,18.2,18.2,5.0,31.3,18.7,2.1,7.2,0.8
Carey Price,,,G,8800,MON,@WAS,2,39%,3.58,60.4,60.3,60.3,0.916,0.916,21.8,20.4,20.4,9.9,30.9,13.8,1.6,24.8,2.8
Tuukka Rask,1,,G,8700,BOS,@TOR,2,48%,3.31,60.7,60.7,60.7,0.926,0.926,12.8,22.3,22.3,8.3,36.4,14.3,1.6,27.2,3.1
Frederik Andersen,,,G,8500,TOR,BOS,1,52%,3.19,62.1,60.3,60.3,0.912,0.912,22.9,19.0,19.0,5.9,32.1,18.4,2.2,12.0,1.4
Ilya Samsonov,1,,G,7900,WAS,MON,1,61%,2.92,59.4,59.5,59.5,0.915,0.915,16.6,19.8,19.8,11.9,27.6,16.7,2.1,12.0,1.5
Carter Hart,1,,G,7600,PHI,@OTT,1,56%,3.07,62.9,53.3,53.3,0.904,0.904,24.6,14.5,14.5,-2.2,31.3,17.6,2.3,5.6,0.7
Joonas Korpisalo,,,G,7500,CLS,STL,2,47%,2.83,52.2,57.5,57.5,0.895,0.895,10.2,13.7,13.7,3.2,24.2,16.3,2.2,24.0,3.2
Anders Nilsson,,,G,7400,OTT,PHI,1,44%,3.43,48.3,53.7,53.7,0.921,0.921,16.5,19.6,19.6,2.7,36.6,16.5,2.2,28.8,3.9
Jake Allen,,,G,7400,STL,@CLS,2,53%,2.67,59.3,59.3,59.3,0.882,0.882,15.4,15.4,15.4,3.3,27.5,17.2,2.3,16.8,2.3
MacKenzie Blackwood,,,G,7200,NJ,PIT,1,48%,3.06,60.8,57.9,57.9,0.895,0.895,19.2,13.6,13.6,-2.6,29.8,17.1,2.4,38.4,5.3
