Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Nikola Jokic,12,,C,11400,DEN,@BKN,1,115,31,30,106,105,5%,12,17,16,30,34,35,52.0,54.8,42.8,66.7,35.0,54.9,4.8,34.3,72.1,6.3
James Harden,6,,SG,10400,HOU,LAL,1,110,31,25,103,103,5%,14,16,17,34,37,37,44.0,49.2,37.5,60.8,37.0,49.7,4.8,30.9,33.4,3.2
Kevin Durant,16,,SF,10100,BKN,DEN,1,117,31,26,100,111,-6%,18,19,18,38,37,35,49.3,47.4,40.0,54.9,36.0,49.6,4.9,35.9,57.3,5.7
LeBron James,7,Q,SF,9900,LAL,@HOU,1,114,33,24,103,107,-7%,18,17,18,32,33,33,46.5,45.7,38.0,53.3,34.0,47.7,4.8,29.2,41.1,4.2
Andre Drummond,4,O,C,9800,CLE,UTA,0,98,31,19,101,107,-7%,20,18,17,38,34,32,45.3,46.2,31.8,60.6,0.0,0.0,0.0,0,0.0,0.0
Anthony Davis,6,Q,PF,9800,LAL,@HOU,1,114,27,25,103,107,-13%,15,18,17,32,33,33,50.6,44.3,33.0,55.6,34.0,47.5,4.8,28.9,49.0,5.0
Stephen Curry,11,,PG,9600,GSW,IND,1,115,33,24,103,108,-6%,20,21,21,37,35,34,47.6,45.6,31.2,60.0,35.5,49.4,5.1,35.9,33.3,3.5
Kyrie Irving,,O,PG,9500,BKN,DEN,6,117,30,27,100,111,16%,20,21,20,34,34,33,45.8,46.1,36.6,55.6,0.0,0.0,0.0,,0.0,0.0
Domas Sabonis,12,,PF,9200,IND,@GSW,0,112,25,21,108,108,3%,23,17,16,41,39,38,44.2,44.3,35.3,53.3,37.5,49.5,5.4,36.6,42.8,4.7
Shai Gilgeous-Alexander,12,,SG,8500,OKC,SAS,1,108,28,21,103,110,4%,15,16,16,35,34,34,43.1,39.8,28.2,51.4,34.5,41.7,4.9,33.5,31.8,3.7
Malcolm Brogdon,14,,PG,8400,IND,@GSW,0,112,25,23,108,108,12%,19,20,18,39,41,39,50.0,42.7,32.6,52.8,37.5,44.7,5.3,33,35.4,4.2
Christian Wood,7,,PF,8100,HOU,LAL,1,110,25,24,103,103,-4%,19,16,17,29,31,34,42.8,43.6,34.7,52.4,32.0,38.9,4.8,25.9,27.1,3.3
DeMar DeRozan,,O,SG,8100,SAS,@OKC,1,111,25,24,103,106,-9%,18,16,15,40,34,35,39.9,41.7,30.3,53.2,0.0,0.0,0.0,0,0.0,0.0
Rudy Gobert,6,,C,8000,UTA,@CLE,1,110,17,21,99,101,-2%,7,8,9,33,31,31,39.2,39.5,34.6,44.4,32.5,39.0,4.9,25.4,20.0,2.5
Caris LeVert,12,,SG,7900,BKN,DEN,1,117,31,19,100,111,-19%,20,19,17,36,30,28,40.3,35.4,19.8,51.0,30.5,36.6,4.6,25.8,34.0,4.3
Donovan Mitchell,8,,SG,7800,UTA,@CLE,1,110,32,16,99,101,0%,21,21,20,35,33,34,37.5,34.9,27.0,42.9,34.5,36.8,4.7,30.1,35.6,4.6
John Wall,3,P,PG,7600,HOU,LAL,1,110,27,17,103,103,-9%,13,15,16,32,34,35,36.1,37.4,25.6,49.1,35.5,35.1,4.6,29.9,23.5,3.1
