Name,Actual Ownership
Derrick Henry,39.1%
Davante Adams,35.7%
Ezekiel Elliott,35.5%
Jonathan Taylor,26.8%
Raheem Mostert,20.3%
Adam Thielen,20.2%
Calvin Ridley,17.8%
Aaron Rodgers,17.1%
Amari Cooper,17%
DeAndre Hopkins,16.9%
Arizona Cardinals,15.3%
Mark Andrews,15%
Marquise Brown,12.9%
Julio Jones,12.9%
Clyde Edwards-Helaire,12.6%
Lamar Jackson,12.5%
Aaron Jones,12.2%
Kenyan Drake,12.1%
Mike Evans,11.9%
T.Y. Hilton,11.6%
Michael Gallup,11.5%
Dak Prescott,11%
San Francisco 49ers,10.6%
Christian McCaffrey,10.4%
Pittsburgh Steelers,10.3%
JuJu Smith-Schuster,9.9%
CeeDee Lamb,9.9%
Travis Kelce,9.9%
Buffalo Bills,9.9%
Josh Allen,9.7%
Darius Slayton,8.8%
Will Fuller V,8.7%
Jonnu Smith,8.7%
Corey Davis,8%
Dallas Goedert,7.6%
Logan Thomas,7.6%
Stefon Diggs,7.6%
Miles Sanders,7.5%
Patrick Mahomes,7.5%
Tyreek Hill,7.5%
Chicago Bears,7.2%
Scotty Miller,7.1%
T.J. Hockenson,7%
Tampa Bay Buccaneers,6.8%
Sammy Watkins,6.5%
Matt Ryan,6.4%
Austin Ekeler,6.4%
Dalvin Cook,6.1%
Zach Ertz,5.5%
Noah Fant,5.2%
John Brown,4.6%
Tom Brady,4.3%
Los Angeles Rams,4.2%
Baltimore Ravens,4.1%
Hunter Henry,3.9%
David Johnson,3.8%
Jordan Reed,3.7%
Tyler Higbee,3.2%
Melvin Gordon III,3.1%
Green Bay Packers,2.8%
Russell Gage,2.6%
Devin Singletary,2.4%
New York Giants,2.4%
DJ Moore,2.4%
Mark Ingram II,2.3%
Quintez Cephus,1.8%
Keenan Allen,1.8%
Deshaun Watson,1.5%
Eric Ebron,1.5%
