Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Luka Doncic,PG,DAL,vs MIN,20th,117.50,12500,43.1,81.3,57.2,9.4,1.69,60.88,14.22,10.92,13.73,36.4,20.2,33.8,34.75,59.48,59.48,100,,81,4.8,Y,32,34.40,2.8
Giannis Antetokounmpo,SF,MIL,@ DET,12th,116.00,12400,46.1,86.3,60.0,5.8,1.89,67.95,9.93,11.48,9.17,37.7,20.2,31.8,33.25,63.29,63.29,100,,81,5.1,Y,28,49.80,4
LeBron James,SF,LAL,@ UTA,17th,105.25,11000,34.5,75.1,52.3,10.8,1.49,53.83,11.14,11.60,11.06,31.9,19.7,35.0,35.75,51.87,51.87,100,,78,4.7,Y,29,44.80,4.1
Anthony Davis,PF,LAL,@ UTA,1st,105.25,10800,36.9,70.4,52.1,3.3,1.50,54.09,11.22,9.56,11.06,30.4,18.9,34.7,35.50,51.23,51.23,100,,82,4.7,Y,26,46.70,4.3
Karl-Anthony Towns,C,MIN,@ DAL,5th,112.50,10600,33.7,79,51.3,4.1,1.55,55.81,15.52,12.95,14.77,28.4,17.5,33.1,34.25,53.10,53.10,100,,75,5,Y,37,51.30,4.8
Trae Young,PG,ATL,vs BKN,30th,112.50,10300,24.4,77.1,44.8,8.3,1.30,46.77,11.43,15.03,11.19,33.7,20.4,34.5,35.25,46.99,46.99,100,,66,4.6,Y,37,54.60,5.3
Andre Drummond,C,DET,vs MIL,4th,108.00,10000,30.8,78.2,48.9,3.1,1.44,51.73,11.64,13.56,11.96,24.7,13.3,34.0,37.00,51.10,51.10,100,,72,5.1,Y,33,59.30,5.9
Kyrie Irving,PG,BKN,@ ATL,5th,115.50,9700,0,25.3,48.3,7.2,1.43,51.42,10.90,12.67,0,32.4,22.9,33.8,0.00,0.00,0.00,100,,74,0,,,,
Damian Lillard,PG,POR,vs SAC,7th,110.50,9100,30.3,64.8,45.0,7.3,1.23,44.32,8.67,9.85,8.97,28.2,18.8,36.6,37.25,45.11,45.11,100,,78,5,Y,37,48.80,5.4
D'Angelo Russell,SG,GSW,@ CHA,28th,105.50,8800,8.2,72.9,39.3,6.7,1.25,45.02,14.98,18.49,12.28,31.5,18.7,31.4,29.50,35.93,35.93,100,,53,4.1,Y,25,21.40,2.4
Domantas Sabonis,PF,IND,@ OKC,7th,104.75,8800,28.1,54.5,40.5,3.8,1.18,42.64,9.42,7.55,8.83,24.1,14.2,34.2,33.75,39.39,39.39,100,,81,4.5,Y,35,37.60,4.3
Spencer Dinwiddie,PG,BKN,@ ATL,5th,115.50,8700,22.2,65,34.3,5.9,1.17,42.39,9.85,12.22,9.17,29.8,15.7,29.2,33.50,40.52,40.52,100,,64,4.7,Y,34,37.70,4.3
Jimmy Butler,SG,MIA,@ BOS,23rd,102.25,8600,26.9,57.7,43.1,6.7,1.28,45.88,9.86,8.81,9.18,25.1,13.1,33.8,33.50,40.10,40.10,100,,80,4.7,Y,37,52.20,6.1
Jonas Valanciunas,C,MEM,@ CHI,29th,108.25,8600,15.1,57.8,29.6,1.9,1.20,43.46,14.56,12.20,11.32,22.9,10.4,24.6,28.00,33.43,33.43,100,,59,3.9,Y,29,58.10,6.8
Zach LaVine,SG,CHI,vs MEM,19th,114.25,8500,19.2,64.2,35.0,3.9,1.09,39.13,12.42,12.85,11.9,29.8,17.9,32.2,34.50,38.45,38.45,100,,63,4.5,Y,34,38.70,4.6
Devonte' Graham,SG,CHA,vs GSW,10th,107.50,8300,20.7,53.3,33.0,7.7,0.99,35.49,9.36,9.33,9.1,24.7,14.6,33.5,35.00,34.66,34.66,100,,72,4.2,Y,36,58.90,7.1
Malcolm Brogdon,PG,IND,@ OKC,21st,104.75,8300,24.3,61.3,37.7,8.0,1.19,42.73,8.36,10.59,8.13,26.6,14.9,31.8,35.00,40.15,40.15,100,,72,4.8,Y,31,27.80,3.3
Andrew Wiggins,SG,MIN,@ DAL,22nd,112.50,8300,26,62.1,40.3,3.5,1.15,41.64,9.64,10.32,9.44,28.3,20.4,34.9,35.25,41.49,41.49,100,,74,5,Y,32,39.50,4.8
Hassan Whiteside,C,POR,vs SAC,20th,110.50,8300,20.8,55.1,36.6,0.9,1.34,48.01,11.96,9.79,9.22,21.5,10.4,27.4,27.75,35.49,35.49,100,,73,4.3,Y,34,58.70,7.1
Devin Booker,SG,PHX,@ ORL,13th,107.50,8200,21.2,59.7,36.6,6.2,1.03,37.23,10.55,11.01,10.48,28.2,17.1,35.4,35.75,37.68,37.68,100,,70,4.6,Y,30,26.10,3.2
Jayson Tatum,PF,BOS,vs MIA,9th,108.25,8200,24.6,56.4,37.8,2.7,1.09,39.40,9.48,9.09,9.22,27.6,18.6,34.6,35.00,38.22,38.22,100,,76,4.7,Y,34,39.50,4.8
Nikola Vucevic,C,ORL,vs PHX,8th,106.50,8100,0,23.1,39.8,3.5,1.29,46.47,11.04,11.56,0,25.1,15.1,30.9,0.00,0.00,0.00,100,,71,0,,,,
Bam Adebayo,PF,MIA,@ BOS,6th,102.25,8100,21.8,56.1,37.9,4.1,1.17,42.26,8.20,9.80,7.46,19.2,9.0,32.3,32.75,36.49,36.49,100,,74,4.5,Y,38,22.30,2.8
Kristaps Porzingis,PF,DAL,vs MIN,5th,117.50,8100,20.5,60.2,36.3,1.4,1.19,42.82,12.22,11.34,10.69,25.7,15.1,30.5,31.50,37.54,37.54,100,,69,4.6,Y,29,29.20,3.6
Ja Morant,PG,MEM,@ CHI,1st,108.25,8000,0,23.4,33.8,6.4,1.18,42.37,11.24,11.71,0,30.1,15.2,28.7,0.00,0.00,0.00,100,,65,0,,,,
Donovan Mitchell,SG,UTA,vs LAL,2nd,107.25,8000,25.1,56.6,38.6,3.6,1.11,40.02,8.56,9.00,8.5,31.1,20.5,34.7,35.75,38.58,38.58,100,,77,4.8,Y,33,39.30,4.9
