Player Name,Likes,Inj,Pos,Salary,Team,Opp,Vegas Pts,Vegas Spread,Defense Pass Yds/G,Defense Rush Yds/G,DvP,L3 Pass Att,S Pass Att,Proj Pass Att,Red Zone Pass Att,Yards Per Pass Att,L3 Rush Att,S Rush Att,Proj Rush Att,Red Zone Rush Att,Yards Per Rush Att,L3 Targets,S Targets,Proj Targets,Red Zone Targets,Yards Per Target,Projected Usage,L3 FP,L16 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Christian McCaffrey,0,O,RB,10000,CAR,CHI,23.0,CAR by 1,-7%,-5%,-5%,0.0,0.0,0.0,0.0,0.0,20.5,20.5,0.0,6.0,3.8,4.5,4.5,0.0,0.0,7.4,0,24.9,24.9,24.9,22.0,27.7,0.0,0.0,0.0,0.0
Dalvin Cook,1,Q,RB,9500,MIN,ATL,29.3,MIN by 4,35%,-7%,18%,0.0,0.0,0.0,0.0,0.0,22.0,18.4,0.0,3.4,5.3,4.0,3.2,0.0,0.0,4.0,0,23.3,21.5,21.5,16.6,26.3,0.0,0.0,0.0,0.0
Derrick Henry,19,,RB,9000,TEN,HOU,28.0,TEN by 3,-9%,35%,29%,0.0,0.0,0.0,0.0,0.0,27.3,27.3,21.3,6.7,3.9,2.7,2.7,1.9,0.3,3.3,37,16.3,16.3,16.3,7.4,25.3,18.6,2.1,39.4,4.4
Lamar Jackson,9,,QB,9000,BAL,@PHI,27.5,BAL by 7.5,-3%,-4%,-2%,28.7,27.0,28.8,4.2,7.0,6.0,8.2,8.1,1.4,5.8,0.0,0.0,0.0,0.0,0.0,60,18.3,20.0,20.0,13.6,26.3,23.2,2.6,28.2,3.1
Davante Adams,9,,WR,9000,GB,@TB,27.3,GB by 0,-4%,-51%,-5%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,10.0,10.5,1.5,9.6,16,19.9,19.9,19.9,-1.0,40.7,15.8,1.8,9.1,1.0
Calvin Ridley,10,,WR,8600,ATL,@MIN,25.3,MIN by 4,9%,12%,26%,0.0,0.0,0.0,0.0,0.0,0.3,0.4,0.4,0.2,3.0,9.3,10.0,9.4,1.6,9.7,15,10.6,17.5,17.5,5.9,29.1,15.1,1.8,15.9,1.8
Aaron Jones,7,,RB,8500,GB,@TB,27.3,GB by 0,-4%,-51%,-9%,0.0,0.0,0.0,0.0,0.0,16.3,16.3,14.9,3.8,5.8,5.7,5.8,4.8,2.3,5.9,30,26.3,23.6,23.6,10.1,37.1,16.3,1.9,11.6,1.4
Aaron Rodgers,6,,QB,8400,GB,@TB,27.3,GB by 0,-4%,-51%,-16%,31.7,34.8,38.2,7.5,8.7,1.7,1.5,3.2,0.0,5.2,0.3,0.3,0.0,0.0,-6.0,64,24.3,25.9,25.9,20.4,31.4,20.4,2.4,5.8,0.7
Deshaun Watson,2,,QB,8200,HOU,@TEN,25.0,TEN by 3,3%,40%,-36%,31.7,32.6,35.7,3.4,8.9,2.7,3.8,5.2,0.4,4.4,0.0,0.0,0.0,0.0,0.0,65,21.9,20.7,20.7,16.4,24.9,22.0,2.7,32.0,3.9
Julio Jones,5,,WR,8200,ATL,@MIN,25.3,MIN by 4,9%,12%,26%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,6.7,6.7,9.4,0.3,10.7,15,9.6,9.6,9.6,0.4,18.8,13.1,1.6,29.7,3.6
Cam Newton,3,,QB,8000,NE,DEN,27.5,NE by 10,3%,-8%,-7%,30.3,30.3,31.6,5.7,7.8,11.7,11.7,9.0,4.0,4.3,0.0,0.0,0.0,0.0,0.0,65,24.5,24.5,24.5,12.7,36.2,21.1,2.6,20.0,2.5
Nick Chubb,,O,RB,8000,CLE,@PIT,24.0,PIT by 3,-5%,-46%,-39%,0.0,0.0,0.0,0.0,0.0,15.7,14.3,0.0,2.8,5.9,0.7,0.8,0.0,0.0,5.7,0,17.9,14.7,14.7,3.1,26.2,0.0,0.0,0.0,0.0
Chris Godwin,0,,WR,7700,TB,GB,27.3,GB by 0,-1%,-11%,-20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,6.5,6.5,7.8,1.5,11.0,13,12.9,12.9,12.9,10.1,15.7,13.2,1.7,7.3,0.9
Miles Sanders,1,Q,RB,7600,PHI,BAL,20.0,BAL by 7.5,-3%,-22%,-19%,0.0,0.0,0.0,0.0,0.0,14.0,15.5,15.8,2.5,5.1,5.3,5.8,5.7,0.3,4.2,35,14.7,15.7,15.7,9.4,22.0,14.3,1.9,11.7,1.5
Mark Andrews,15,,TE,7600,BAL,@PHI,27.5,BAL by 7.5,-3%,-4%,53%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,5.8,6.8,1.6,7.7,11,12.5,12.2,12.2,4.0,20.5,12.3,1.6,3.1,0.4
Ben Roethlisberger,6,,QB,7600,PIT,CLE,27.0,PIT by 3,19%,-27%,18%,37.0,35.8,35.2,4.3,7.1,3.3,3.3,1.2,1.0,0.2,0.0,0.0,0.0,0.0,0.0,57,19.9,20.5,20.5,19.0,21.9,18.9,2.5,11.0,1.4
Mike Evans,1,,WR,7600,TB,GB,27.3,GB by 0,-1%,-11%,-20%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,8.0,1.2,7.7,13,15.8,14.8,14.8,8.8,20.9,13.7,1.8,1.5,0.2
Mike Davis,11,,RB,7500,CAR,CHI,23.0,CAR by 1,-7%,-5%,-5%,0.0,0.0,0.0,0.0,0.0,15.0,9.2,15.8,2.4,4.8,8.3,6.6,6.1,1.6,6.2,37,21.4,15.1,15.1,5.3,24.9,17.8,2.4,10.5,1.4
Tom Brady,6,,QB,7500,TB,GB,27.3,GB by 0,-1%,-11%,-20%,41.7,39.2,38.5,6.2,7.0,3.7,3.0,0.9,0.6,0.4,0.0,0.0,0.0,0.0,0.0,65,23.8,20.7,20.7,11.5,29.9,19.7,2.6,14.6,1.9
Adam Thielen,13,,WR,7400,MIN,ATL,29.3,MIN by 4,35%,-7%,20%,0.0,0.0,0.0,0.0,0.0,1.0,0.6,0.3,0.2,5.0,9.3,8.8,9.4,1.4,8.3,16,19.3,18.1,18.1,8.1,28.0,15.2,2.1,12.6,1.7
Matt Ryan,3,,QB,7400,ATL,@MIN,25.3,MIN by 4,9%,12%,9%,38.0,40.8,39.2,5.2,7.2,1.3,1.8,1.3,0.6,2.6,0.0,0.0,0.0,0.0,0.0,62,10.9,17.2,17.2,8.3,26.2,17.8,2.4,31.6,4.3
Ryan Fitzpatrick,3,,QB,7400,MIA,NYJ,28.3,MIA by 9.5,7%,8%,5%,31.0,34.0,35.4,4.2,7.9,5.3,4.8,4.9,1.6,5.5,0.3,0.2,0.0,0.0,0.0,63,25.2,21.7,21.7,14.1,29.2,19.7,2.7,18.0,2.4
Jonathan Taylor,7,,RB,7300,IND,CIN,27.3,IND by 8,-8%,34%,7%,0.0,0.0,0.0,0.0,0.0,14.0,15.4,17.4,3.4,4.0,1.7,2.6,2.5,0.6,8.2,33,11.8,13.1,13.1,9.6,16.6,16.4,2.2,13.5,1.8
Matthew Stafford,4,,QB,7300,DET,@JAX,28.8,DET by 3,12%,15%,19%,31.7,34.3,36.0,5.8,7.4,1.7,2.5,2.1,0.5,4.5,0.0,0.0,0.0,0.0,0.0,61,19.7,19.0,19.0,16.1,22.0,19.9,2.7,13.3,1.8
Ryan Tannehill,1,,QB,7300,TEN,HOU,28.0,TEN by 3,-9%,35%,-2%,34.7,34.7,32.9,4.3,7.8,3.7,3.7,4.1,0.0,3.2,0.3,0.3,0.0,0.0,0.0,58,19.8,19.8,19.8,13.0,26.6,20.6,2.8,29.6,4.1
Kenny Golladay,12,,WR,7200,DET,@JAX,28.8,DET by 3,12%,15%,7%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.5,7.5,8.6,2.0,7.9,14,14.4,14.4,14.4,14.1,14.8,13.6,1.9,12.5,1.7
Gardner Minshew,0,,QB,7200,JAX,DET,25.8,DET by 3,-6%,44%,-8%,43.7,39.2,36.4,6.8,7.3,3.0,3.6,3.9,0.2,4.8,0.0,0.0,0.0,0.0,0.0,62,17.3,19.7,19.7,14.0,25.3,19.5,2.7,18.6,2.6
Kirk Cousins,14,,QB,7100,MIN,ATL,29.3,MIN by 4,35%,-7%,63%,29.3,27.8,34.9,2.6,8.1,2.3,2.2,2.2,0.2,5.0,0.0,0.0,0.0,0.0,0.0,59,17.2,15.2,15.2,6.7,23.6,19.5,2.7,26.7,3.8
James Conner,4,,RB,7100,PIT,CLE,27.0,PIT by 3,19%,-27%,-9%,0.0,0.0,0.0,0.0,0.0,16.3,13.8,16.0,3.0,4.9,3.3,3.5,3.8,0.8,5.9,31,18.6,14.6,14.6,5.8,23.4,15.1,2.1,16.7,2.4
JuJu Smith,10,,WR,7100,PIT,CLE,27.0,PIT by 3,19%,-27%,33%,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,6.0,8.1,1.0,7.8,13,9.1,12.3,12.3,4.8,19.8,11.6,1.6,1.6,0.2
