Player Name,Pos,Salary,Team,Proj FP,Actual FP
Jordan Howard,RB,5100,MIA,7.8,6.4
Steven Sims Jr.,WR,5100,WAS,9.7,4.8
Antonio Gibson,RB,5100,WAS,11.4,11.7
Christopher Herndon IV,TE,5100,NYJ,10.2,1.0
Marquez Valdes-Scantling,WR,5100,GB,9.4,7.9
Willie Snead,WR,5100,BAL,6.2,3.9
Jalen Reagor,WR,5100,PHI,8.4,6.1
JJ Arcega-Whiteside,WR,5000,PHI,3.1,0.0
Chase Edmonds,RB,5000,ARI,6.6,2.8
Ian Thomas,TE,5000,CAR,6.4,0.0
Mecole Hardman,WR,5000,KC,7.2,6.3
Kyle Rudolph,TE,5000,MIN,6.800000000000001,0.0
Tarik Cohen,RB,5000,CHI,9.799999999999999,3.2
Zach Pascal,WR,5000,IND,6.2,9.4
Cordarrelle Patterson,WR,5000,CHI,4.7,4.3
Kerryon Johnson,RB,5000,DET,5.8,9.2
Laviska Shenault Jr.,WR,4900,JAX,9.899999999999999,8.7
Jonnu Smith,TE,4900,TEN,10.0,22.4
Corey Davis,WR,4900,TEN,12.0,11.1
Randall Cobb,WR,4900,HOU,7.5,8.4
Brandon Aiyuk,WR,4900,SF,9.2,3.1
Greg Ward Jr.,WR,4900,PHI,4.3,1.0
Eric Ebron,TE,4900,PIT,7.5,5.8
Myles Gaskin,RB,4900,MIA,8.7,11.2
Jerick McKinnon,RB,4900,SF,7.5,13.7
Darrell Henderson,RB,4900,LAR,2.9,19.1
Chris Conley,WR,4900,JAX,5.4,6.8
Josh Adams,RB,4900,NYJ,4.6,0.0
James Washington,WR,4900,PIT,8.7,3.7
Olabisi Johnson,WR,4900,MIN,6.699999999999999,2.9
Matt Breida,RB,4800,MIA,4.1,4.4
Marvin Hall,WR,4800,DET,4.0,8.9
Jordan Reed,TE,4800,SF,8.3,20.5
Tony Pollard,RB,4800,DAL,7.3999999999999995,1.4
Josh Reynolds,WR,4800,LAR,4.2,4.3
Darrel Williams,RB,4800,KC,6.5,1.7
Keelan Cole,WR,4800,JAX,7.3,14.8
O.J. Howard,TE,4800,TB,7.3,1.6
Jamaal Williams,RB,4800,GB,7.3999999999999995,8.3
Royce Freeman,RB,4700,DEN,5.5,2.0
Dawson Knox,TE,4700,BUF,6.199999999999999,2.3
Javon Wims,WR,4700,CHI,1.3,2.7
Alexander Mattison,RB,4700,MIN,8.1,2.1
Miles Boykin,WR,4700,BAL,7.9,5.8
Justin Jefferson,WR,4700,MIN,7.800000000000001,5.9
Corey Clement,RB,4700,PHI,3.4,0.0
Chris Thompson,RB,4700,JAX,6.300000000000001,10.2
Dion Lewis,RB,4700,NYG,1.7,13.6
Demarcus Robinson,WR,4700,KC,5.6,4.3
DaeSean Hamilton,WR,4700,DEN,2.4,1.0
Logan Thomas,TE,4700,WAS,8.0,4.6
Adam Humphries,WR,4700,TEN,9.6,13.3
Dontrelle Inman,WR,4600,WAS,5.5,2.7
Dante Pettis,WR,4600,SF,3.4,0.0
Antonio Gandy-Golden,WR,4600,WAS,2.3,0.8
Jaylen Samuels,RB,4600,PIT,3.0,0.9
Jordan Akins,TE,4600,HOU,6.0,9.0
Darnell Mooney,WR,4600,CHI,3.5,11.1
Tim Patrick,WR,4600,DEN,4.3,3.4
Quintez Cephus,WR,4600,DET,8.4,6.9
Tyler Eifert,TE,4600,JAX,5.8,11.1
Kenny Stills,WR,4600,HOU,4.3,2.6
Benny Snell,RB,4600,PIT,8.0,-1.4
Irv Smith Jr.,TE,4600,MIN,6.1,0.8
KJ Hamler,WR,4600,DEN,3.9000000000000004,7.2
Van Jefferson,WR,4600,LAR,4.9,6.4
Ito Smith,RB,4600,ATL,2.4,2.0
J.D. McKissic,RB,4600,WAS,3.7,5.3
Brian Hill,RB,4600,ATL,4.3,3.5
Michael Pittman Jr.,WR,4600,IND,5.2,5.7
Gus Edwards,RB,4600,BAL,3.2,7.3
Jordan Wilkins,RB,4600,IND,3.5,4.0
Kalif Raymond,WR,4600,TEN,5.8,0.0
Jalen Guyton,WR,4500,LAC,1.8,7.9
Devin Smith,WR,4500,DAL,1.2,0.0
Andy Isabella,WR,4500,ARI,3.7,7.7
Ty Johnson,RB,4500,DET,1.7,0.0
Justin Watson,WR,4500,TB,6.8,5.8
K.J. Hill,WR,4500,LAC,1.2,0.0
AJ Dillon,RB,4500,GB,2.6,1.7
Gabriel Davis,WR,4500,BUF,3.1,7.1
Darwin Thompson,RB,4500,KC,1.2,2.1
K.J. Osborn,WR,4500,MIN,1.7,0.0
Chris Hogan,WR,4500,NYJ,7.2,10.5
Lamical Perine,RB,4500,NYJ,4.2,1.7
Chase Claypool,WR,4500,PIT,4.6,16.3
Mack Hollins,WR,4500,MIA,1.6,0.0
Collin Johnson,WR,4500,JAX,1.5,0.0
Anthony McFarland,RB,4500,PIT,1.5,0.0
Cedrick Wilson,WR,4500,DAL,2.4,0.0
John Hightower,WR,4500,PHI,3.9000000000000004,0.0
Devin Duvernay,WR,4500,BAL,2.9,2.4
C.J. Ham,RB,4500,MIN,1.2,0.4
Cody Hollister,WR,4500,TEN,2.6,0.0
Isaiah McKenzie,WR,4500,BUF,1.3,5.7
LeSean McCoy,RB,4500,TB,3.7,4.6
Kyle Juszczyk,RB,4500,SF,4.0,1.6
Jakeem Grant,WR,4500,MIA,5.0,0.7
Patrick Laird,RB,4500,MIA,2.4,0.0
Seth Roberts,WR,4500,CAR,1.5,0.0
Reggie Bonnafon,RB,4500,CAR,2.3,0.0
Senorise Perry,RB,4500,TEN,1.2,0.9
Tyler Ervin,RB,4500,GB,2.3,0.9
Trent Taylor,WR,4500,SF,4.6,2.0
Josh Malone,WR,4500,NYJ,3.4,4.8
Braxton Berrios,WR,4500,NYJ,4.8,14.9
Greg Howell,RB,4500,HOU,2.1,0.0
Khari Blasingame,RB,4500,TEN,1.3,0.0
DeAndre Carter,WR,4500,HOU,1.7,0.0
Darrius Shepherd,WR,4500,GB,2.1,0.0
Vance McDonald,TE,4500,PIT,3.5,0.8
Jeremy McNichols,RB,4500,TEN,1.7,0.7
Isaiah Ford,WR,4500,MIA,5.0,11.1
Dan Arnold,TE,4400,ARI,6.1,3.6
Nick Boyle,TE,4400,BAL,4.5,1.6
Ross Dwelley,TE,4400,SF,3.2,1.0
Gerald Everett,TE,4300,LAR,3.7,0.0
Robert Tonyan Jr.,TE,4300,GB,3.8,9.5
Darren Fells,TE,4300,HOU,4.7,9.3
Marcedes Lewis,TE,4200,GB,1.9,0.9
Cameron Brate,TE,4200,TB,2.4,0.0
Anthony Firkser,TE,4100,TEN,3.5999999999999996,6.5
Jesse James,TE,4100,DET,1.9,0.0
Jace Sternberger,TE,4100,GB,2.2,0.0
Ryan Griffin,TE,4100,NYJ,4.1,0.0
Kaden Smith,TE,4100,NYG,2.9,0.9
Cole Kmet,TE,4100,CHI,2.4,1.7
Virgil Green,TE,4100,LAC,1.5,0.0
Jaeden Graham,TE,4000,ATL,2.3,0.0
Xavier Grimble,TE,4000,IND,1.4000000000000001,0.0
James O'Shaughnessy,TE,4000,JAX,2.5,6.0
MyCole Pruitt,TE,4000,TEN,2.8000000000000003,0.0
Jake Butt,TE,4000,DEN,2.4,0.0
Dalton Schultz,TE,4000,DAL,5.9,17.3
Mo Alie-Cox,TE,4000,IND,6.6,13.6
Demetrius Harris,TE,4000,CHI,1.7,0.0
Blake Bell,TE,4000,DAL,2.4,4.4
