Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Kris Russell,,,D,3500,EDM,@STL,1,D3,,,13.8,18.1,18.1,0.4,0.8,0.8,4.2,5.7,5.7,1.8,9.6,7.9,2.3,1.6,0.5
Jacob MacDonald,,,D,3500,COL,@CHI,n/a,,,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olli Maatta,,,D,3500,CHI,COL,2,D2,,2.69,19.8,18.3,18.3,2.0,1.3,1.3,8.0,7.3,7.3,1.6,13.0,8.1,2.3,3.2,0.9
Derrick Pouliot,,,D,3500,STL,EDM,17,,,,8.3,8.3,8.3,0.5,0.5,0.5,1.6,1.6,1.6,-0.7,3.9,0.0,0.0,0.0,0.0
Slater Koekkoek,,,D,3500,CHI,COL,2,,,2.69,16.9,15.5,15.5,0.6,0.8,0.8,3.2,4.7,4.7,-0.3,9.6,0.0,0.0,0.0,0.0
Brendan Guhle,,,D,3500,ANH,@NJ,7,,,,13.9,17.3,17.3,1.0,1.2,1.2,5.3,5.7,5.7,2.0,9.5,0.0,0.0,0.0,0.0
Jesper Bratt,,,W,3500,NJ,ANH,3,L1,P2,,13.6,13.2,13.2,2.0,1.4,1.4,6.6,6.2,6.2,-1.3,13.8,10.2,2.9,9.6,2.7
Ty Smith,,,D,3500,NJ,ANH,n/a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob Larsson,,,D,3500,ANH,@NJ,0,,,,16.6,17.3,17.3,1.0,1.0,1.0,3.5,4.2,4.2,0.6,7.8,0.0,0.0,0.0,0.0
Josh Mahura,,,D,3500,ANH,@NJ,3,,,,15.0,16.2,16.2,1.4,1.0,1.0,3.5,6.5,6.5,-2.5,15.4,0.0,0.0,0.0,0.0
Colton White,,,D,3500,NJ,ANH,7,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Connor Carrick,,,D,3500,NJ,ANH,59,,,,13.8,13.8,13.8,1.0,1.0,1.0,6.0,6.0,6.0,2.7,9.3,0.0,0.0,0.0,0.0
Joe Morrow,,,D,3500,NJ,ANH,n/a,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Tennyson,,,D,3500,NJ,ANH,14,D3,,,11.5,12.2,12.2,0.8,0.6,0.6,2.6,3.7,3.7,0.0,7.4,0.0,0.0,0.0,0.0
Michael Del Zotto,,,D,3500,ANH,@NJ,0,D3,,,18.4,19.5,19.5,1.6,1.1,1.1,4.2,5.6,5.6,0.6,10.5,6.6,1.9,3.2,0.9
Travis Zajac,,,C,3500,NJ,ANH,3,L2,,,18.3,16.7,16.7,2.2,1.1,1.1,6.9,5.4,5.4,-1.1,12.0,7.3,2.1,4.8,1.4
