Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
T.J. McConnell,PG,IND,@ CLE,17th,108.75,3500,16.6,16.6,14.1,3.0,1.08,39.05,0.00,0.00,0,16.1,4.0,13.0,18.75,16.56,16.56,100,,0,4.7,,21,17.30,4.9
Oshae Brissett,SF,TOR,@ CHI,12th,111.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Max Strus,SF,CHI,vs TOR,25th,108.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Chris Boucher,C,TOR,@ CHI,12th,111.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,5,9.40,2.7
Luke Kornet,PF,CHI,vs TOR,21st,108.00,3500,3.8,11.8,6.1,0.0,0.76,27.45,7.03,2.30,1.51,20.2,3.5,8.0,7.75,7.22,7.22,100,,0,2.1,,17,12.40,3.5
Ryan Arcidiacono,PG,CHI,vs TOR,15th,108.00,3500,0.2,18.6,8.9,0.5,0.68,24.51,18.75,5.25,6.12,6.6,2.0,13.0,11.75,8.08,8.08,100,,0,2.3,,18,17.40,5
Chandler Hutchison,SF,CHI,vs TOR,25th,108.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Dewan Hernandez,PF,TOR,@ CHI,12th,111.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Matt Thomas,SG,TOR,@ CHI,8th,111.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,20,11.60,3.3
Patrick McCaw,SG,TOR,@ CHI,8th,111.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Adam Mokoka,SG,CHI,vs TOR,25th,108.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Shaquille Harrison,PG,CHI,vs TOR,25th,108.00,3500,0,0,4.2,0.0,1.05,37.80,0.00,0.00,0,19.4,1.0,4.0,0.00,0.00,0.00,100,,0,0,,12,11.90,3.4
Shamorie Ponds,PG,TOR,@ CHI,6th,111.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Malcolm Miller,PF,TOR,@ CHI,12th,111.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,5,3.60,1
Cristiano Da Silva Felicio,C,CHI,vs TOR,28th,108.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Michael Frazier,SG,HOU,vs NOP,2nd,125.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Ryan Anderson,PF,HOU,vs NOP,1st,125.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Zylan Cheatham,PF,NOP,@ HOU,20th,113.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Gerald Green,SF,HOU,vs NOP,2nd,125.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
E'Twaun Moore,SF,NOP,@ HOU,28th,113.25,3500,8.9,8.9,11.6,2.0,0.97,34.80,0.00,0.00,0,21.6,7.0,12.0,12.50,8.92,8.92,100,,0,2.5,,,,
Zion Williamson,PF,NOP,@ HOU,20th,113.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Tyson Chandler,C,HOU,vs NOP,1st,125.25,3500,9.8,9.8,16.0,0.0,1.45,52.36,0.00,0.00,0,23.2,6.0,11.0,11.50,9.81,9.81,100,,0,2.8,,7,6.40,1.8
Jaxson Hayes,PF,NOP,@ HOU,26th,113.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Josh Gray,PG,NOP,@ HOU,19th,113.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Nene Hilario,C,HOU,vs NOP,1st,125.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Chris Clemons,PG,HOU,vs NOP,7th,125.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Ben McLemore,SG,HOU,vs NOP,2nd,125.25,3500,8.7,8.7,7.5,1.0,0.50,18.00,0.00,0.00,0,13.2,5.0,15.0,11.75,8.68,8.68,100,,0,2.5,,4,-1.00,
Darius Miller,SF,NOP,@ HOU,8th,113.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Thabo Sefolosha,SF,HOU,vs NOP,2nd,125.25,3500,9.1,9.1,6.0,0.0,0.60,21.60,0.00,0.00,0,4.0,1.0,10.0,11.00,9.13,9.13,100,,0,2.6,,14,13.70,3.9
Isaiah Hartenstein,PF,HOU,vs NOP,1st,125.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Gary Clark,PF,HOU,vs NOP,2nd,125.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Garrison Mathews,SG,WAS,@ SAS,4th,104.25,3500,0,0.2,1.6,1.0,0.23,8.23,24.65,0.10,0,4.8,1.0,7.0,0.00,0.00,0.00,100,,0,0,,,,
Luka Samanic,PF,SAS,vs WAS,21st,115.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Troy Brown,SF,WAS,@ SAS,25th,104.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Chimezie Metu,C,SAS,vs WAS,26th,115.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Lonnie Walker IV,SG,SAS,vs WAS,26th,115.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,5,4.40,1.3
Ian Mahinmi,C,WAS,@ SAS,3rd,104.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Moritz Wagner,C,WAS,@ SAS,3rd,104.25,3500,10.6,21.1,13.4,0.0,0.79,28.38,6.35,3.00,3.09,28.7,6.0,17.0,17.50,15.10,15.10,100,,0,4.3,,18,22.30,6.4
Admiral Schofield,SF,WAS,@ SAS,25th,104.25,3500,0,18.8,7.3,0.5,0.56,20.08,21.71,5.75,9.95,9.8,2.5,13.0,16.50,7.31,7.31,100,,0,2.1,,8,1.20,0.3
Chris Chiozza,PG,WAS,@ SAS,25th,104.25,3500,9,19.3,15.2,3.5,0.89,32.08,2.51,2.95,1.06,14.4,4.5,17.0,15.25,13.41,13.41,100,,0,3.8,,,,
Keldon Johnson,SF,SAS,vs WAS,24th,115.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Justin Robinson,PG,WAS,@ SAS,25th,104.25,3500,0,0,0.0,0.0,0.00,0.00,0.00,0.00,0,0.0,0.0,1.0,0.00,0.00,0.00,100,,0,0,,,,
Quinndary Weatherspoon,SG,SAS,vs WAS,26th,115.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Drew Eubanks,C,SAS,vs WAS,26th,115.25,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Marco Belinelli,SG,SAS,vs WAS,24th,115.25,3500,12.7,12.7,4.7,1.0,0.26,9.40,0.00,0.00,0,8.6,2.0,18.0,17.50,12.73,12.73,100,,0,3.6,,12,7.70,2.2
Nigel Williams-Goss,PG,UTA,vs SAC,18th,115.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,5,1.50,0.4
DaQuan Jeffries,SF,SAC,@ UTA,22nd,106.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Georges Niang,PF,UTA,vs SAC,8th,115.00,3500,0,18.7,6.6,0.5,0.51,18.14,2.11,5.35,0.56,9.1,2.5,13.0,9.50,7.99,7.99,100,,0,2.3,,15,16.10,4.6
Caleb Swanigan,PF,SAC,@ UTA,11th,106.00,3500,0,2.4,4.2,0.0,1.68,60.48,30.60,1.20,0,18.2,0.0,2.5,0.00,0.00,0.00,100,,0,0,,5,5.40,1.5
Stanton Kidd,PF,UTA,vs SAC,8th,115.00,3500,0,0,1.5,1.0,0.30,10.80,0.00,0.00,0,9.5,1.0,5.0,0.00,0.00,0.00,100,,0,0,,7,0.40,0.1
Yogi Ferrell,PG,SAC,@ UTA,20th,106.00,3500,0,3.8,6.1,1.0,1.74,62.74,29.10,1.90,0,16.6,1.5,3.5,0.00,0.00,0.00,100,,0,0,,12,8.70,2.5
Jarrell Brantley,SF,UTA,vs SAC,8th,115.00,3500,0,0,8.1,1.0,1.62,58.32,0.00,0.00,0,0.0,0.0,5.0,0.00,0.00,0.00,100,,0,0,,,,
Miye Oni,SG,UTA,vs SAC,19th,115.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Justin Wright-Foreman,PG,UTA,vs SAC,18th,115.00,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Justin James,SG,SAC,@ UTA,22nd,106.00,3500,0,0,2.0,0.0,0.67,24.00,0.00,0.00,0,13.8,1.0,3.0,0.00,0.00,0.00,100,,0,0,,7,9.20,2.6
Jeff Green,PF,UTA,vs SAC,27th,115.00,3500,14.4,15.8,10.5,1.0,0.53,18.90,3.64,0.40,1.87,19.0,5.5,20.0,18.50,14.98,14.98,100,,0,4.3,,18,13.10,3.7
Tony Bradley,C,UTA,vs SAC,8th,115.00,3500,0,0,4.4,0.0,0.88,31.68,0.00,0.00,0,9.5,1.0,5.0,0.00,0.00,0.00,100,,0,0,,5,7.40,2.1
Wenyen Gabriel,PF,SAC,@ UTA,20th,106.00,3500,0,0.8,1.6,0.0,0.64,23.04,1.20,0.40,0,32.0,0.5,2.5,0.00,0.00,0.00,100,,0,0,,21,16.10,4.6
Cheick Diallo,PF,PHX,vs LAC,30th,107.75,3500,2.8,8.1,0.5,0.0,0.25,9.00,27.00,1.50,3.56,19.1,0.0,2.0,4.75,5.05,5.05,100,,0,1.4,,,,
Jared Harper,PG,PHX,vs LAC,29th,107.75,3500,0,0,0.0,0.0,0.00,0.00,0.00,0.00,0,20.0,1.0,2.0,0.00,0.00,0.00,100,,0,0,,,,
Johnathan Motley,PF,LAC,@ PHX,4th,117.75,3500,0,0,5.2,2.0,1.30,46.80,0.00,0.00,0,32.7,1.0,4.0,0.00,0.00,0.00,100,,0,0,,,,
Jerome Robinson,PG,LAC,@ PHX,5th,117.75,3500,0,0,5.4,0.0,1.35,48.60,0.00,0.00,0,32.7,3.0,4.0,0.00,0.00,0.00,100,,0,0,,,,
Elie Okobo,SG,PHX,vs LAC,29th,107.75,3500,0,0,3.0,0.0,1.50,54.00,0.00,0.00,0,20.0,1.0,2.0,0.00,0.00,0.00,100,,0,0,,5,7.90,2.3
Terance Mann,SG,LAC,@ PHX,3rd,117.75,3500,0,0,1.2,0.0,0.30,10.80,0.00,0.00,0,0.0,0.0,4.0,0.00,0.00,0.00,100,,0,0,,,,
Cameron Johnson,SF,PHX,vs LAC,30th,107.75,3500,9.3,9.3,,,,,,,0,,,,14.75,9.29,9.29,100,,0,2.7,,9,7.20,2.1
Mfiondu Kabengele,SF,LAC,@ PHX,4th,117.75,3500,0,0,7.2,0.0,1.80,64.80,0.00,0.00,0,10.9,1.0,4.0,0.00,0.00,0.00,100,,0,0,,,,
Rodney McGruder,SG,LAC,@ PHX,5th,117.75,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Amir Coffey,PF,LAC,@ PHX,3rd,117.75,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Jalen Lecque,PG,PHX,vs LAC,29th,107.75,3500,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
