Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Nikola Jokic,7,,C,11500,DEN,@NYK,0,110,31,30,100,104,13%,20,17,16,35,34,36,52.1,55.8,43.6,68.0,35.0,52.7,4.6,30.1,45.5,4.0
James Harden,4,,SG,11200,HOU,LAL,1,110,32,27,102,104,7%,14,17,18,35,36,37,46.3,50.8,38.8,62.7,37.0,51.4,4.6,37.8,39.7,3.5
LeBron James,6,,SF,10400,LAL,@HOU,1,114,34,25,102,106,-14%,18,19,19,35,34,33,49.5,46.2,38.3,54.1,34.0,47.2,4.5,30.4,40.9,3.9
Karl-Anthony Towns,2,O,C,10200,MIN,SAS,0,113,27,27,103,111,2%,18,15,15,34,32,32,50.4,50.4,48.0,52.8,0.0,0.0,0.0,,0.0,0.0
Anthony Davis,4,,PF,10200,LAL,@HOU,1,114,27,24,102,106,-17%,19,19,17,34,34,33,50.3,44.8,32.8,56.8,34.0,47.5,4.7,29.9,40.3,4.0
Stephen Curry,11,,PG,10000,GSW,TOR,1,115,34,27,104,108,0%,21,22,21,36,34,34,50.8,47.8,34.4,61.1,34.5,50.5,5.0,38.2,25.8,2.6
Kevin Durant,12,,SF,9900,BKN,OKC,1,116,30,26,102,106,6%,18,18,18,38,36,34,46.9,46.3,38.9,53.8,34.5,49.2,5.0,37.7,54.2,5.5
Kyrie Irving,1,O,PG,9500,BKN,OKC,1,116,30,27,102,106,-2%,20,21,20,34,34,33,45.8,46.1,36.6,55.6,0.0,0.0,0.0,,0.0,0.0
Julius Randle,7,,PF,9400,NYK,DEN,1,104,29,19,101,112,-10%,21,18,17,35,38,38,46.2,46.1,36.5,55.6,37.5,45.2,4.8,38.5,45.5,4.8
Kawhi Leonard,4,,SF,9200,LAC,CHI,1,117,31,24,107,113,0%,15,18,19,34,36,34,43.7,44.9,32.4,57.4,33.5,46.7,5.1,38.2,50.4,5.5
Christian Wood,6,,PF,8800,HOU,LAL,1,110,25,25,102,104,-3%,16,16,17,30,32,34,44.8,45.8,38.6,53.0,32.0,38.1,4.3,31.8,30.1,3.4
Paul George,3,,SG,8500,LAC,CHI,1,117,29,24,107,113,0%,14,18,16,39,36,34,47.3,41.4,30.5,52.3,35.5,43.6,5.1,39.9,53.9,6.3
Pascal Siakam,14,,PF,8400,TOR,@GSW,1,118,25,16,108,109,5%,16,16,16,36,33,35,37.7,38.2,25.6,50.8,36.0,40.2,4.8,40.5,40.7,4.8
Fred Van Vleet,15,,PG,8200,TOR,@GSW,1,118,25,22,108,109,-5%,17,19,18,36,36,35,46.8,41.9,31.8,52.1,36.0,40.4,4.9,39.3,36.5,4.5
Zach LaVine,4,,SG,8100,CHI,@LAC,1,105,30,20,99,110,-6%,23,21,19,37,37,35,45.0,40.8,27.2,54.3,37.0,40.8,5.0,41.9,58.9,7.3
Caris LeVert,7,,SG,8000,BKN,OKC,1,116,32,19,102,106,-5%,24,18,17,34,28,27,36.9,35.7,19.2,52.1,32.0,39.2,4.9,35.5,32.8,4.1
John Wall,3,,PG,7800,HOU,LAL,1,110,28,19,102,104,-11%,16,16,16,33,35,35,37.1,37.1,24.0,50.3,36.0,36.0,4.6,34.4,38.5,4.9
DeMar DeRozan,2,O,SG,7800,SAS,@MIN,0,117,25,23,105,115,14%,18,16,15,40,34,35,39.9,41.7,30.3,53.2,0.0,0.0,0.0,0,0.0,0.0
Jamal Murray,2,,PG,7700,DEN,@NYK,0,110,24,17,100,104,-1%,15,16,15,38,37,36,35.1,32.4,19.8,45.0,35.0,32.9,4.3,29.3,13.5,1.8
Kyle Lowry,12,,PG,7700,TOR,@GSW,1,118,24,17,108,109,-5%,14,14,14,36,37,37,39.0,37.3,32.0,42.6,36.5,39.6,5.1,33.5,38.8,5.0
D'Angelo Russell,12,,SG,7700,MIN,SAS,0,113,30,15,103,111,-11%,19,18,17,33,32,31,36.7,32.7,19.7,45.6,32.0,38.0,4.9,31.2,39.5,5.1
Shai Gilgeous-Alexander,12,,SG,7600,OKC,@BKN,1,109,28,19,106,103,-2%,16,15,16,36,32,33,36.5,37.8,27.2,48.5,34.5,40.6,5.3,36,55.7,7.3
Jarrett Allen,3,,C,7400,BKN,OKC,1,116,15,24,102,106,0%,7,6,5,29,28,25,34.8,31.8,20.5,43.1,28.5,33.5,4.5,33.1,28.5,3.9
Chris Boucher,8,,PF,7200,TOR,@GSW,1,118,21,27,108,109,5%,8,9,9,22,24,21,31.6,29.7,11.3,48.1,25.0,32.4,4.5,23.8,43.2,6.0
Darius Bazley,2,,PF,6800,OKC,@BKN,1,109,19,12,106,103,-3%,15,11,11,29,29,30,28.4,27.8,16.8,38.7,32.0,29.5,4.3,33.3,19.0,2.8
Michael Porter,,O,SF,6700,DEN,@NYK,0,110,21,26,100,104,-18%,15,13,13,32,29,29,37.2,37.2,24.5,49.9,0.0,0.0,0.0,,0.0,0.0
R.J. Barrett,6,,SF,6700,NYK,DEN,1,104,23,11,101,112,-13%,18,18,17,39,40,39,35.2,33.2,23.2,43.1,37.5,32.2,4.8,33.4,22.8,3.4
Dejounte Murray,19,,PG,6600,SAS,@MIN,0,117,25,16,105,115,7%,16,15,15,36,33,32,33.2,35.5,25.7,45.4,33.5,42.0,6.4,35.9,23.3,3.5
Andrew Wiggins,7,P,SG,6500,GSW,TOR,1,115,23,13,104,108,2%,11,13,15,31,32,32,29.0,30.1,19.9,40.4,33.0,32.1,4.9,34.3,34.4,5.3
LaMarcus Aldridge,12,,PF,6500,SAS,@MIN,0,117,23,14,105,115,-7%,15,13,14,32,28,28,26.1,26.1,18.6,33.5,29.5,34.5,5.3,36.7,37.8,5.8
Lauri Markkanen,,O,PF,6400,CHI,@LAC,1,105,22,20,99,110,-12%,11,11,11,24,27,27,27.7,27.7,16.3,39.1,0.0,0.0,0.0,,0.0,0.0
Coby White,3,,PG,6300,CHI,@LAC,1,105,24,13,99,110,7%,19,17,15,36,34,34,32.3,30.0,19.7,40.4,35.5,31.9,5.1,42.9,36.1,5.7
Mitchell Robinson,6,,C,6200,NYK,DEN,1,104,11,17,101,112,-10%,5,6,6,34,30,29,31.0,28.9,21.1,36.6,29.5,29.6,4.8,34.4,23.0,3.7
Keldon Johnson,18,,SF,6200,SAS,@MIN,0,117,20,16,105,115,14%,11,12,12,36,33,31,32.3,30.7,19.3,42.2,33.5,34.3,5.5,33.7,22.9,3.7
Derrick White,,O,PG,6000,SAS,@MIN,0,117,,,105,115,7%,9,9,9,23,23,23,15.7,15.7,15.7,15.7,0.0,0.0,0.0,,0.0,0.0
Will Barton,4,,SF,5900,DEN,@NYK,0,110,19,13,100,104,-12%,9,10,11,29,30,29,27.7,25.5,17.4,33.6,31.5,27.8,4.7,21.8,13.4,2.3
