Player Name,Pos,Salary,Team,Proj FP,Actual FP
Nikola Jokic,C,11500,DEN,52.7,45.5
James Harden,SG,11200,HOU,51.4,39.7
LeBron James,SF,10400,LAL,47.2,40.9
Anthony Davis,PF,10200,LAL,47.5,40.3
Stephen Curry,PG,10000,GSW,50.5,25.8
Kevin Durant,SF,9900,BKN,49.2,54.2
Julius Randle,PF,9400,NYK,45.2,45.5
Kawhi Leonard,SF,9200,LAC,46.7,50.4
Christian Wood,PF,8800,HOU,38.1,30.1
Paul George,SG,8500,LAC,43.6,53.9
Pascal Siakam,PF,8400,TOR,40.2,40.7
Fred Van Vleet,PG,8200,TOR,40.4,36.5
Zach LaVine,SG,8100,CHI,40.8,58.9
Caris LeVert,SG,8000,BKN,39.2,32.8
John Wall,PG,7800,HOU,36.0,38.5
Jamal Murray,PG,7700,DEN,32.9,13.5
Kyle Lowry,PG,7700,TOR,39.6,38.8
D'Angelo Russell,SG,7700,MIN,38.0,39.5
Shai Gilgeous-Alexander,SG,7600,OKC,40.6,55.7
Jarrett Allen,C,7400,BKN,33.5,28.5
Chris Boucher,PF,7200,TOR,32.4,43.2
Darius Bazley,PF,6800,OKC,29.5,19.0
R.J. Barrett,SF,6700,NYK,32.2,22.8
Dejounte Murray,PG,6600,SAS,42.0,23.3
Andrew Wiggins,SG,6500,GSW,32.1,34.4
LaMarcus Aldridge,PF,6500,SAS,34.5,37.8
Coby White,PG,6300,CHI,31.9,36.1
Mitchell Robinson,C,6200,NYK,29.6,23.0
Keldon Johnson,SF,6200,SAS,34.3,22.9
Will Barton,SF,5900,DEN,27.8,13.4
Serge Ibaka,PF,5900,LAC,27.3,15.5
O.G. Anunoby,SF,5800,TOR,29.6,26.7
Wendell Carter,C,5800,CHI,27.0,17.0
Montrezl Harrell,C,5700,LAL,23.2,29.6
Elfrid Payton,PG,5500,NYK,29.2,24.1
Malik Beasley,SG,5500,MIN,31.1,27.6
DeMarcus Cousins,C,5300,HOU,22.1,12.8
Joe Harris,SF,5300,BKN,23.0,18.5
Kelly Oubre,SF,5300,GSW,25.8,25.7
Eric Gordon,SF,5200,HOU,21.1,3.9
Al Horford,C,5200,OKC,27.9,37.7
Nicolas Batum,PF,5200,LAC,20.6,29.9
Draymond Green,PF,5100,GSW,27.0,35.8
Dennis Schroder,PG,5100,LAL,27.9,36.5
Hamidou Diallo,SG,5000,OKC,19.3,46.6
Norman Powell,SG,5000,TOR,21.9,12.6
Austin Rivers,PG,4800,NYK,23.0,5.5
Anthony Edwards,SF,4800,MIN,23.5,6.7
James Wiseman,C,4800,GSW,21.6,18.4
Ricky Rubio,PG,4800,MIN,24.0,28.4
Luguentz Dort,SG,4700,OKC,21.7,17.6
Jarred Vanderbilt,SF,4700,MIN,20.6,13.6
Rudy Gay,SF,4600,SAS,27.5,14.9
Juan Hernangomez,PF,4600,MIN,18.8,19.6
George Hill,PG,4600,OKC,24.0,23.5
Lonnie Walker,SG,4500,SAS,24.4,38.6
Monte Morris,PG,4500,DEN,19.7,23.1
Eric Paschall,PF,4400,GSW,18.0,18.9
Naz Reid,PF,4400,MIN,20.1,20.9
Paul Millsap,PF,4300,DEN,21.5,21.0
Timothe Luwawu,SF,4300,BKN,12.4,19.2
Patrick Williams,PF,4300,CHI,21.5,26.4
Taurean Waller-Prince,PF,4300,BKN,14.2,22.0
P.J. Tucker,PF,4200,HOU,17.3,13.2
Kyle Kuzma,PF,4200,LAL,18.1,16.9
Justin Jackson,SF,4200,OKC,0.0,0.0
Jordan Poole,PG,4200,GSW,0.0,0.0
JaMychal Green,PF,4200,DEN,18.5,24.1
Jarrett Culver,SF,4200,MIN,20.6,12.6
Thaddeus Young,PF,4100,CHI,22.9,23.0
Isaiah Roby,PF,4100,OKC,0.0,18.0
Talen Horton-Tucker,SG,4100,LAL,16.2,37.5
Josh Okogie,SF,4100,MIN,15.3,12.8
DeAndre Jordan,C,4100,BKN,18.9,3.2
Patrick Mills,PG,4100,SAS,22.6,24.4
Landry Shamet,SG,4000,BKN,10.8,5.2
Aron Baynes,C,4000,TOR,0.0,0.0
Damion Lee,SG,4000,GSW,16.3,19.9
Brad Wanamaker,PG,4000,GSW,12.9,16.6
Louis Williams,PG,4000,LAC,16.2,36.2
Mike Muscala,PF,4000,OKC,17.1,0.0
Ivica Zubac,C,3900,LAC,16.1,20.9
Marc Gasol,C,3900,LAL,16.8,15.4
Jakob Poeltl,C,3900,SAS,19.9,3.2
Gary Harris,SG,3900,DEN,19.2,27.1
Jeff Green,PF,3900,BKN,15.4,13.3
Luke Kennard,SG,3900,LAC,12.1,6.7
Sterling Brown,SG,3900,HOU,0.0,11.6
Matt Thomas,SG,3800,TOR,0.0,0.0
Facundo Campazzo,PG,3800,DEN,8.8,15.4
Patrick Beverley,PG,3800,LAC,19.9,26.1
Jae'Sean Tate,SF,3800,HOU,11.6,25.7
Reggie Jackson,SG,3800,LAC,8.4,0.0
Marcus Morris,PF,3800,LAC,14.8,18.4
Garrett Temple,SF,3800,CHI,17.9,30.7
Reggie Bullock,SG,3800,NYK,18.4,11.1
Theo Maledon,PG,3700,OKC,13.9,17.7
David Nwaba,SG,3700,HOU,15.1,14.7
Kevon Looney,C,3700,GSW,10.3,8.6
Bruce Brown,SG,3700,BKN,9.9,0.2
Immanuel Quickley,PG,3700,NYK,12.5,5.7
Bol Bol,C,3600,DEN,0.0,5.2
Kentavious Caldwell-Pope,SG,3600,LAL,15.3,20.3
Ben McLemore,SG,3600,HOU,9.6,6.7
PJ Dozier,SG,3600,DEN,15.6,26.0
Devin Vassell,SG,3600,SAS,17.8,5.4
Denzel Valentine,SF,3600,CHI,20.8,17.3
Amir Coffey,PF,3500,LAC,0.0,0.0
Devon Dotson,SG,3500,CHI,0.0,0.0
Terence Davis,SG,3500,TOR,0.0,8.4
Markus Howard,PG,3500,DEN,0.0,3.5
Ashton Hagans,SG,3500,MIN,0.0,0.0
Josh Hall,SF,3500,OKC,0.0,0.0
Luka Samanic,PF,3500,SAS,0.0,0.0
Nico Mannion,PG,3500,GSW,0.0,0.0
Mychal Mulder,SF,3500,GSW,0.0,2.6
Adam Mokoka,SG,3500,CHI,10.2,0.0
Mason Jones,SG,3500,HOU,0.0,6.6
RJ Hampton,PG,3500,DEN,0.0,2.0
Reggie Perry,PF,3500,BKN,0.0,0.0
Jaden McDaniels,SF,3500,MIN,0.0,0.0
Aleksej Pokusevski,PF,3500,OKC,13.4,5.6
Kenyon Martin,SF,3500,HOU,0.0,3.9
Malachi Flynn,PG,3500,TOR,0.0,5.7
Zeke Nnaji,PF,3500,DEN,0.0,1.2
Jared Harper,PG,3500,NYK,0.0,0.0
Moses Brown,C,3500,OKC,0.0,0.0
Vlatko Cancar,SF,3500,DEN,0.0,0.2
Tre Jones,PG,3500,SAS,0.0,0.0
Devontae Cacok,PF,3500,LAL,0.0,0.0
Daniel Oturu,C,3500,LAC,0.0,0.0
Jalen Harris,PG,3500,TOR,0.0,0.0
Bruno Caboclo,PF,3500,HOU,0.0,3.2
DeAndre Bembry,SG,3500,TOR,0.0,0.0
Alex Caruso,PG,3500,LAL,12.9,22.8
Luke Kornet,PF,3500,CHI,0.0,0.0
Stanley Johnson,SF,3500,TOR,0.0,14.1
Trey Lyles,PF,3500,SAS,17.8,20.0
Dennis Smith Jr.,PG,3500,NYK,0.0,11.5
Cristiano Felicio,C,3500,CHI,0.0,0.0
Patrick Patterson,PF,3500,LAC,0.0,0.0
Nerlens Noel,PF,3500,NYK,12.7,5.3
Quinn Cook,PG,3500,LAL,0.0,3.0
Markieff Morris,PF,3500,LAL,11.3,0.2
Darius Miller,SF,3500,OKC,0.0,0.0
Alex Len,C,3500,TOR,0.0,0.0
Jake Layman,SF,3500,MIN,0.0,0.0
Kent Bazemore,SF,3500,GSW,15.8,26.5
Alfonzo McKinnie,SF,3500,LAL,0.0,4.4
Isaiah Hartenstein,PF,3500,DEN,0.0,11.9
Ed Davis,C,3500,MIN,15.7,19.2
Terance Mann,SG,3500,LAC,0.0,0.0
Jaylen Nowell,PG,3500,MIN,0.0,0.0
Daniel Gafford,PF,3500,CHI,12.8,10.2
Mfiondu Kabengele,SF,3500,LAC,0.0,0.0
Ignas Brazdeikis,SF,3500,NYK,0.0,0.0
Rodions Kurucs,PF,3500,BKN,0.0,3.0
Kostas Antetokounmpo,PF,3500,LAL,0.0,0.0
Keita Bates-Diop,SF,3500,SAS,0.0,0.0
Kevin Knox,SF,3500,NYK,10.8,5.2
Yuta Watanabe,SG,3500,TOR,10.0,9.9
Kenrich Williams,SF,3500,OKC,0.0,2.4
Paul Watson,SG,3500,TOR,0.0,0.0
Chris Chiozza,PG,3500,BKN,8.4,0.0
Jordan McLaughlin,PG,3500,MIN,0.0,0.0
Theo Pinson,SG,3500,NYK,0.0,0.0
