Player Name,Salary,Team,Opp,Proj FP,Actual FP
Ben Bishop,9200,DAL,NJ,21.6,40.8
Frederik Andersen,8700,TOR,VAN,18.9,38.4
Andrei Vasilevskii,8600,TB,FLA,17.0,29.6
Antti Raanta,8500,ARI,CGY,20.6,-0.8
Mikko Koskinen,8400,EDM,CAR,16.5,-3.2
Marc-Andre Fleury,8400,VGK,CHI,19.8,30.4
Carey Price,8300,MON,PIT,15.3,34.4
Tristan Jarry,8200,PIT,MON,19.2,5.6
Jake Allen,8000,STL,BUF,17.6,10.4
Sergei Bobrovsky,7800,FLA,TB,17.1,28.8
John Gibson,7700,ANH,MIN,17.1,21.6
Martin Jones,7600,SJ,NSH,11.9,15.2
Corey Crawford,7600,CHI,VGK,15.2,5.6
Jacob Markstrom,7500,VAN,TOR,15.7,5.6
James Reimer,7500,CAR,EDM,16.0,26.4
Laurent Brossoit,7400,WPG,DET,22.6,24.0
Linus Ullmark,7400,BUF,STL,18.2,26.4
Juuse Saros,7300,NSH,SJ,18.8,27.2
Kaapo Kahkonen,7300,MIN,ANH,18.1,16.8
Henrik Lundqvist,7300,NYR,LA,18.1,10.4
Cameron Talbot,7300,CGY,ARI,15.0,40.8
Jon Quick,7200,LA,NYR,17.4,31.2
MacKenzie Blackwood,7000,NJ,DAL,15.2,18.4
Eric Comrie,7000,DET,WPG,8.5,0.0
