Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Frederik Andersen,,,G,8800,TOR,SJ,2,64%,2.81,58.5,58.8,58.8,0.901,0.901,16.8,17.8,17.8,3.2,32.4,21.3,2.4,20.8,2.4
Jacob Markstrom,1,,G,8300,VAN,WAS,2,50%,3.25,60.7,60.3,60.3,0.933,0.933,27.7,23.6,23.6,11.1,36.1,16.6,2.0,-0.8,-0.1
Ilya Samsonov,,,G,8100,WAS,@VAN,0,50%,3.25,57.1,57.1,57.1,0.933,0.933,21.4,21.4,21.4,11.7,31.1,13.7,1.7,15.2,1.9
Thomas Greiss,2,,G,7700,NYI,@OTT,0,54%,2.65,54.2,54.2,54.2,0.930,0.930,20.3,20.3,20.3,6.3,34.3,20.0,2.6,28.0,3.6
Anders Nilsson,,,G,7500,OTT,NYI,1,46%,2.85,60.4,60.4,60.4,0.935,0.935,23.6,23.6,23.6,10.5,36.7,19.1,2.5,-6.4,-0.9
Antti Raanta,1,,G,7500,ARI,@NJ,0,47%,2.83,61.7,61.7,61.7,0.926,0.926,21.2,21.2,21.2,7.1,35.3,18.3,2.4,25.6,3.4
Martin Jones,,,G,7400,SJ,@TOR,0,36%,3.69,59.8,57.0,57.0,0.894,0.894,15.8,12.5,12.5,-2.2,27.1,11.1,1.5,6.4,0.9
Linus Ullmark,,,G,7300,BUF,@DET,0,52%,2.95,61.3,61.3,61.3,0.913,0.913,20.2,20.2,20.2,6.8,33.6,18.7,2.6,52.8,7.2
MacKenzie Blackwood,1,Q,G,7200,NJ,ARI,5,53%,2.67,53.3,53.3,53.3,0.886,0.886,12.6,12.6,12.6,-7.2,32.5,19.2,2.7,-6.4,-0.9
Jimmy Howard,1,,G,7000,DET,BUF,1,48%,3.05,58.8,58.8,58.8,0.898,0.898,14.1,14.1,14.1,4.0,24.2,17.5,2.5,10.4,1.5
