Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Alexander Ovechkin,2,,W,8700,WAS,COL,1,L1,P1,3.16,20.7,21.2,21.2,3.8,4.0,4.0,16.0,16.7,16.7,8.1,25.3,17.0,2.0,29.6,3.4
Nathan MacKinnon,1,,C,8600,COL,@WAS,1,L1,P1,2.84,20.6,20.6,20.6,4.0,4.0,4.0,20.7,20.7,20.7,15.5,25.9,18.6,2.2,24.8,2.9
Brad Marchand,1,,W,8400,BOS,ANH,1,L1,P1,2.88,19.1,19.1,19.1,2.6,2.6,2.6,19.7,19.7,19.7,6.3,33.2,16.4,2.0,16.5,2.0
Jack Eichel,,,C,8400,BUF,DAL,2,L1,P1,2.72,22.2,22.2,22.2,4.4,4.4,4.4,22.1,22.1,22.1,-1.2,45.4,17.5,2.1,16.5,2.0
David Pastrnak,2,,W,7900,BOS,ANH,1,L1,P1,2.88,18.1,18.1,18.1,3.2,3.2,3.2,17.1,17.1,17.1,1.7,32.5,17.6,2.2,57.0,7.2
Mikko Rantanen,1,,W,7900,COL,@WAS,1,L1,P1,2.84,20.0,20.0,20.0,3.3,3.3,3.3,21.6,21.6,21.6,11.5,31.8,16.1,2.0,33.3,4.2
Tyler Seguin,1,,C,7800,DAL,@BUF,1,L1,P1,2.78,21.7,21.8,21.8,3.4,3.2,3.2,12.2,10.7,10.7,0.9,20.4,16.8,2.2,3.2,0.4
Jeff Skinner,,,W,7600,BUF,DAL,2,L2,P1,2.72,18.2,18.2,18.2,4.4,4.4,4.4,17.2,17.2,17.2,7.8,26.7,13.3,1.8,18.4,2.4
Aleksander Barkov,2,,C,7500,FLA,@NJ,1,L1,P1,3.01,22.8,22.8,22.8,2.6,2.6,2.6,9.8,9.8,9.8,1.1,18.5,16.4,2.2,18.1,2.4
Patrice Bergeron,1,,C,7500,BOS,ANH,1,L1,P1,2.88,17.4,17.4,17.4,2.8,2.8,2.8,12.7,12.7,12.7,8.0,17.5,16.6,2.2,10.1,1.3
Vladimir Tarasenko,,,W,7400,STL,@NYI,1,L1,P1,2.85,17.2,17.2,17.2,2.0,2.0,2.0,11.6,11.6,11.6,7.6,15.6,15.2,2.1,20.5,2.8
