Player Name,Salary,Team,Opp,Proj FP,Actual FP
Tuukka Rask,9000,BOS,SJ,19.6,20.8
Matthew Murray,8900,PIT,PHI,18.8,31.2
Pekka Rinne,8700,NSH,CHI,19.9,36.0
Andrei Vasilevskii,8500,TB,NYR,21.0,18.4
Ben Bishop,8400,DAL,MIN,20.9,-1.6
Frederik Andersen,8300,TOR,WAS,19.1,7.2
Mikko Koskinen,8100,EDM,DET,18.1,12.0
David Rittich,8100,CGY,CAR,13.9,12.8
John Gibson,8000,ANH,WPG,19.4,24.8
Braden Holtby,7900,WAS,TOR,15.0,22.4
Brian Elliott,7600,PHI,PIT,14.3,-6.4
Connor Hellebuyck,7600,WPG,ANH,19.2,-4.8
Robin Lehner,7400,CHI,NSH,14.3,26.4
Alex Stalock,7400,MIN,DAL,16.6,4.8
Petr Mrazek,7400,CAR,CGY,17.1,30.4
Alexander Georgiev,7300,NYR,TB,13.9,31.2
Martin Jones,7300,SJ,BOS,11.8,8.8
Jimmy Howard,7100,DET,EDM,17.1,32.8
