Player Name,Pos,Salary,Team,Proj FP,Actual FP
Nikola Jokic,C,11300,DEN,52.4,60.2
Luka Doncic,PG,11100,DAL,53.2,75.3
Anthony Davis,PF,10400,LAL,48.7,50.5
LeBron James,SF,10100,LAL,49.2,48.2
Joel Embiid,C,9900,PHI,49.8,36.9
Andre Drummond,C,9200,CLE,47.1,44.5
Damian Lillard,PG,9200,POR,45.4,65.9
C.J. McCollum,SG,9000,POR,40.2,31.6
Ben Simmons,PG,8700,PHI,44.0,22.8
DeMar DeRozan,SG,8200,SAS,38.7,44.8
Tobias Harris,SF,7900,PHI,39.4,31.6
D'Angelo Russell,SG,7800,MIN,38.0,34.1
Jamal Murray,PG,7600,DEN,33.4,39.3
Dejounte Murray,PG,7200,SAS,34.6,30.6
Collin Sexton,SG,6900,CLE,34.8,0.0
Larry Nance Jr.,PF,6800,CLE,32.8,34.6
Caris LeVert,SG,6500,BKN,42.8,50.4
Jonas Valanciunas,C,6500,MEM,34.3,40.5
Keldon Johnson,SF,6500,SAS,29.9,12.4
Jarrett Allen,C,6300,BKN,35.9,32.7
LaMarcus Aldridge,PF,6200,SAS,27.7,37.5
Jusuf Nurkic,C,6200,POR,32.4,29.4
Will Barton,SF,6000,DEN,28.8,21.4
Dillon Brooks,SG,6000,MEM,29.5,23.2
Kyle Anderson,SF,5900,MEM,31.5,23.6
Tim Hardaway Jr.,SF,5700,DAL,27.0,23.6
Malik Beasley,SG,5600,MIN,31.7,20.8
Tyus Jones,PG,5400,MEM,28.3,20.8
Dennis Schroder,SG,5300,LAL,30.0,14.8
Montrezl Harrell,C,5300,LAL,25.2,17.2
Cedi Osman,SF,5200,CLE,28.3,33.5
Enes Kanter,C,5200,POR,21.9,29.9
Brandon Clarke,PF,5100,MEM,26.8,26.8
Robert Covington,PF,5000,POR,26.3,13.3
Joe Harris,SF,4900,BKN,23.4,43.2
Josh Richardson,SG,4800,DAL,24.2,21.7
Rudy Gay,SF,4800,SAS,23.3,22.2
JaVale McGee,PF,4700,CLE,18.3,26.2
Jarrett Culver,SF,4600,MIN,20.6,15.0
Gorgui Dieng,C,4600,MEM,23.5,20.3
Monte Morris,PG,4500,DEN,19.6,22.1
Ricky Rubio,PG,4500,MIN,19.7,37.0
Jarred Vanderbilt,SF,4500,MIN,20.1,29.5
Shake Milton,PG,4500,PHI,26.4,32.7
Lonnie Walker,SG,4400,SAS,20.8,26.2
Paul Millsap,PF,4400,DEN,20.7,18.0
Naz Reid,PF,4400,MIN,19.4,22.5
Dorian Finney-Smith,SF,4400,DAL,21.1,41.6
Jakob Poeltl,C,4300,SAS,19.4,12.2
Patrick Mills,PG,4300,SAS,18.7,20.9
JaMychal Green,PF,4200,DEN,18.1,17.8
Carmelo Anthony,SF,4200,POR,19.1,20.1
Jalen Brunson,PG,4200,DAL,17.7,11.9
Juan Hernangomez,PF,4200,MIN,21.0,21.2
Taurean Waller-Prince,PF,4200,BKN,18.8,23.7
Anthony Edwards,SF,4100,MIN,22.5,34.3
Kyle Kuzma,PF,4100,LAL,23.1,25.0
Timothe Luwawu,SF,4100,BKN,18.4,27.3
Maxi Kleber,PF,4000,DAL,18.0,28.1
Dwight Powell,C,4000,DAL,14.4,10.0
Marc Gasol,C,4000,LAL,18.5,5.2
Willie Cauley-Stein,C,4000,DAL,21.1,23.3
Bruce Brown,SG,3900,BKN,23.5,7.2
Derrick Jones Jr.,SF,3900,POR,21.3,17.1
DeAndre Jordan,C,3900,BKN,21.6,25.2
Danny Green,SF,3900,PHI,22.2,20.5
De'Anthony Melton,PG,3800,MEM,17.9,25.1
Gary Trent,SG,3800,POR,16.8,8.2
Jake Layman,SF,3800,MIN,11.9,6.0
Dwight Howard,C,3800,PHI,16.4,23.9
Gary Harris,SG,3800,DEN,19.7,21.3
Facundo Campazzo,PG,3800,DEN,14.3,0.0
Tony Bradley,PF,3800,PHI,0.0,0.0
Jeff Green,PF,3800,BKN,16.9,22.7
Desmond Bane,SG,3800,MEM,15.7,18.2
Matisse Thybulle,SF,3700,PHI,15.5,10.2
Tyrese Maxey,SG,3700,PHI,18.2,28.6
Ed Davis,C,3700,MIN,17.5,4.2
Devin Vassell,SG,3600,SAS,12.5,16.2
Isaac Okoro,SF,3600,CLE,15.5,20.4
Chris Chiozza,PG,3600,BKN,14.9,24.6
Bol Bol,C,3600,DEN,0.0,0.0
Wesley Matthews,SF,3600,LAL,12.0,4.2
Isaiah Hartenstein,PF,3600,DEN,0.0,5.7
Alex Caruso,PG,3600,LAL,11.4,13.1
Tre Jones,PG,3500,SAS,0.0,0.0
Devontae Cacok,PF,3500,LAL,0.0,0.0
Vlatko Cancar,SF,3500,DEN,0.0,0.0
Dakota Mathias,SG,3500,PHI,0.0,5.7
Wesley Iwundu,SG,3500,DAL,0.0,0.0
Josh Green,SG,3500,DAL,0.0,1.2
Keljin Blevins,PG,3500,POR,0.0,1.5
Marques Bolden,PF,3500,CLE,0.0,0.0
Zeke Nnaji,PF,3500,DEN,0.0,0.0
Jaden McDaniels,SF,3500,MIN,0.0,11.3
CJ Elleby,SF,3500,POR,0.0,7.0
Tyrell Terry,PG,3500,DAL,0.0,0.0
RJ Hampton,PG,3500,DEN,0.0,0.0
Markus Howard,PG,3500,DEN,0.0,0.0
Lamar Stevens,PF,3500,CLE,14.4,3.6
Trey Lyles,PF,3500,SAS,0.0,0.0
Nate Hinton,SG,3500,DAL,0.0,0.0
Sean McDermott,SF,3500,MEM,0.0,0.0
Isaiah Joe,PG,3500,PHI,7.1,3.0
Paul Reed,SF,3500,PHI,0.0,0.0
Tyler Bey,SF,3500,DAL,0.0,0.0
PJ Dozier,SG,3500,DEN,13.8,19.1
Xavier Tillman,PF,3500,MEM,13.6,12.2
Thon Maker,C,3500,CLE,10.3,0.0
Rodions Kurucs,PF,3500,BKN,0.0,0.0
Quinn Cook,PG,3500,LAL,0.0,5.0
Harry Giles,PF,3500,POR,0.0,6.4
Anfernee Simons,PG,3500,POR,0.0,13.5
Grayson Allen,SG,3500,MEM,11.3,16.4
Rodney Hood,SF,3500,POR,8.3,9.2
Tim Frazier,PG,3500,MEM,0.0,0.0
Damyean Dotson,SG,3500,CLE,14.2,28.4
Alfonzo McKinnie,SF,3500,LAL,0.0,0.0
Keita Bates-Diop,SF,3500,SAS,0.0,0.0
Landry Shamet,SG,3500,BKN,9.5,9.6
James Johnson,PF,3500,DAL,15.1,9.0
Jared Dudley,SF,3500,LAL,0.0,0.0
Vincent Poirier,C,3500,PHI,0.0,0.0
Luka Samanic,PF,3500,SAS,0.0,0.0
Nassir Little,SF,3500,POR,0.0,5.2
Boban Marjanovic,C,3500,DAL,0.0,15.6
Kostas Antetokounmpo,PF,3500,LAL,0.0,0.0
Jaylen Nowell,PG,3500,MIN,0.0,4.7
Markieff Morris,PF,3500,LAL,12.3,2.6
Talen Horton-Tucker,SG,3500,LAL,14.0,17.3
Dean Wade,PF,3500,CLE,0.0,10.2
