Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Nikola Jokic,8,,C,11300,DEN,DAL,1,113,30,31,101,104,-8%,16,14,14,34,34,36,56.7,57.4,45.3,69.6,34.5,52.4,4.6,41.2,60.2,5.3
Luka Doncic,12,,PG,11100,DAL,@DEN,2,110,38,24,102,113,-6%,24,19,20,37,32,32,45.8,46.2,34.1,58.4,35.5,53.2,4.8,43.3,75.3,6.8
Anthony Davis,11,Q,PF,10400,LAL,SAS,1,114,28,24,104,111,16%,18,18,17,33,34,33,46.7,44.0,31.3,56.7,33.0,48.7,4.7,34.3,50.5,4.9
Karl-Anthony Towns,,O,C,10200,MIN,@POR,1,112,28,26,104,113,5%,15,15,15,30,30,30,49.3,49.3,47.3,51.3,0.0,0.0,0.0,,0.0,0.0
LeBron James,11,Q,SF,10100,LAL,SAS,1,114,34,25,104,111,28%,18,20,19,33,35,32,51.9,46.3,37.5,55.2,33.0,49.2,4.9,34.9,48.2,4.8
Kyrie Irving,7,O,PG,10000,BKN,PHI,1,110,31,28,104,98,3%,20,21,20,34,34,33,45.8,46.1,36.6,55.6,0.0,0.0,0.0,,0.0,0.0
Joel Embiid,8,P,C,9900,PHI,@BKN,0,114,27,28,106,104,3%,15,14,15,31,33,33,52.0,50.8,40.8,60.9,33.5,49.8,5.0,29.9,36.9,3.7
Kevin Durant,,O,SF,9800,BKN,PHI,1,110,30,27,104,98,-3%,18,18,18,38,36,34,46.9,46.3,38.9,53.8,0.0,0.0,0.0,,0.0,0.0
Andre Drummond,11,,C,9200,CLE,@MEM,0,103,30,21,104,107,7%,16,13,15,29,28,29,39.7,44.9,28.5,61.4,31.0,47.1,5.1,37.4,44.5,4.8
Damian Lillard,22,,PG,9200,POR,MIN,1,122,30,21,105,113,-5%,21,18,19,38,35,36,41.3,40.7,31.9,49.5,35.5,45.4,4.9,28.9,65.9,7.2
C.J. McCollum,13,,SG,9000,POR,MIN,1,122,29,25,105,113,23%,22,21,22,37,35,36,44.8,46.0,36.4,55.5,35.5,40.2,4.5,25.5,31.6,3.5
Ben Simmons,13,,PG,8700,PHI,@BKN,0,114,22,17,106,104,-3%,11,10,10,35,34,33,40.8,40.9,35.2,46.7,36.0,44.0,5.1,31.6,22.8,2.6
Ja Morant,,O,PG,8500,MEM,CLE,1,108,38,32,101,100,-22%,14,18,18,23,27,27,40.3,40.3,11.2,69.4,0.0,0.0,0.0,,0.0,0.0
DeMar DeRozan,12,,SG,8200,SAS,@LAL,1,108,25,22,103,102,-2%,13,13,14,28,32,33,34.8,40.0,27.5,52.5,34.0,38.7,4.7,36.2,44.8,5.5
Kristaps Porzingis,,O,PF,8000,DAL,@DEN,2,110,,,102,113,1%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
Tobias Harris,11,,SF,7900,PHI,@BKN,0,114,23,23,106,104,-6%,16,16,15,35,34,33,42.1,38.0,24.9,51.0,36.5,39.4,5.0,34.3,31.6,4.0
D'Angelo Russell,16,,SG,7800,MIN,@POR,1,112,30,16,104,113,-1%,18,16,16,34,29,30,31.6,32.3,17.4,47.2,33.0,38.0,4.9,28.1,34.1,4.4
Jamal Murray,6,,PG,7600,DEN,DAL,1,113,24,19,101,104,-23%,14,17,15,34,35,35,35.7,33.0,19.1,46.8,34.5,33.4,4.4,46.3,39.3,5.2
Dejounte Murray,5,,PG,7200,SAS,@LAL,1,108,26,16,103,102,-8%,16,14,15,31,32,31,31.9,34.3,24.6,44.0,32.0,34.6,4.8,31.6,30.6,4.3
Collin Sexton,11,P,SG,6900,CLE,@MEM,0,103,26,20,104,107,6%,20,19,18,37,37,37,34.9,35.7,29.4,41.9,36.5,34.8,5.0,0,0.0,0.0
Larry Nance Jr.,14,,PF,6800,CLE,@MEM,0,103,13,15,104,107,8%,7,9,8,33,36,34,28.9,30.2,16.9,43.5,35.5,32.8,4.8,34.8,34.6,5.1
Michael Porter,,O,SF,6700,DEN,DAL,1,113,21,27,101,104,-9%,15,13,13,32,29,29,37.2,37.2,24.5,49.9,0.0,0.0,0.0,,0.0,0.0
Darius Garland,,O,PG,6600,CLE,@MEM,0,103,23,14,104,107,6%,14,15,15,36,37,36,31.4,32.7,19.7,45.7,0.0,0.0,0.0,0,0.0,0.0
Caris LeVert,18,,SG,6500,BKN,PHI,1,110,30,16,104,98,16%,16,17,15,23,27,26,33.6,31.6,15.6,47.7,33.0,42.8,6.6,32.3,50.4,7.8
Jonas Valanciunas,8,,C,6500,MEM,CLE,1,108,23,18,101,100,-1%,14,12,11,26,28,29,32.5,33.8,27.7,40.0,26.5,34.3,5.3,27.5,40.5,6.2
Keldon Johnson,7,,SF,6500,SAS,@LAL,1,108,21,18,103,102,-2%,14,11,12,29,30,30,33.4,32.5,22.0,42.9,31.0,29.9,4.6,30.7,12.4,1.9
Jarrett Allen,18,,C,6300,BKN,PHI,1,110,15,25,104,98,-16%,8,6,5,28,25,24,32.9,31.6,18.8,44.5,28.5,35.9,5.7,28.4,32.7,5.2
LaMarcus Aldridge,3,,PF,6200,SAS,@LAL,1,108,24,11,103,102,1%,12,14,14,23,26,26,23.7,23.7,17.4,30.0,27.5,27.7,4.5,31.3,37.5,6.0
Jusuf Nurkic,17,,C,6200,POR,MIN,1,122,21,14,105,113,22%,13,9,9,26,24,25,26.3,26.9,18.5,35.3,26.0,32.4,5.2,23,29.4,4.7
Will Barton,9,,SF,6000,DEN,DAL,1,113,20,12,101,104,8%,13,10,11,29,28,29,23.2,25.3,16.4,34.2,32.0,28.8,4.8,34.3,21.4,3.6
Derrick White,,O,PG,6000,SAS,@LAL,1,108,,,103,102,-8%,9,9,9,23,23,23,15.7,15.7,15.7,15.7,0.0,0.0,0.0,,0.0,0.0
Dillon Brooks,3,,SG,6000,MEM,CLE,1,108,28,12,101,100,-6%,14,16,17,29,30,31,30.7,30.8,24.3,37.4,30.0,29.5,4.9,28.4,23.2,3.9
Kyle Anderson,12,,SF,5900,MEM,CLE,1,108,24,14,101,100,-6%,15,14,14,31,31,32,30.1,30.7,18.8,42.6,30.5,31.5,5.3,28.1,23.6,4.0
Tim Hardaway Jr.,3,,SF,5700,DAL,@DEN,2,110,22,17,102,113,-6%,15,14,13,32,31,30,29.8,26.7,18.5,34.8,31.0,27.0,4.7,24.6,23.6,4.1
Kevin Love,,O,PF,5700,CLE,@MEM,0,103,22,11,104,107,8%,9,9,9,23,23,23,20.4,20.4,10.8,30.1,0.0,0.0,0.0,,0.0,0.0
Malik Beasley,18,,SG,5600,MIN,@POR,1,112,23,17,104,113,-1%,16,14,15,38,31,31,28.5,28.8,19.0,38.5,34.5,31.7,5.7,27.8,20.8,3.7
Tyus Jones,11,,PG,5400,MEM,CLE,1,108,16,12,101,100,-22%,10,9,8,32,30,26,26.2,21.1,11.7,30.5,31.0,28.3,5.2,26.8,20.8,3.9
Dennis Schroder,13,,SG,5300,LAL,SAS,1,114,25,13,104,111,-11%,14,15,14,34,34,31,26.4,27.3,20.0,34.7,32.0,30.0,5.7,27.2,14.8,2.8
Montrezl Harrell,4,,C,5300,LAL,SAS,1,114,19,21,104,111,16%,10,7,8,21,23,24,21.9,25.1,17.5,32.6,23.0,25.2,4.8,18.2,17.2,3.2
Cedi Osman,20,,SF,5200,CLE,@MEM,0,103,21,13,104,107,19%,13,12,11,36,30,27,22.0,22.8,11.9,33.6,34.5,28.3,5.4,38.1,33.5,6.4
Enes Kanter,3,,C,5200,POR,MIN,1,122,17,25,105,113,22%,8,7,7,20,20,20,23.4,23.2,11.4,35.0,19.0,21.9,4.2,13.9,29.9,5.8
Brandon Clarke,13,,PF,5100,MEM,CLE,1,108,19,12,101,100,5%,11,11,10,29,29,27,26.2,22.3,14.2,30.3,27.5,26.8,5.3,30.2,26.8,5.3
Seth Curry,4,O,SG,5000,PHI,@BKN,0,114,18,20,106,104,-3%,11,11,10,31,31,30,29.9,27.0,18.4,35.6,0.0,0.0,0.0,,0.0,0.0
Robert Covington,13,,PF,5000,POR,MIN,1,122,10,8,105,113,-5%,7,7,6,32,33,32,23.0,22.0,15.0,29.0,32.0,26.3,5.3,23.4,13.3,2.7
Joe Harris,4,,SF,4900,BKN,PHI,1,110,16,15,104,98,-3%,9,10,10,25,30,29,26.1,22.1,13.2,31.0,28.5,23.4,4.8,30.2,43.2,8.8
Josh Richardson,4,,SG,4800,DAL,@DEN,2,110,19,12,102,113,-6%,12,11,11,33,31,31,20.2,21.8,15.1,28.5,33.0,24.2,5.0,41.3,21.7,4.5
Rudy Gay,1,,SF,4800,SAS,@LAL,1,108,23,14,103,102,4%,11,13,12,24,25,25,27.1,25.3,16.2,34.4,25.0,23.3,4.9,24.4,22.2,4.6
Justise Winslow,,O,SF,4700,MEM,CLE,1,108,,,101,100,-6%,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0
JaVale McGee,3,,PF,4700,CLE,@MEM,0,103,27,19,104,107,7%,7,8,8,15,17,17,23.7,22.4,13.2,31.6,16.5,18.3,3.9,17.3,26.2,5.6
Jarrett Culver,3,,SF,4600,MIN,@POR,1,112,18,10,104,113,-1%,9,9,8,25,25,24,16.0,18.5,8.4,28.5,25.5,20.6,4.5,19.6,15.0,3.3
Gorgui Dieng,3,,C,4600,MEM,CLE,1,108,20,22,101,100,-1%,7,8,7,21,21,17,24.3,20.5,12.1,28.9,20.5,23.5,5.1,18.1,20.3,4.4
Monte Morris,,,PG,4500,DEN,DAL,1,113,16,16,101,104,8%,5,8,8,27,29,27,24.6,21.4,10.3,32.4,25.5,19.6,4.4,24.6,22.1,4.9
Ricky Rubio,0,,PG,4500,MIN,@POR,1,112,16,10,104,113,15%,5,6,6,20,22,23,16.7,17.4,11.6,23.2,21.5,19.7,4.4,28.6,37.0,8.2
Jarred Vanderbilt,2,,SF,4500,MIN,@POR,1,112,17,27,104,113,6%,3,3,3,12,13,13,20.3,20.3,6.1,34.5,17.0,20.1,4.5,20.9,29.5,6.6
Shake Milton,15,,PG,4500,PHI,@BKN,0,114,21,13,106,104,-3%,10,12,10,23,24,25,25.2,22.2,12.0,32.4,31.5,26.4,5.9,36.3,32.7,7.3
Lonnie Walker,1,,SG,4400,SAS,@LAL,1,108,18,10,103,102,-2%,10,11,11,26,29,29,18.8,20.7,15.2,26.3,30.0,20.8,4.7,26.6,26.2,6.0
Paul Millsap,2,,PF,4400,DEN,DAL,1,113,18,15,101,104,-5%,8,7,8,20,22,24,17.6,17.8,10.9,24.8,24.5,20.7,4.7,28.6,18.0,4.1
Naz Reid,1,,PF,4400,MIN,@POR,1,112,20,16,104,113,-14%,6,8,8,17,21,20,19.4,19.6,8.9,30.2,18.5,19.4,4.4,16,22.5,5.1
John Konchar,,O,SG,4400,MEM,CLE,1,108,13,18,101,100,1%,5,5,5,22,20,20,20.7,20.7,12.7,28.8,0.0,0.0,0.0,0,0.0,0.0
Dorian Finney-Smith,4,,SF,4400,DAL,@DEN,2,110,13,11,102,113,0%,7,7,8,34,27,28,17.0,19.5,13.4,25.6,32.0,21.1,4.8,36.5,41.6,9.5
