Player Name,Salary,Team,Opp,Proj FP,Actual FP
Ben Bishop,8900,DAL,STL,21.2,21.6
Andrei Vasilevskii,8800,TB,WAS,16.4,8.8
Anders Nilsson,8600,OTT,MIN,17.0,-5.6
Braden Holtby,8500,WAS,TB,16.9,21.6
Darcy Kuemper,8300,ARI,VGK,17.0,25.6
Connor Hellebuyck,8300,WPG,ANH,18.5,39.2
Petr Mrazek,8300,CAR,NSH,15.6,8.0
Tristan Jarry,8100,PIT,CLS,19.0,4.0
Martin Jones,8000,SJ,LA,17.9,34.4
John Gibson,7800,ANH,WPG,20.1,1.6
Joonas Korpisalo,7700,CLS,PIT,15.2,27.2
Pavel Francouz,7600,COL,CHI,17.5,31.2
Alex Stalock,7600,MIN,OTT,20.3,30.4
Corey Crawford,7600,CHI,COL,19.4,-5.6
Malcolm Subban,7600,VGK,ARI,18.3,36.0
Jake Allen,7500,STL,DAL,15.6,32.8
Carter Hart,7400,PHI,DET,22.2,33.6
Linus Ullmark,7400,BUF,TOR,15.1,16.0
Jon Quick,7400,LA,SJ,14.4,-1.6
Pekka Rinne,7400,NSH,CAR,15.0,44.8
Michael Hutchinson,7000,TOR,BUF,19.3,4.0
Calvin Pickard,7000,DET,PHI,2.2,-0.8
