Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Braden Holtby,,,G,8800,WAS,@ANH,1,59%,2.75,61.1,58.7,58.7,0.909,0.909,20.2,19.1,19.1,7.2,31.0,19.3,2.2,25.6,2.9
Antti Raanta,,,G,8500,ARI,@PIT,0,37%,3.11,60.3,60.9,60.9,0.924,0.924,25.9,22.2,22.2,9.5,35.0,15.9,1.9,15.2,1.8
Carey Price,,,G,8400,MON,@NYR,0,51%,3.21,51.5,58.4,58.4,0.899,0.899,4.0,15.5,15.5,2.4,28.6,16.8,2.0,31.2,3.7
Mikko Koskinen,,,G,8200,EDM,LA,1,61%,2.67,51.3,56.5,56.5,0.917,0.917,14.1,19.4,19.4,5.9,32.9,19.8,2.4,36.0,4.4
Tristan Jarry,,,G,8200,PIT,ARI,1,63%,2.39,52.6,53.5,53.5,0.936,0.936,24.3,21.9,21.9,7.6,36.2,19.9,2.4,46.4,5.7
Alexander Georgiev,,,G,7700,NYR,MON,0,49%,3.29,53.6,53.7,53.7,0.918,0.918,26.7,20.8,20.8,3.3,38.3,17.6,2.3,16.8,2.2
John Gibson,,Q,G,7700,ANH,WAS,3,41%,3.25,61.0,58.9,58.9,0.910,0.910,10.7,16.3,16.3,0.6,32.0,16.3,2.1,0.0,0.0
Corey Crawford,,,G,7500,CHI,@NJ,0,45%,3.42,54.3,57.9,57.9,0.909,0.909,12.0,16.2,16.2,1.2,31.2,16.7,2.2,31.2,4.2
Jon Quick,,,G,7300,LA,@EDM,1,39%,3.33,59.7,59.4,59.4,0.883,0.883,7.7,11.1,11.1,-2.3,24.5,14.1,1.9,6.4,0.9
MacKenzie Blackwood,,,G,7000,NJ,CHI,2,55%,3.08,52.1,56.8,56.8,0.896,0.896,10.6,13.9,13.9,-1.5,29.2,17.8,2.5,18.4,2.6
