Player Name,Salary,Team,Opp,Proj FP,Actual FP
Marc-Andre Fleury,9000,VGK,NSH,16.4,7.2
Andrei Vasilevskii,8800,TB,MON,18.2,34.4
Frederik Andersen,8600,TOR,MIN,23.4,25.6
Pekka Rinne,8400,NSH,VGK,14.8,30.4
Carey Price,8100,MON,TB,15.3,3.2
Connor Hellebuyck,7900,WPG,ARI,19.4,8.8
David Rittich,7800,CGY,PHI,17.3,24.8
Devan Dubnyk,7700,MIN,TOR,12.1,8.0
Darcy Kuemper,7700,ARI,WPG,16.6,0.0
Jack Campbell,7600,LA,CAR,13.3,12.8
Petr Mrazek,7600,CAR,LA,16.6,44.8
Thatcher Demko,7500,VAN,DET,19.4,28.8
Brian Elliott,7500,PHI,CGY,15.4,0.0
Jonathan Bernier,7300,DET,VAN,16.0,1.6
