Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Connor McDavid,1,,C,9100,EDM,PIT,1,L1,P1,2.91,21.8,22.3,22.3,1.8,3.1,3.1,15.8,20.9,20.9,5.7,36.1,19.2,2.1,4.8,0.5
Leon Draisaitl,,,W,8800,EDM,PIT,1,L2,P1,2.91,22.3,22.7,22.7,3.6,3.2,3.2,16.1,20.7,20.7,8.6,32.7,16.4,1.9,4.8,0.5
Evgeni Malkin,,Q,C,8800,PIT,@EDM,2,L1,P1,3.09,21.1,19.1,19.1,2.6,3.4,3.4,19.0,19.1,19.1,6.1,32.1,15.4,1.8,18.1,2.1
Artemi Panarin,,,W,8600,NYR,TOR,3,L2,P1,2.70,20.5,20.6,20.6,3.4,3.0,3.0,26.1,18.1,18.1,8.4,27.9,13.9,1.6,11.2,1.3
Alexander Ovechkin,,,W,8300,WAS,@NJ,3,L1,P1,3.39,19.6,20.8,20.8,4.6,4.7,4.7,12.0,18.2,18.2,4.1,32.3,17.0,2.0,26.4,3.2
Auston Matthews,,,C,8300,TOR,@NYR,2,L1,P1,3.30,18.6,19.8,19.8,3.2,3.7,3.7,18.8,17.7,17.7,5.2,30.1,18.1,2.2,21.3,2.6
John Tavares,,,C,8100,TOR,@NYR,2,L2,P1,3.30,21.0,19.3,19.3,4.2,3.0,3.0,18.4,14.8,14.8,4.0,25.6,16.9,2.1,8.0,1.0
Jake Guentzel,,,W,8000,PIT,@EDM,2,L1,P1,3.09,20.8,20.8,20.8,1.8,3.2,3.2,18.8,16.4,16.4,5.7,27.1,15.1,1.9,3.2,0.4
Sidney Crosby,,Q,C,8000,PIT,@EDM,34,,,3.09,19.0,20.5,20.5,3.4,2.7,2.7,12.0,14.3,14.3,3.3,25.3,0.0,0.0,0.0,0.0
Mika Zibanejad,,,C,7800,NYR,TOR,3,L1,P1,2.70,22.0,21.2,21.2,4.2,3.2,3.2,23.4,18.4,18.4,2.7,34.1,14.8,1.9,12.8,1.6
Evgeny Kuznetsov,,,C,7600,WAS,@NJ,3,L2,P1,3.39,18.1,18.3,18.3,1.6,2.2,2.2,10.8,13.8,13.8,3.6,24.1,13.1,1.7,1.6,0.2
Aleksander Barkov,,,C,7500,FLA,DAL,3,L1,P1,2.84,19.9,20.1,20.1,3.6,3.0,3.0,13.0,16.0,16.0,6.7,25.4,16.4,2.2,18.1,2.4
Mitchell Marner,,,W,7400,TOR,@NYR,2,L2,P1,3.30,22.2,20.3,20.3,2.2,2.5,2.5,19.7,15.2,15.2,5.3,25.2,15.3,2.1,37.3,5.0
Tyler Seguin,,,C,7400,DAL,@FLA,0,L1,P1,2.66,19.4,19.0,19.0,2.4,3.5,3.5,14.2,13.5,13.5,3.5,23.4,16.8,2.3,30.9,4.2
John Carlson,,,D,7300,WAS,@NJ,3,D1,P1,3.39,24.3,24.9,24.9,2.8,2.8,2.8,11.2,18.8,18.8,8.0,29.5,13.8,1.9,31.2,4.3
Kris Letang,,,D,7200,PIT,@EDM,2,D1,P1,3.09,25.6,25.4,25.4,1.6,3.3,3.3,19.0,16.1,16.1,6.8,25.4,13.3,1.8,20.5,2.8
Jonathan Huberdeau,,,W,7100,FLA,DAL,3,L2,P1,2.84,19.2,19.0,19.0,1.2,2.1,2.1,15.2,15.6,15.6,4.2,26.9,14.4,2.0,39.7,5.6
T.J. Oshie,,,W,6800,WAS,@NJ,3,L2,P1,3.39,19.1,18.7,18.7,2.2,2.0,2.0,13.7,12.3,12.3,3.0,21.6,10.8,1.6,3.2,0.5
Nicklas Backstrom,,,C,6700,WAS,@NJ,3,L1,P1,3.39,18.6,19.7,19.7,1.8,2.3,2.3,15.0,12.5,12.5,3.5,21.5,12.0,1.8,46.4,6.9
Alexander Radulov,,,W,6500,DAL,@FLA,0,,,2.66,16.5,17.1,17.1,2.2,2.6,2.6,16.3,12.2,12.2,-0.2,24.6,0.0,0.0,0.0,0.0
Kyle Palmieri,,,W,6200,NJ,WAS,1,L1,P1,2.61,16.6,17.0,17.0,2.6,2.3,2.3,12.5,11.2,11.2,1.0,21.4,12.4,2.0,17.3,2.8
Oscar Klefbom,,,D,6000,EDM,PIT,1,D2,P1,2.91,27.5,25.7,25.7,3.8,2.6,2.6,16.0,14.2,14.2,5.5,22.8,11.7,1.9,11.2,1.9
Jamie Benn,,,W,6000,DAL,@FLA,0,L1,P1,2.66,17.5,16.9,16.9,2.2,2.5,2.5,6.6,9.8,9.8,1.1,18.5,13.0,2.2,15.2,2.5
Ryan Nugent-Hopkins,,,C,6000,EDM,PIT,1,L1,P1,2.91,20.9,19.5,19.5,3.0,2.5,2.5,9.5,10.3,10.3,0.9,19.7,12.5,2.1,0.0,0.0
Jakub Vrana,,,W,5900,WAS,@NJ,3,L2,P2,3.39,14.9,14.7,14.7,3.0,3.0,3.0,12.7,13.6,13.6,2.2,25.1,9.9,1.7,3.2,0.5
James Neal,,,W,5700,EDM,PIT,1,L2,P1,2.91,16.7,16.6,16.6,2.6,2.4,2.4,10.9,11.1,11.1,-0.6,22.9,10.3,1.8,0.0,0.0
Keith Yandle,,,D,5700,FLA,DAL,3,D2,P1,2.84,22.2,20.8,20.8,2.4,2.0,2.0,15.2,12.6,12.6,3.2,22.0,10.8,1.9,3.2,0.6
Bryan Rust,,Q,W,5600,PIT,@EDM,2,L1,P1,3.09,21.8,18.6,18.6,4.2,3.5,3.5,23.6,19.4,19.4,6.6,32.2,9.0,1.6,10.1,1.8
Mike Hoffman,,,W,5600,FLA,DAL,3,L3,P1,2.84,17.5,17.2,17.2,2.6,2.9,2.9,10.2,12.2,12.2,2.3,22.2,12.5,2.2,3.2,0.6
Chris Kreider,,,W,5500,NYR,TOR,3,L1,P1,2.70,16.7,17.7,17.7,3.2,2.2,2.2,15.5,10.1,10.1,2.1,18.0,11.3,2.1,12.8,2.3
Patric Hornqvist,,,W,5500,PIT,@EDM,15,,,3.09,16.3,15.9,15.9,1.8,2.5,2.5,4.8,11.3,11.3,0.4,22.1,0.0,0.0,0.0,0.0
Evgeni Dadonov,,,W,5400,FLA,DAL,3,L3,P1,2.84,16.7,17.6,17.6,2.6,2.5,2.5,8.8,12.0,12.0,2.3,21.6,12.4,2.3,10.1,1.9
Ryan Strome,,,C,5400,NYR,TOR,3,L2,P2,2.70,18.4,19.5,19.5,0.8,1.4,1.4,8.7,10.3,10.3,1.9,18.8,7.8,1.4,20.0,3.7
Nico Hischier,,,C,5400,NJ,WAS,1,L1,P1,2.61,18.6,17.5,17.5,2.0,2.1,2.1,11.5,10.2,10.2,2.1,18.3,12.1,2.2,10.1,1.9
John Klingberg,,,D,5300,DAL,@FLA,0,D1,P1,2.66,22.8,23.2,23.2,1.4,2.0,2.0,10.1,9.1,9.1,1.4,16.7,12.5,2.4,12.8,2.4
William Nylander,,,W,5300,TOR,@NYR,2,L1,P1,3.30,16.7,17.9,17.9,1.2,2.6,2.6,5.8,11.2,11.2,3.3,19.1,11.7,2.2,37.3,7.0
Roope Hintz,,,C,5200,DAL,@FLA,0,L2,P1,2.66,13.2,15.6,15.6,1.6,1.9,1.9,7.2,9.8,9.8,1.1,18.5,8.5,1.6,8.5,1.6
Vincent Trocheck,,,C,5200,FLA,DAL,3,L2,P2,2.84,18.2,17.5,17.5,2.2,2.4,2.4,6.1,10.3,10.3,1.1,19.6,14.1,2.7,32.8,6.3
Joe Pavelski,,,W,5200,DAL,@FLA,0,L2,P1,2.66,16.1,18.1,18.1,1.6,1.9,1.9,7.2,8.4,8.4,-0.2,17.1,12.3,2.4,12.8,2.5
Jacob Trouba,,,D,5100,NYR,TOR,3,D1,P2,2.70,23.6,22.9,22.9,2.0,2.8,2.8,9.2,12.4,12.4,3.7,21.0,13.2,2.6,1.6,0.3
Morgan Rielly,,,D,5000,TOR,@NYR,2,D1,P2,3.30,22.7,24.5,24.5,2.6,2.6,2.6,11.9,12.0,12.0,2.1,22.0,13.4,2.7,4.8,1.0
Andreas Johnson,,,W,5000,TOR,@NYR,15,,,3.30,15.3,17.0,17.0,2.2,2.2,2.2,12.6,9.6,9.6,0.4,18.8,0.0,0.0,0.0,0.0
Miro Heiskanen,,,D,4900,DAL,@FLA,0,D2,P2,2.66,23.4,24.4,24.4,2.2,2.5,2.5,4.5,11.7,11.7,3.4,20.1,10.7,2.2,16.0,3.3
Aaron Ekblad,,,D,4800,FLA,DAL,3,D1,P2,2.84,23.9,24.0,24.0,2.6,2.5,2.5,16.0,12.1,12.1,3.6,20.5,10.3,2.1,6.4,1.3
Kaapo Kakko,,,W,4800,NYR,TOR,3,L3,P1,2.70,16.7,15.6,15.6,2.8,1.8,1.8,7.9,7.7,7.7,-0.3,15.7,12.5,2.6,6.4,1.3
Tyson Barrie,,Q,D,4700,TOR,@NYR,2,D1,P1,3.30,18.3,20.9,20.9,2.2,2.6,2.6,9.9,9.6,9.6,1.5,17.7,12.4,2.6,1.6,0.3
Zack Kassian,,,W,4700,EDM,PIT,1,L1,P2,2.91,16.6,16.4,16.4,2.4,1.7,1.7,14.2,10.1,10.1,1.0,19.2,6.1,1.3,16.8,3.6
Sami Vatanen,,,D,4600,NJ,WAS,1,D2,P1,2.61,21.0,21.7,21.7,2.6,2.2,2.2,12.4,10.9,10.9,4.0,17.9,9.6,2.1,8.0,1.7
Lars Eller,,,C,4500,WAS,@NJ,3,L3,P2,3.39,16.9,17.3,17.3,4.0,2.4,2.4,9.8,9.6,9.6,2.2,17.1,8.4,1.9,12.8,2.8
Jared McCann,,,C,4400,PIT,@EDM,2,L2,P1,3.09,16.9,15.0,15.0,2.0,2.0,2.0,5.1,9.9,9.9,-0.2,19.9,9.8,2.2,20.0,4.5
Blake Coleman,,,W,4400,NJ,WAS,1,L2,,2.61,17.2,15.8,15.8,3.6,2.4,2.4,9.0,9.9,9.9,-0.4,20.2,9.3,2.1,23.2,5.3
Tom Wilson,,,W,4400,WAS,@NJ,3,L1,P2,3.39,18.2,18.2,18.2,1.6,2.2,2.2,7.5,11.4,11.4,2.8,20.0,10.4,2.4,17.6,4.0
Pavel Buchnevich,,,W,4400,NYR,TOR,3,L2,P2,2.70,15.7,16.2,16.2,2.6,1.8,1.8,5.1,9.1,9.1,1.9,16.3,10.3,2.3,24.8,5.6
Zach Hyman,,,W,4400,TOR,@NYR,2,L2,,3.30,19.6,18.2,18.2,3.0,2.4,2.4,14.7,10.5,10.5,0.4,20.5,9.3,2.1,4.8,1.1
Dmitry Orlov,,,D,4400,WAS,@NJ,3,D2,P2,3.39,22.2,22.0,22.0,2.4,1.5,1.5,10.6,7.8,7.8,2.2,13.4,7.6,1.7,8.0,1.8
Jack Hughes,,,C,4400,NJ,WAS,1,L3,P1,2.61,15.6,16.0,16.0,2.6,2.0,2.0,8.0,7.9,7.9,0.4,15.3,12.2,2.8,0.0,0.0
Anthony Deangelo,,,D,4400,NYR,TOR,3,D3,P1,2.70,20.8,18.8,18.8,1.6,1.8,1.8,8.4,10.5,10.5,2.7,18.2,10.5,2.4,11.2,2.5
Alex Galchenyuk,,,W,4300,PIT,@EDM,2,L3,P2,3.09,12.5,12.9,12.9,1.4,1.9,1.9,2.6,7.0,7.0,1.4,12.6,11.1,2.6,0.0,0.0
Brett Connolly,,,W,4300,FLA,DAL,3,L1,P2,2.84,16.4,15.0,15.0,1.6,1.8,1.8,7.6,10.6,10.6,2.4,18.8,8.6,2.0,3.2,0.7
Filip Chytil,,,C,4300,NYR,TOR,3,L3,,2.70,13.5,15.7,15.7,1.6,2.1,2.1,6.7,9.3,9.3,0.1,18.5,7.9,1.8,3.2,0.7
Darnell Nurse,,,D,4300,EDM,PIT,1,D1,P2,2.91,20.6,22.4,22.4,4.0,2.4,2.4,11.2,10.2,10.2,3.6,16.8,11.3,2.6,17.6,4.1
John Marino,,,D,4200,PIT,@EDM,2,D1,P2,3.09,23.4,20.1,20.1,2.6,1.5,1.5,14.8,8.8,8.8,1.2,16.4,8.8,2.1,1.6,0.4
Nikita Gusev,,,W,4200,NJ,WAS,1,L2,P1,2.61,13.8,13.5,13.5,1.8,2.3,2.3,6.5,8.6,8.6,1.4,15.8,12.5,3.0,19.2,4.6
Justin Schultz,,Q,D,4000,PIT,@EDM,2,,,3.09,17.9,20.3,20.3,1.2,2.3,2.3,2.9,7.7,7.7,1.2,14.2,0.0,0.0,0.0,0.0
Adam Fox,,,D,4000,NYR,TOR,3,D2,P2,2.70,17.4,18.1,18.1,1.0,1.6,1.6,8.1,9.6,9.6,2.8,16.4,6.9,1.7,1.6,0.4
Alex Chiasson,,,W,4000,EDM,PIT,1,L3,P2,2.91,13.7,12.9,12.9,1.4,1.5,1.5,6.8,6.6,6.6,-1.0,14.2,7.5,1.9,3.2,0.8
Ilya Mikheyev,,,W,3900,TOR,@NYR,2,L3,P2,3.30,13.3,15.7,15.7,3.2,2.4,2.4,11.0,9.6,9.6,1.8,17.4,9.1,2.3,24.8,6.4
Jacob Muzzin,,,D,3900,TOR,@NYR,2,D2,,3.30,22.3,21.5,21.5,1.0,1.9,1.9,4.8,9.2,9.2,2.7,15.7,9.7,2.5,12.8,3.3
