Player,Pos,Team,Opp,Def v Pos,VegasPts,Salary,Floor,Ceiling,FPG,Asts,FPPM,AVG/36,STDV/36,STDV,ProjSTDV,USG,FGA,MPG,Proj Mins,FC Proj,My Proj,Exp.,Used,Con.,Value,Start,Mins,Score,Val
Anthony Davis,PF,LAL,@ DAL,21st,109.50,11800,44.4,77.5,57.5,3.0,1.74,62.73,13.61,9.46,13.04,35.0,18.5,33.0,34.50,58.56,58.56,100,,84,5,Y,43,54.60,4.6
Giannis Antetokounmpo,SF,MIL,@ ORL,23rd,109.00,11600,37.9,78,57.0,8.0,1.76,63.57,13.20,11.47,11.83,31.3,16.5,32.3,32.25,55.08,55.08,100,,80,4.7,Y,30,53.80,4.6
James Harden,SG,HOU,@ BKN,22nd,124.50,11200,38.3,88,53.7,8.8,1.47,52.99,13.37,14.20,13.18,38.8,23.8,36.5,35.50,59.63,59.63,100,,74,5.3,Y,37,49.00,4.4
LeBron James,SF,LAL,@ DAL,25th,109.50,10800,38.6,67.3,44.8,9.5,1.38,49.57,9.75,8.22,9.34,31.9,17.5,32.5,34.50,50.90,50.90,100,,82,4.7,Y,43,88.40,8.2
Kyrie Irving,PG,BKN,vs HOU,22nd,120.50,10300,26.3,69,56.8,6.3,1.70,61.07,8.47,12.21,7.71,34.0,24.8,33.5,32.75,44.58,44.58,100,,79,4.3,Y,34,38.80,3.8
Russell Westbrook,PG,HOU,@ BKN,30th,124.50,10200,47.8,65.9,54.3,10.3,1.58,57.05,6.70,5.17,6.47,26.9,16.5,34.3,34.75,55.57,55.57,100,,90,5.4,Y,36,60.40,5.9
Andre Drummond,C,DET,@ CHI,22nd,105.50,10100,24.3,82.2,51.0,1.8,1.45,52.14,10.89,16.53,10.89,25.8,14.4,35.2,36.00,49.11,49.11,100,,68,4.9,Y,35,66.80,6.6
Luka Doncic,PG,DAL,vs LAL,1st,108.50,9800,23.3,70.1,48.1,6.8,1.35,48.80,11.03,13.37,10.65,30.8,18.0,35.5,34.75,43.40,43.40,100,,72,4.4,Y,38,66.10,6.7
D'Angelo Russell,SG,GSW,vs SAS,26th,107.50,9400,23.1,64,27.8,6.0,0.93,33.58,10.50,11.66,9.99,24.1,14.8,29.8,34.25,40.63,40.63,100,,58,4.3,Y,33,47.60,5.1
Stephen Curry,PG,GSW,vs SAS,26th,107.50,9300,0,20.6,37.5,6.5,1.34,48.21,10.10,10.29,0,31.1,16.5,28.0,0.00,0.00,0.00,100,,73,0,,,,
Malcolm Brogdon,PG,IND,vs CLE,21st,111.00,9200,25.1,44.7,49.4,11.3,1.43,51.57,8.12,5.62,7.84,26.5,16.8,34.5,34.75,33.49,33.49,100,,89,3.6,Y,33,44.60,4.8
Blake Griffin,PF,DET,@ CHI,19th,105.50,8900,0,0,,,,,,,0,,,,0.00,0.00,0.00,100,,0,0,,,,
Kevin Love,PF,CLE,@ IND,23rd,104.00,8800,26.8,54.6,43.4,5.0,1.30,46.94,10.18,7.93,9.19,19.8,9.8,33.3,32.50,38.70,38.70,100,,82,4.4,Y,35,45.40,5.2
