Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
David Pastrnak,,,W,9300,BOS,@DET,2,L1,P1,3.06,18.0,18.5,18.5,3.4,3.5,3.5,29.2,26.6,26.6,11.7,41.5,17.6,1.9,16.5,1.8
Connor McDavid,1,,C,8900,EDM,NJ,1,L1,P1,,23.4,23.2,23.2,4.0,3.3,3.3,16.2,20.2,20.2,6.7,33.7,19.2,2.2,14.9,1.7
Leon Draisaitl,1,,W,8800,EDM,NJ,1,L1,P1,,23.9,23.8,23.8,2.6,3.3,3.3,21.3,22.6,22.6,10.1,35.1,16.4,1.9,16.8,1.9
Brad Marchand,,,W,8600,BOS,@DET,2,L1,P1,3.06,18.4,19.5,19.5,2.8,2.7,2.7,29.5,22.6,22.6,6.8,38.3,16.4,1.9,0.0,0.0
Patrice Bergeron,,,C,7800,BOS,@DET,2,L1,P1,3.06,19.1,19.0,19.0,3.2,3.4,3.4,22.5,16.8,16.8,6.8,26.8,16.6,2.1,9.6,1.2
Patrik Laine,,,W,7700,WPG,VAN,2,L1,P2,2.86,20.4,19.2,19.2,4.4,3.4,3.4,10.6,15.3,15.3,3.1,27.4,13.7,1.8,8.0,1.0
Taylor Hall,,,W,7600,NJ,@EDM,0,L1,P1,,20.7,19.7,19.7,2.4,3.4,3.4,16.5,14.6,14.6,9.0,20.1,16.5,2.2,6.4,0.8
Mark Scheifele,,,C,7500,WPG,VAN,2,L1,P1,2.86,23.6,22.3,22.3,1.4,2.1,2.1,8.8,12.8,12.8,4.5,21.2,14.2,1.9,16.8,2.2
Brock Boeser,,,W,7400,VAN,@WPG,0,L1,P1,,19.4,19.0,19.0,3.2,2.9,2.9,18.2,14.9,14.9,1.5,28.2,14.5,2.0,12.8,1.7
Elias Pettersson,,,C,7300,VAN,@WPG,0,L1,P1,,18.3,18.4,18.4,3.2,2.4,2.4,20.2,16.9,16.9,3.8,29.9,14.6,2.0,3.2,0.4
Blake Wheeler,,,W,7000,WPG,VAN,2,L2,P1,2.86,21.3,20.9,20.9,3.4,3.2,3.2,11.8,11.7,11.7,1.4,21.9,14.3,2.0,10.1,1.4
Kyle Connor,,,W,6600,WPG,VAN,2,L1,P1,2.86,21.4,20.1,20.1,3.8,3.8,3.8,17.9,13.4,13.4,4.6,22.1,13.6,2.1,24.8,3.8
Dylan Larkin,,,C,6600,DET,BOS,1,L1,P1,,21.2,21.1,21.1,3.8,3.2,3.2,12.4,12.9,12.9,4.5,21.3,16.1,2.4,18.4,2.8
Kyle Palmieri,,,W,6400,NJ,@EDM,0,L1,P1,,16.9,17.0,17.0,2.4,2.4,2.4,17.1,12.1,12.1,-1.0,25.3,12.4,1.9,6.4,1.0
Anthony Mantha,,,W,6400,DET,BOS,1,L1,P1,,18.3,19.0,19.0,3.0,3.8,3.8,11.6,16.0,16.0,0.0,31.9,13.0,2.0,31.7,5.0
Bo Horvat,,,C,6200,VAN,@WPG,0,L2,P1,,18.7,19.1,19.1,3.0,3.0,3.0,14.9,14.7,14.7,2.0,27.5,13.0,2.1,6.4,1.0
J.T. Miller,,,W,6100,VAN,@WPG,0,L1,P1,,19.5,19.0,19.0,2.2,2.6,2.6,11.3,15.3,15.3,4.1,26.6,9.7,1.6,15.2,2.5
Ryan Nugent-Hopkins,,,C,6000,EDM,NJ,1,L2,P1,,20.3,19.6,19.6,4.0,2.5,2.5,10.2,10.0,10.0,3.4,16.5,12.5,2.1,19.7,3.3
Nikolaj Ehlers,,,W,5800,WPG,VAN,2,L2,P2,2.86,18.5,17.7,17.7,3.4,3.3,3.3,14.9,15.0,15.0,3.9,26.1,11.7,2.0,6.4,1.1
Torey Krug,,,D,5600,BOS,@DET,2,D2,P1,3.06,20.4,20.8,20.8,2.8,2.2,2.2,12.9,12.2,12.2,4.9,19.6,12.0,2.1,20.5,3.7
James Neal,,,W,5500,EDM,NJ,1,L2,P1,,16.4,17.1,17.1,2.2,2.8,2.8,6.3,13.6,13.6,-1.7,29.0,10.3,1.9,16.8,3.1
Alexander Edler,,,D,5500,VAN,@WPG,0,D1,P1,,26.3,25.2,25.2,1.8,2.4,2.4,11.5,14.6,14.6,5.1,24.2,12.2,2.2,9.6,1.7
David Krejci,,,C,5200,BOS,@DET,2,L2,P2,3.06,14.8,15.8,15.8,1.8,1.7,1.7,11.5,8.7,8.7,-0.4,17.8,10.1,1.9,26.9,5.2
Tyler Bertuzzi,,,W,5100,DET,BOS,1,L1,P1,,19.7,19.6,19.6,2.0,2.1,2.1,7.3,11.7,11.7,1.5,22.0,10.5,2.1,21.8,4.3
Oscar Klefbom,,,D,5000,EDM,NJ,1,D2,P1,,26.8,25.7,25.7,2.4,2.5,2.5,10.9,12.6,12.6,4.5,20.7,11.7,2.3,3.2,0.6
P.K. Subban,,,D,4800,NJ,@EDM,0,D1,P2,,24.2,23.9,23.9,2.2,2.4,2.4,7.5,8.6,8.6,1.5,15.6,11.7,2.4,12.8,2.7
Nico Hischier,,,C,4800,NJ,@EDM,0,L1,P2,,17.1,16.5,16.5,2.8,1.9,1.9,15.1,9.2,9.2,0.6,17.9,12.1,2.5,3.2,0.7
Jack Hughes,,,C,4800,NJ,@EDM,0,L2,P1,,16.0,15.8,15.8,1.8,2.0,2.0,11.1,10.0,10.0,-0.1,20.0,12.2,2.5,1.6,0.3
Bryan Little,,Q,C,4800,WPG,VAN,2,,,2.86,16.2,16.1,16.1,2.2,1.9,1.9,12.2,10.8,10.8,1.6,20.0,0.0,0.0,0.0,0.0
Joshua Morrissey,,,D,4800,WPG,VAN,2,D1,P1,2.86,25.9,25.0,25.0,3.2,2.6,2.6,14.7,11.7,11.7,4.0,19.4,9.6,2.0,6.4,1.3
Jake DeBrusk,,Q,W,4700,BOS,@DET,2,,,3.06,16.6,16.2,16.2,2.0,2.3,2.3,9.9,8.1,8.1,1.8,14.3,0.0,0.0,0.0,0.0
Tanner Pearson,,,W,4600,VAN,@WPG,0,L2,P2,,16.9,16.6,16.6,3.2,3.1,3.1,7.0,9.3,9.3,0.2,18.5,8.5,1.8,0.0,0.0
Josh Leivo,,,W,4500,VAN,@WPG,0,L3,P2,,14.3,15.0,15.0,1.8,2.2,2.2,6.4,8.3,8.3,1.4,15.2,7.6,1.7,3.2,0.7
Andreas Athanasiou,,,W,4500,DET,BOS,1,L2,P2,,17.0,16.8,16.8,2.8,2.4,2.4,13.1,8.7,8.7,2.8,14.5,12.1,2.7,1.6,0.4
Quinn Hughes,,Q,D,4400,VAN,@WPG,0,D2,P2,,17.1,19.5,19.5,1.2,1.5,1.5,9.4,9.2,9.2,0.8,17.6,7.2,1.6,3.2,0.7
Neal Pionk,,,D,4400,WPG,VAN,2,D1,P2,2.86,23.9,23.2,23.2,1.8,1.8,1.8,7.4,9.9,9.9,3.0,16.8,9.2,2.1,14.9,3.4
Brandon Sutter,,,C,4400,VAN,@WPG,0,L3,P2,,15.3,15.4,15.4,3.6,2.4,2.4,10.4,9.6,9.6,-0.2,19.4,6.7,1.5,1.6,0.4
Dan DeKeyser,,,D,4400,DET,BOS,1,,,,21.9,22.0,22.0,1.4,1.5,1.5,7.7,10.0,10.0,3.2,16.8,0.0,0.0,0.0,0.0
Sami Vatanen,,,D,4300,NJ,@EDM,0,D2,P1,,24.2,22.9,22.9,2.0,1.6,1.6,12.3,11.1,11.1,3.7,18.5,9.6,2.2,1.6,0.4
Darnell Nurse,1,,D,4300,EDM,NJ,1,D1,P2,,22.1,23.2,23.2,1.6,1.9,1.9,5.1,10.4,10.4,3.3,17.5,11.3,2.6,8.0,1.9
Filip Hronek,,,D,4300,DET,BOS,1,D1,P2,,22.2,22.6,22.6,1.8,2.2,2.2,9.1,10.0,10.0,3.6,16.4,8.2,1.9,4.8,1.1
Charlie Coyle,,,C,4300,BOS,@DET,2,L3,P1,3.06,16.5,15.7,15.7,3.0,1.9,1.9,11.5,6.6,6.6,-2.4,15.6,9.3,2.2,0.0,0.0
Charles McAvoy,,Q,D,4300,BOS,@DET,2,D1,P2,3.06,20.5,21.9,21.9,0.6,0.9,0.9,7.7,6.6,6.6,2.7,10.6,10.3,2.4,4.8,1.1
Danton Heinen,,,W,4300,BOS,@DET,2,L2,P2,3.06,14.4,13.6,13.6,0.6,1.1,1.1,7.8,7.0,7.0,-0.6,14.6,8.6,2.0,4.8,1.1
Wayne Simmonds,,,W,4200,NJ,@EDM,0,L4,P1,,16.1,15.8,15.8,2.4,2.9,2.9,13.2,9.0,9.0,1.3,16.8,8.5,2.0,6.4,1.5
Michael Ferland,,Q,W,4200,VAN,@WPG,0,,,,7.9,10.3,10.3,1.4,1.1,1.1,7.4,5.5,5.5,-1.0,12.1,0.0,0.0,0.0,0.0
Zack Kassian,,,W,4000,EDM,NJ,1,L1,P2,,14.6,16.2,16.2,2.0,1.4,1.4,7.2,8.3,8.3,0.5,16.1,6.1,1.5,1.6,0.4
Pavel Zacha,,,W,3900,NJ,@EDM,0,L2,P2,,16.7,15.8,15.8,1.4,1.5,1.5,6.1,7.8,7.8,-1.0,16.5,7.9,2.0,1.6,0.4
Brandon Carlo,,,D,3900,BOS,@DET,2,D2,,3.06,19.7,20.0,20.0,1.4,1.5,1.5,10.7,7.1,7.1,-0.2,14.3,6.5,1.7,4.8,1.2
Andy Greene,,,D,3800,NJ,@EDM,0,D2,,,19.6,19.4,19.4,1.0,0.8,0.8,11.2,8.3,8.3,2.3,14.3,7.7,2.0,3.2,0.8
Jake Virtanen,,,W,3800,VAN,@WPG,0,L3,,,11.8,11.5,11.5,3.4,1.8,1.8,12.5,9.1,9.1,1.2,17.1,8.6,2.3,6.4,1.7
Tyler Myers,,,D,3800,VAN,@WPG,0,D1,P2,,22.7,21.8,21.8,1.8,2.1,2.1,6.4,7.1,7.1,3.0,11.2,9.4,2.5,11.2,2.9
Jack Roslovic,,,W,3800,WPG,VAN,2,L2,P2,2.86,15.7,14.1,14.1,1.8,1.8,1.8,6.4,6.6,6.6,2.1,11.2,6.8,1.8,17.3,4.6
Darren Helm,,,W,3800,DET,BOS,1,L4,,,12.9,12.5,12.5,1.2,1.9,1.9,2.2,6.9,6.9,0.3,13.4,6.5,1.7,3.2,0.8
Dennis Cholowski,,,D,3800,DET,BOS,1,D2,P1,,18.6,17.8,17.8,2.2,1.6,1.6,5.1,6.8,6.8,2.4,11.2,7.5,2.0,11.7,3.1
Zdeno Chara,,,D,3800,BOS,@DET,2,D1,,3.06,20.2,21.6,21.6,1.8,1.7,1.7,12.3,9.0,9.0,0.7,17.2,6.5,1.7,1.6,0.4
Will Butcher,,,D,3700,NJ,@EDM,0,D3,,,15.2,17.8,17.8,0.6,0.8,0.8,9.0,7.0,7.0,1.4,12.6,7.9,2.1,3.2,0.9
Chris Tanev,,Q,D,3700,VAN,@WPG,0,D2,,,17.3,19.5,19.5,0.8,0.8,0.8,7.4,8.2,8.2,2.4,14.0,7.0,1.9,6.4,1.7
