Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Nathan MacKinnon,C,8600,COL,LA,1,15.7,19.7
Alexander Ovechkin,W,8400,WAS,PIT,1,14.8,11.2
Sidney Crosby,C,8400,PIT,WAS,1,12.6,35.4
Artemi Panarin,W,8200,NYR,NJ,2,13.3,23.4
Patrick Kane,W,8000,CHI,FLA,1,14.0,20.0
Mika Zibanejad,C,7800,NYR,NJ,1,14.2,17.3
Mikko Rantanen,W,7700,COL,LA,1,12.0,18.9
Jack Eichel,C,7600,BUF,PHI,1,14.2,6.4
Evgeni Malkin,C,7600,PIT,WAS,2,13.5,20.5
Mark Scheifele,C,7500,WPG,OTT,1,11.9,22.9
Jake Guentzel,W,7400,PIT,WAS,1,13.4,28.5
Kyle Connor,W,7400,WPG,OTT,2,12.6,18.9
Evgeny Kuznetsov,C,7400,WAS,PIT,2,9.3,23.2
Jonathan Huberdeau,W,7400,FLA,CHI,2,11.8,10.1
Sebastian Aho,C,7300,CAR,NSH,1,8.6,0.0
Anze Kopitar,C,7300,LA,COL,1,10.1,19.7
Andrei Svechnikov,W,7200,CAR,NSH,3,11.1,0.0
Taylor Hall,W,7200,BUF,PHI,1,12.2,9.6
Claude Giroux,W,7100,PHI,BUF,1,10.2,3.2
Aleksander Barkov,C,7100,FLA,CHI,1,11.8,22.4
Filip Forsberg,W,7100,NSH,CAR,1,10.7,0.0
Travis Konecny,W,7000,PHI,BUF,2,10.3,16.8
Roman Josi,D,7000,NSH,CAR,29,12.3,0.0
Blake Wheeler,W,6800,WPG,OTT,1,10.8,22.9
Dylan Larkin,C,6800,DET,CLS,1,11.1,22.9
T.J. Oshie,W,6700,WAS,PIT,3,9.0,11.2
Gabriel Landeskog,W,6700,COL,LA,1,11.0,11.7
John Carlson,D,6700,WAS,PIT,34,12.4,12.8
Cam Atkinson,W,6500,CLS,DET,2,9.6,1.6
Brady Tkachuk,W,6500,OTT,WPG,1,10.8,12.8
Jakub Voracek,W,6400,PHI,BUF,3,8.6,15.2
Kyle Palmieri,W,6400,NJ,NYR,1,9.1,10.1
Nicklas Backstrom,C,6400,WAS,PIT,1,10.5,0.0
Victor Olofsson,W,6300,BUF,PHI,2,9.3,0.0
Kris Letang,D,6300,PIT,WAS,41,10.8,24.5
Cale Makar,D,6200,COL,LA,42,10.0,3.2
Nazem Kadri,C,6200,COL,LA,2,8.4,6.4
Teuvo Teravainen,W,6200,CAR,NSH,1,10.5,0.0
Alex DeBrincat,W,6000,CHI,FLA,1,10.5,1.6
Anthony Mantha,W,6000,DET,CLS,1,11.3,15.7
Jason Zucker,W,5800,PIT,WAS,2,8.7,1.6
Nikolaj Ehlers,W,5800,WPG,OTT,2,10.5,16.8
Dougie Hamilton,D,5700,CAR,NSH,49,11.5,0.0
Kevin Hayes,C,5700,PHI,BUF,1,8.4,28.0
Chris Kreider,W,5600,NYR,NJ,1,9.3,22.1
Pierre-Luc Dubois,C,5600,CLS,DET,1,9.8,3.2
Viktor Arvidsson,W,5600,NSH,CAR,1,8.8,0.0
Zachary Werenski,D,5600,CLS,DET,55,9.7,3.2
Pavel Buchnevich,W,5400,NYR,NJ,1,8.7,9.6
Matt Duchene,C,5400,NSH,CAR,2,8.6,0.0
Dustin Brown,W,5400,LA,COL,1,7.6,13.3
Eric Staal,C,5300,BUF,PHI,2,7.9,8.0
Ryan Johansen,C,5300,NSH,CAR,1,7.6,0.0
Drew Doughty,D,5300,LA,COL,62,8.3,3.2
Ryan Ellis,D,5300,NSH,CAR,63,10.4,0.0
Thomas Chabot,D,5300,OTT,WPG,64,9.8,1.6
Seth Jones,D,5300,CLS,DET,65,9.9,3.2
Bryan Rust,W,5200,PIT,WAS,2,10.7,10.1
Aaron Ekblad,D,5200,FLA,CHI,67,9.5,14.9
Patric Hornqvist,W,5200,FLA,CHI,2,9.0,28.2
Ivan Provorov,D,5200,PHI,BUF,69,8.7,12.8
Ryan Strome,C,5200,NYR,NJ,2,8.6,4.8
James van Riemsdyk,W,5100,PHI,BUF,3,8.3,3.2
Oliver Bjorkstrand,W,5000,CLS,DET,3,11.1,4.8
Duncan Keith,D,5000,CHI,FLA,75,7.6,20.2
Sam Reinhart,W,5000,BUF,PHI,1,9.3,3.2
Dominik Kubalik,W,5000,CHI,FLA,2,8.6,45.8
Neal Pionk,D,4900,WPG,OTT,78,8.7,12.8
Connor Brown,W,4900,OTT,WPG,3,7.5,11.2
Paul Stastny,C,4900,WPG,OTT,2,7.6,0.0
Dylan Strome,C,4900,CHI,FLA,2,8.8,1.6
Derek Stepan,C,4800,OTT,WPG,2,7.2,13.3
Luke Kunin,W,4800,NSH,CAR,2,7.7,0.0
Samuel Girard,D,4800,COL,LA,84,7.0,8.5
Tom Wilson,W,4800,WAS,PIT,1,8.8,28.8
Alex Iafallo,W,4800,LA,COL,1,7.8,8.0
Jack Hughes,C,4800,NJ,NYR,1,8.1,35.7
Tyler Bertuzzi,W,4700,DET,CLS,1,8.6,25.3
Rasmus Ristolainen,D,4700,BUF,PHI,89,8.0,4.8
Evgeni Dadonov,W,4600,OTT,WPG,2,8.8,16.5
Adrian Kempe,W,4600,LA,COL,3,7.0,15.7
Jeff Carter,W,4600,LA,COL,2,7.2,4.8
Justin Schultz,D,4600,WAS,PIT,95,6.8,3.2
Alexis Lafreniere,W,4600,NYR,NJ,2,8.5,1.6
Jakub Vrana,W,4500,WAS,PIT,2,9.8,9.6
Rasmus Dahlin,D,4500,BUF,PHI,98,8.6,3.2
Brandon Saad,W,4500,COL,LA,2,7.4,15.2
Nick Foligno,W,4500,CLS,DET,3,6.7,4.8
Vincent Trocheck,C,4400,CAR,NSH,2,8.5,0.0
J.T. Compher,C,4400,COL,LA,3,6.9,0.0
Nolan Patrick,C,4400,PHI,BUF,3,6.9,9.6
Chris Tierney,C,4400,OTT,WPG,3,6.8,15.2
Nikita Gusev,W,4400,NJ,NYR,2,9.1,1.6
Joshua Morrissey,D,4300,WPG,OTT,109,7.6,24.8
Jacob Trouba,D,4300,NYR,NJ,110,8.7,8.0
Damon Severson,D,4300,NJ,NYR,111,7.2,11.2
Boone Jenner,C,4300,CLS,DET,2,7.5,23.2
Alexandre Texier,C,4300,CLS,DET,3,5.7,15.2
Devon Toews,D,4300,COL,LA,114,7.4,23.7
Joel Farabee,W,4300,PHI,BUF,1,6.3,3.2
Max Domi,C,4300,CLS,DET,2,8.9,11.2
Lars Eller,C,4300,WAS,PIT,3,7.2,16.8
Anthony Duclair,W,4300,FLA,CHI,1,7.6,22.9
Nino Niederreiter,W,4200,CAR,NSH,1,6.7,0.0
Erik Haula,W,4200,NSH,CAR,2,6.5,0.0
Vladislav Namestnikov,W,4200,DET,CLS,3,7.0,3.2
P.K. Subban,D,4100,NJ,NYR,125,7.3,16.0
Dmitry Orlov,D,4100,WAS,PIT,126,5.9,4.8
Marcus Pettersson,D,4000,PIT,WAS,127,5.6,3.2
Mattias Ekholm,D,4000,NSH,CAR,128,7.8,0.0
Mike Reilly,D,4000,OTT,WPG,130,5.9,14.9
Keith Yandle,D,4000,FLA,CHI,133,6.6,20.2
Bobby Ryan,W,4000,DET,CLS,2,7.2,18.4
Adam Fox,D,3900,NYR,NJ,136,8.5,33.0
Miles Wood,W,3900,NJ,NYR,3,6.4,26.9
Josh Norris,C,3900,OTT,WPG,1,6.3,22.1
Oskar Lindblom,W,3900,PHI,BUF,2,8.2,12.8
Brandon Tanev,W,3800,PIT,WAS,3,5.8,3.2
Mattias Janmark,W,3800,CHI,FLA,3,5.2,3.2
Dan DeKeyser,D,3800,DET,CLS,154,6.5,0.0
Martin Necas,W,3800,CAR,NSH,2,6.9,0.0
Adam Boqvist,D,3800,CHI,FLA,158,6.5,9.6
Frank Vatrano,W,3700,FLA,CHI,3,8.8,18.4
Valeri Nichushkin,W,3700,COL,LA,3,6.4,6.4
John Marino,D,3700,PIT,WAS,161,6.1,4.8
Filip Chytil,C,3700,NYR,NJ,3,6.5,18.4
Rocco Grimaldi,W,3700,NSH,CAR,3,6.0,0.0
Alexander Wennberg,C,3700,FLA,CHI,2,5.6,11.7
Kaapo Kakko,W,3700,NYR,NJ,3,7.4,1.6
Alex Galchenyuk,W,3600,OTT,WPG,2,7.0,17.3
Travis Zajac,C,3600,NJ,NYR,3,4.9,16.8
Andrew Copp,W,3600,WPG,OTT,1,6.2,9.6
Joonas Donskoi,W,3600,COL,LA,2,6.5,10.1
Morgan Frost,C,3600,PHI,BUF,2,7.3,0.0
Andrew Shaw,W,3600,CHI,FLA,3,6.4,6.4
Filip Zadina,W,3600,DET,CLS,2,9.0,1.6
Mark Jankowski,C,3600,PIT,WAS,3,4.4,0.0
Tage Thompson,W,3600,BUF,PHI,3,4.8,0.0
Filip Hronek,D,3600,DET,CLS,187,8.0,6.4
Yegor Sharangovich,W,3600,NJ,NYR,1,0.0,9.6
Blake Lizotte,C,3600,LA,COL,2,5.1,1.6
Warren Foegele,W,3500,CAR,NSH,2,6.2,0.0
Valtteri Filppula,C,3500,DET,CLS,3,4.2,0.0
Emil Bemstrom,W,3500,CLS,DET,1,6.4,3.2
Michael Anderson,D,3500,LA,COL,245,4.7,9.6
Mason Appleton,W,3500,WPG,OTT,3,3.7,11.2
Sam Gagner,W,3500,DET,CLS,3,5.2,4.8
Jared McCann,W,3500,PIT,WAS,3,7.7,1.6
Jon Merrill,D,3500,DET,CLS,301,4.5,11.2
Evan Rodrigues,W,3500,PIT,WAS,1,5.0,6.4
Andreas Athanasiou,W,3500,LA,COL,2,8.3,15.2
Cody Eakin,C,3500,BUF,PHI,3,5.2,1.6
Drake Batherson,W,3400,OTT,WPG,1,6.5,21.3
Phil Di Giuseppe,W,3400,NYR,NJ,3,3.1,14.4
Tobias Rieder,W,3400,BUF,PHI,3,4.2,9.6
Pavel Zacha,C,3400,NJ,NYR,2,6.4,6.4
