Player Name,Salary,Team,Opp,Proj FP,Actual FP
Laurent Brossoit,8600,WPG,OTT,17.7,30.4
Brian Elliott,8400,PHI,BUF,18.3,52.0
Philipp Grubauer,8300,COL,LA,22.9,22.4
Vitek Vanecek,8200,WAS,PIT,14.8,0.0
Petr Mrazek,8100,CAR,NSH,16.7,0.0
Alexander Georgiev,7900,NYR,NJ,22.5,-3.2
Casey DeSmith,7700,PIT,WAS,17.9,13.6
Sergei Bobrovsky,7600,FLA,CHI,18.8,20.0
Juuse Saros,7400,NSH,CAR,18.0,0.0
Elvis Merzlikins,7000,CLS,DET,19.9,7.2
Carter Hutton,6900,BUF,PHI,15.7,11.2
MacKenzie Blackwood,6900,NJ,NYR,16.9,37.6
Cal Petersen,6900,LA,COL,13.5,4.8
Matthew Murray,6700,OTT,WPG,19.0,3.2
Kevin Lankinen,6700,CHI,FLA,0.0,-1.6
Jonathan Bernier,6700,DET,CLS,16.2,21.6
