Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,PS,USG,PER,Opp Pace,Opp DEff,Opp DvP,L2 FGA,L5 FGA,S FGA,L2 Min,L5 Min,S Min,L5 FP,S FP,Floor FP,Ceil FP,Proj Min,Proj FP,Proj Val,Actual Min,Actual FP,Actual Val
Luka Doncic,6,,PG,11500,DAL,@IND,1,112,37,27,103,107,0%,21,22,21,36,35,35,59.2,54.1,37.2,70.9,36.0,53.8,4.7,37.9,45.4,3.9
Karl-Anthony Towns,,O,C,10800,MIN,ORL,6,108,27,27,102,109,-2%,17,16,16,36,33,33,50.6,50.6,48.6,52.6,0.0,0.0,0.0,,0.0,0.0
James Harden,6,,SG,10700,BKN,@CLE,1,119,30,24,99,103,1%,22,17,18,40,36,37,48.8,50.7,37.1,64.4,35.5,49.4,4.6,50.5,52.0,4.9
Andre Drummond,8,,C,10500,CLE,BKN,4,108,31,21,105,107,9%,17,19,17,37,36,32,52.7,48.6,32.5,64.7,30.5,47.1,4.5,25.7,24.9,2.4
Kevin Durant,3,,SF,10300,BKN,@CLE,1,119,32,28,99,103,1%,24,21,19,38,36,36,53.6,50.3,42.5,58.0,35.5,46.6,4.5,50.1,77.4,7.5
Damian Lillard,5,,PG,10000,POR,MEM,1,111,31,24,103,104,1%,23,20,19,39,39,36,48.1,44.7,31.8,57.5,0.0,0.0,0.0,,0.0,0.0
Nikola Vucevic,10,,C,9900,ORL,@MIN,1,112,27,28,104,111,18%,19,20,18,36,33,32,50.3,46.2,36.6,55.8,34.0,48.9,4.9,42.9,52.6,5.3
Stephen Curry,8,,PG,9800,GSW,SAS,1,115,32,22,103,106,-2%,23,20,21,36,37,35,42.6,44.5,31.2,57.9,35.0,47.0,4.8,31.5,45.7,4.7
Christian Wood,4,,PF,9800,HOU,PHO,1,107,26,23,98,108,2%,18,18,18,36,33,34,41.4,43.8,34.0,53.7,33.0,42.1,4.3,33.9,46.2,4.7
Joel Embiid,3,,C,9800,PHI,BOS,5,113,29,28,102,107,-4%,16,16,15,32,30,31,48.9,48.4,30.6,66.2,32.5,47.5,4.8,32.9,65.0,6.6
Jayson Tatum,,O,PF,9600,BOS,@PHI,11,108,31,23,105,104,-2%,24,23,21,36,36,35,46.8,44.1,35.1,53.2,0.0,0.0,0.0,,0.0,0.0
Domas Sabonis,6,,PF,9600,IND,DAL,2,109,25,21,101,104,1%,16,18,16,36,38,38,48.8,45.1,36.9,53.3,38.0,49.9,5.2,40.8,42.0,4.4
Kyrie Irving,4,,PG,9200,BKN,@CLE,14,119,31,27,99,103,-13%,20,21,20,34,34,33,45.8,46.1,36.6,55.6,32.0,39.2,4.3,48.4,51.9,5.6
Kawhi Leonard,15,,SF,9100,LAC,SAC,2,120,29,26,103,119,2%,14,17,18,29,34,34,43.1,44.7,33.6,55.8,34.5,47.2,5.2,35,58.1,6.4
Trae Young,11,,PG,9000,ATL,DET,1,113,34,20,101,111,-3%,16,16,17,36,32,33,38.9,40.0,27.8,52.1,35.5,44.3,4.9,44,64.8,7.2
Malcolm Brogdon,5,,PG,8800,IND,DAL,2,109,26,22,101,104,2%,20,19,18,34,36,38,39.9,41.7,32.1,51.4,36.5,41.2,4.7,37.6,38.1,4.3
Bam Adebayo,11,,PF,8800,MIA,@TOR,1,109,24,24,103,107,6%,13,10,11,35,31,31,42.9,41.0,31.4,50.5,34.0,46.7,5.3,33.6,38.1,4.3
C.J. McCollum,,,SG,8700,POR,MEM,3,111,28,26,103,104,-8%,21,19,21,38,34,35,42.7,44.6,35.4,53.8,0.0,0.0,0.0,,0.0,0.0
Jimmy Butler,,O,SF,8600,MIA,@TOR,5,109,26,22,103,107,4%,19,12,13,35,28,29,34.9,37.1,18.5,55.7,0.0,0.0,0.0,,0.0,0.0
Paul George,14,,SG,8500,LAC,SAC,2,120,28,24,103,119,2%,13,15,16,32,36,35,40.3,41.2,30.9,51.4,36.0,43.9,5.2,32.4,48.4,5.7
D'Angelo Russell,8,,SG,8400,MIN,ORL,1,108,31,18,102,109,7%,22,20,19,34,33,33,41.2,38.6,28.4,48.8,34.0,40.2,4.8,31.7,34.4,4.1
Jerami Grant,8,,SF,8400,DET,@ATL,1,108,26,21,104,106,7%,19,18,19,34,37,36,45.7,41.2,30.4,52.0,35.5,39.1,4.7,41.2,45.7,5.4
