Player Name,Salary,Team,Opp,Proj FP,Actual FP
Philipp Grubauer,8600,COL,MIN,20.5,23.2
Andrei Vasilevskii,8500,TB,NSH,21.8,18.4
Connor Hellebuyck,8500,WPG,VAN,18.6,16.0
Tuukka Rask,8400,BOS,WAS,18.6,-0.8
Petr Mrazek,8300,CAR,DAL,17.1,0.0
Jake Allen,8200,MON,CGY,18.5,20.8
Anton Khudobin,8200,DAL,CAR,18.0,-6.4
Carter Hart,8100,PHI,NYI,17.6,24.8
Semyon Varlamov,7900,NYI,PHI,18.2,-0.8
Frederik Andersen,7900,TOR,EDM,17.7,5.6
Jacob Markstrom,7900,CGY,MON,15.9,49.6
Kaapo Kahkonen,7700,MIN,COL,0,2.4
Thatcher Demko,7700,VAN,WPG,16.2,26.4
Vitek Vanecek,7600,WAS,BOS,16.6,32.0
John Gibson,7400,ANH,STL,17.2,-9.6
Casey DeSmith,7400,PIT,NYR,18.0,20.0
Jordan Binnington,7300,STL,ANH,19.1,26.4
Alexander Georgiev,7200,NYR,PIT,19.6,6.4
Pekka Rinne,7200,NSH,TB,14.6,7.2
Mikko Koskinen,7100,EDM,TOR,15.9,20.8
Sergei Bobrovsky,7000,FLA,DET,20.6,24.0
Thomas Greiss,6600,DET,FLA,16.0,6.4
