Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Philipp Grubauer,,,G,8600,COL,@MIN,1,57%,2.53,60.0,65.6,65.6,0.928,0.928,23.0,21.5,21.5,8.3,34.7,20.5,2.4,23.2,2.7
Andrei Vasilevskii,,,G,8500,TB,NSH,1,64%,2.38,60.5,60.5,60.5,0.932,0.932,21.1,21.1,21.1,10.0,32.2,21.8,2.6,18.4,2.2
Connor Hellebuyck,,,G,8500,WPG,VAN,3,53%,3.14,59.9,59.9,59.9,0.906,0.906,19.4,19.4,19.4,12.6,26.1,18.6,2.2,16.0,1.9
Tuukka Rask,,Q,G,8400,BOS,@WAS,3,56%,2.58,63.3,63.3,63.3,0.905,0.905,17.2,17.2,17.2,9.5,24.9,18.6,2.2,-0.8,-0.1
Petr Mrazek,,,G,8300,CAR,DAL,1,53%,2.68,59.7,59.7,59.7,0.955,0.955,26.1,26.1,26.1,3.7,48.6,17.1,2.1,0.0,0.0
Jake Allen,,,G,8200,MON,CGY,6,55%,2.87,29.9,29.9,29.9,0.907,0.907,9.8,9.8,9.8,-3.4,23.0,18.5,2.3,20.8,2.5
Anton Khudobin,,,G,8200,DAL,@CAR,3,47%,2.82,60.5,60.5,60.5,0.958,0.958,29.1,29.1,29.1,12.9,45.3,18.0,2.2,-6.4,-0.8
Carter Hart,,,G,8100,PHI,NYI,1,51%,2.73,54.6,55.5,55.5,0.896,0.896,13.8,15.6,15.6,-1.5,32.7,17.6,2.2,24.8,3.1
Semyon Varlamov,,,G,7900,NYI,@PHI,1,49%,2.77,59.3,59.3,59.3,0.930,0.930,21.9,21.9,21.9,1.5,42.3,18.2,2.3,-0.8,-0.1
Frederik Andersen,,,G,7900,TOR,@EDM,1,53%,3.17,59.4,63.4,63.4,0.896,0.896,20.8,16.8,16.8,4.8,28.8,17.7,2.2,5.6,0.7
Jacob Markstrom,,,G,7900,CGY,@MON,3,45%,3.13,59.4,59.4,59.4,0.911,0.911,17.3,17.3,17.3,-1.1,35.7,15.9,2.0,49.6,6.3
Kaapo Kahkonen,,,G,7700,MIN,COL,1,42%,2.97,55.1,55.1,55.1,0.917,0.917,17.8,17.8,17.8,8.7,26.8,NaN,NaN,2.4,0.3
Thatcher Demko,,,G,7700,VAN,@WPG,2,47%,3.36,47.1,49.3,49.3,0.909,0.909,16.6,16.0,16.0,-2.4,34.4,16.2,2.1,26.4,3.4
Vitek Vanecek,,,G,7600,WAS,BOS,1,44%,2.92,62.2,53.0,53.0,0.915,0.915,18.9,18.1,18.1,5.0,31.2,16.6,2.2,32.0,4.2
John Gibson,,,G,7400,ANH,STL,1,41%,2.99,59.8,59.5,59.5,0.938,0.938,29.9,23.7,23.7,5.3,42.0,17.2,2.3,-9.6,-1.3
Casey DeSmith,,,G,7400,PIT,@NYR,10,51%,2.97,58.0,58.0,58.0,0.900,0.900,14.4,14.4,14.4,5.2,23.6,18.0,2.4,20.0,2.7
Jordan Binnington,,,G,7300,STL,@ANH,3,59%,2.51,58.0,69.6,69.6,0.908,0.908,17.1,19.1,19.1,6.3,31.8,19.1,2.6,26.4,3.6
Alexander Georgiev,,,G,7200,NYR,PIT,3,49%,3.03,39.4,39.4,39.4,0.896,0.896,10.0,10.0,10.0,-9.2,29.2,19.6,2.7,6.4,0.9
Pekka Rinne,,,G,7200,NSH,@TB,3,36%,3.12,47.1,47.1,47.1,0.863,0.863,6.4,6.4,6.4,-4.6,17.4,14.6,2.0,7.2,1.0
Mikko Koskinen,,,G,7100,EDM,TOR,1,47%,3.33,59.0,61.3,61.3,0.892,0.892,12.8,13.3,13.3,0.0,26.7,15.9,2.2,20.8,2.9
Sergei Bobrovsky,,,G,7000,FLA,@DET,3,61%,2.67,62.8,62.8,62.8,0.875,0.875,17.6,17.6,17.6,14.2,21.0,20.6,2.9,24.0,3.4
Thomas Greiss,,,G,6600,DET,FLA,1,39%,3.33,51.2,51.2,51.2,0.892,0.892,7.4,7.4,7.4,-5.1,19.8,16.0,2.4,6.4,1.0
