Player Name,Salary,Team,Opp,Proj FP,Actual FP
Marc-Andre Fleury,8900,VGK,TOR,17.5,28.8
Andrei Vasilevskii,8900,TB,STL,18.8,16.8
Ben Bishop,8900,DAL,VAN,19.9,33.6
Matthew Murray,8800,PIT,NYI,20.1,9.6
Carey Price,8800,MON,CLS,18.0,-3.2
Tuukka Rask,8700,BOS,NJ,18.5,28.0
David Rittich,8600,CGY,COL,16.7,6.4
Frederik Andersen,8500,TOR,VGK,15.4,14.4
Connor Hellebuyck,8300,WPG,NSH,14.0,38.4
Jordan Binnington,8300,STL,TB,15.0,21.6
Mikko Koskinen,8300,EDM,SJ,14.7,30.4
Petr Mrazek,8200,CAR,CHI,15.3,28.0
Semyon Varlamov,8100,NYI,PIT,18.4,17.6
Martin Jones,8100,SJ,EDM,16.1,-0.8
Philipp Grubauer,8000,COL,CGY,17.3,28.8
Sergei Bobrovsky,7800,FLA,PHI,18.7,32.0
Robin Lehner,7600,CHI,CAR,17.1,11.2
Carter Hart,7600,PHI,FLA,14.6,-4.8
Joonas Korpisalo,7500,CLS,MON,15.4,28.0
Linus Ullmark,7500,BUF,MIN,18.3,5.6
Jacob Markstrom,7400,VAN,DAL,16.8,-4.0
Anders Nilsson,7400,OTT,DET,18.2,28.0
Juuse Saros,7400,NSH,WPG,19.3,10.4
Alex Stalock,7200,MIN,BUF,16.4,32.0
Jonathan Bernier,7200,DET,OTT,18.6,7.2
MacKenzie Blackwood,7200,NJ,BOS,16.7,-1.6
