Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Andrei Vasilevskii,,,G,8600,TB,@FLA,1,56%,2.59,59.3,59.9,59.9,0.928,0.928,22.2,21.4,21.4,11.1,31.7,20.0,2.3,34.4,4.0
Tuukka Rask,,,G,8500,BOS,@NYI,2,55%,2.39,61.0,61.6,61.6,0.906,0.906,20.0,17.8,17.8,7.4,28.2,19.3,2.3,14.4,1.7
Frederik Andersen,,,G,8400,TOR,MON,2,55%,3.09,59.9,62.0,62.0,0.908,0.908,22.2,19.1,19.1,7.2,31.0,18.3,2.2,10.4,1.2
Carey Price,,,G,8300,MON,@TOR,2,45%,3.41,59.6,65.5,65.5,0.892,0.892,14.7,12.3,12.3,-1.7,26.3,14.9,1.8,24.8,3.0
Alex Nedeljkovic,,,G,8200,CAR,@DAL,4,52%,2.69,58.3,58.3,58.3,0.864,0.864,3.2,3.2,3.2,3.2,3.2,0.0,0.0,20.8,2.5
Antti Raanta,,,G,8100,ARI,STL,8,48%,2.79,40.0,40.0,40.0,0.922,0.922,18.9,18.9,18.9,2.1,35.7,18.2,2.2,4.0,0.5
Jacob Markstrom,,,G,8000,CGY,@VAN,1,56%,2.81,60.8,60.1,60.1,0.921,0.921,20.6,21.7,21.7,5.5,38.0,18.5,2.3,26.4,3.3
Semyon Varlamov,,,G,8000,NYI,BOS,1,45%,2.61,61.1,60.6,60.6,0.925,0.925,13.8,21.0,21.0,2.5,39.5,18.3,2.3,26.4,3.3
Jake Oettinger,,,G,7900,DAL,CAR,3,48%,2.81,54.8,54.8,54.8,0.919,0.919,14.9,14.9,14.9,10.5,19.2,17.7,2.2,2.4,0.3
Sergei Bobrovsky,,,G,7700,FLA,TB,1,44%,2.91,61.9,62.0,62.0,0.898,0.898,19.0,19.2,19.2,9.7,28.7,17.6,2.3,-6.4,-0.8
Ville Husso,,,G,7600,STL,@ARI,6,52%,2.71,35.1,27.9,27.9,0.879,0.879,7.2,4.6,4.6,-6.1,15.3,0.0,0.0,21.6,2.8
Kevin Lankinen,,,G,7200,CHI,CLS,1,50%,2.75,61.3,61.2,61.2,0.924,0.924,22.6,20.8,20.8,8.4,33.2,20.4,2.8,27.2,3.8
Pekka Rinne,,,G,7100,NSH,DET,1,61%,2.45,39.8,39.9,39.9,0.911,0.911,16.2,10.7,10.7,0.6,20.8,20.2,2.8,4.8,0.7
Joonas Korpisalo,,,G,7100,CLS,@CHI,1,50%,2.75,54.2,57.6,57.6,0.893,0.893,7.4,14.5,14.5,0.8,28.2,17.7,2.5,10.4,1.5
Thatcher Demko,,,G,6900,VAN,CGY,1,43%,3.19,58.8,52.9,52.9,0.896,0.896,15.4,13.1,13.1,-2.8,29.1,16.4,2.4,22.4,3.2
Thomas Greiss,,,G,6700,DET,@NSH,1,39%,3.05,49.9,52.1,52.1,0.898,0.898,10.9,8.9,8.9,-4.0,21.8,17.1,2.6,0.0,0.0
