Player Name,Salary,Team,Opp,Proj FP,Actual FP
Andrei Vasilevskii,8600,TB,FLA,20.0,34.4
Tuukka Rask,8500,BOS,NYI,19.3,14.4
Frederik Andersen,8400,TOR,MON,18.3,10.4
Carey Price,8300,MON,TOR,14.9,24.8
Alex Nedeljkovic,8200,CAR,DAL,0.0,20.8
Antti Raanta,8100,ARI,STL,18.2,4.0
Jacob Markstrom,8000,CGY,VAN,18.5,26.4
Semyon Varlamov,8000,NYI,BOS,18.3,26.4
Jake Oettinger,7900,DAL,CAR,17.7,2.4
Sergei Bobrovsky,7700,FLA,TB,17.6,-6.4
Ville Husso,7600,STL,ARI,0.0,21.6
Kevin Lankinen,7200,CHI,CLS,20.4,27.2
Pekka Rinne,7100,NSH,DET,20.2,4.8
Joonas Korpisalo,7100,CLS,CHI,17.7,10.4
Thatcher Demko,6900,VAN,CGY,16.4,22.4
Thomas Greiss,6700,DET,NSH,17.1,0.0
