Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Connor McDavid,C,8800,EDM,MON,1,16.2,1.6
Auston Matthews,C,8500,TOR,WPG,1,16.0,17.6
Leon Draisaitl,C,8400,EDM,MON,2,15.3,6.4
John Tavares,C,7900,TOR,WPG,2,11.9,18.9
Max Pacioretty,W,7800,VGK,ARI,1,11.9,21.6
Mark Stone,W,7700,VGK,ARI,1,11.6,9.6
Mitchell Marner,W,7700,TOR,WPG,1,12.6,28.8
Jack Eichel,C,7600,BUF,PHI,1,14.2,34.6
Johnny Gaudreau,W,7600,CGY,VAN,2,11.1,22.1
Mark Scheifele,C,7500,WPG,TOR,1,11.9,8.0
Ryan Nugent-Hopkins,W,7400,EDM,MON,1,10.9,4.8
Kyle Connor,W,7400,WPG,TOR,2,12.6,13.6
Sebastian Aho,C,7300,CAR,NSH,1,8.6,25.3
Taylor Hall,W,7300,BUF,PHI,1,12.2,31.4
Evander Kane,W,7300,SJ,STL,2,10.4,13.3
J.T. Miller,W,7200,VAN,CGY,1,11.1,8.0
Travis Konecny,W,7200,PHI,BUF,2,10.3,1.6
Brendan Gallagher,W,7200,MON,EDM,1,10.5,8.0
Andrei Svechnikov,W,7200,CAR,NSH,3,11.1,25.3
Elias Pettersson,C,7100,VAN,CGY,1,12.5,4.8
Claude Giroux,W,7100,PHI,BUF,1,10.2,0.0
Filip Forsberg,W,7100,NSH,CAR,1,10.7,18.4
Roman Josi,D,7000,NSH,CAR,29,12.3,4.8
Sean Monahan,C,6900,CGY,VAN,2,10.0,20.8
Blake Wheeler,W,6800,WPG,TOR,1,10.8,4.8
Brock Boeser,W,6800,VAN,CGY,1,10.6,0.0
William Nylander,W,6700,TOR,WPG,2,10.4,11.7
Phil Kessel,W,6700,ARI,VGK,2,8.5,4.8
Ryan O'Reilly,C,6600,STL,SJ,1,9.9,11.2
Logan Couture,C,6600,SJ,STL,1,10.1,38.9
Jakub Voracek,W,6500,PHI,BUF,3,8.6,3.2
Brent Burns,D,6500,SJ,STL,38,11.0,38.6
Kevin Fiala,W,6500,MIN,ANH,2,10.3,8.0
Bo Horvat,C,6400,VAN,CGY,2,10.5,1.6
Jonathan Audy-Marchessault,W,6400,VGK,ARI,2,10.2,11.2
Alex Pietrangelo,D,6400,VGK,ARI,42,10.4,11.2
Victor Olofsson,W,6300,BUF,PHI,2,9.3,17.3
Teuvo Teravainen,W,6200,CAR,NSH,1,10.5,3.2
Tomas Tatar,W,6200,MON,EDM,1,9.5,1.6
Timo Meier,W,6100,SJ,STL,1,10.1,1.6
David Perron,W,6100,STL,SJ,1,9.1,11.2
Matthew Tkachuk,W,6100,CGY,VAN,1,11.1,4.8
Shea Theodore,D,6100,VGK,ARI,49,9.2,16.0
Zach Parise,W,6000,MIN,ANH,1,8.7,8.0
Clayton Keller,W,5900,ARI,VGK,3,8.9,8.0
Nikolaj Ehlers,W,5800,WPG,TOR,1,10.5,4.8
Tomas Hertl,C,5700,SJ,STL,2,10.2,18.6
