Player Name,Salary,Team,Opp,Proj FP,Actual FP
Robin Lehner,8600,VGK,ARI,20.0,28.0
Carter Hart,8300,PHI,BUF,18.8,-1.6
Frederik Andersen,8200,TOR,WPG,19.8,29.6
Connor Hellebuyck,8200,WPG,TOR,15.0,20.0
James Reimer,8100,CAR,NSH,16.6,28.8
Jacob Markstrom,8000,CGY,VAN,18.6,24.0
Mikko Koskinen,7900,EDM,MON,16.8,12.8
Jake Allen,7700,MON,EDM,16.1,28.0
Cameron Talbot,7600,MIN,ANH,18.8,16.8
Jordan Binnington,7500,STL,SJ,19.1,13.6
Darcy Kuemper,7400,ARI,VGK,16.0,7.2
Pekka Rinne,7400,NSH,CAR,15.8,4.0
Braden Holtby,7300,VAN,CGY,16.3,0.0
John Gibson,7200,ANH,MIN,17.9,47.2
Devan Dubnyk,7100,SJ,STL,13.1,2.4
Linus Ullmark,6900,BUF,PHI,15.6,0.0
