"C","C","W","W","D","D","UTIL","UTIL","G","","Instructions"
"","","","","","","","","","","1) Create a lineup by inserting any player from this list into their appropriate position columns"
"","","","","","","","","","","2) You can paste either the Player ID + Name OR ID from their respective columns"
"","","","","","","","","","","3) Any information to the right of the last position column will be ignored in the upload"
"","","","","","","","","","","4) Maximum of 250 lineups per upload"
"","","","","","","","","",""
"","","","","","","","","","","Player ID + Player Name","Id","Position","First Name","Nickname","Last Name","FPPG","Played","Salary","Game","Team","Opponent","Injury Indicator","Injury Details","Tier","",""
"","","","","","","","","","","54733-54809:Linus Ullmark","54733-54809","G","Linus","Linus Ullmark","Ullmark","16.7999997820173","7","7100","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-80479:Jonas Johansson","54733-80479","G","Jonas","Jonas Johansson","Johansson","2.4000000953674316","1","7100","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-9015:John Carlson","54733-9015","D","John","John Carlson","Carlson","15.453845684344952","13","7100","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-11133:Carter Hutton","54733-11133","G","Carter","Carter Hutton","Hutton","10.800000190734863","4","7100","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-70571:Jake Guentzel","54733-70571","W","Jake","Jake Guentzel","Guentzel","13.469231238731972","13","7100","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-66685:Mathew Barzal","54733-66685","C","Mathew","Mathew Barzal","Barzal","14.314285278320312","14","7000","NYI@BUF","NYI","BUF","","","","",""
"","","","","","","","","","","54733-66744:MacKenzie Blackwood","54733-66744","G","MacKenzie","MacKenzie Blackwood","Blackwood","29.066665649414062","3","7000","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-12690:Scott Wedgewood","54733-12690","G","Scott","Scott Wedgewood","Wedgewood","13.11999969482422","5","7000","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-58904:Aaron Dell","54733-58904","G","Aaron","Aaron Dell","Dell","14.884848854758523","33","7000","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-42982:Eric Comrie","54733-42982","G","Eric","Eric Comrie","Comrie","24","1","7000","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-8986:Jamie Benn","54733-8986","W","Jamie","Jamie Benn","Benn","13.5625","8","6900","NSH@DAL","DAL","NSH","","","","",""
"","","","","","","","","","","54733-12410:Taylor Hall","54733-12410","W","Taylor","Taylor Hall","Hall","12.081817626953125","11","6800","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-52475:Evgeny Kuznetsov","54733-52475","C","Evgeny","Evgeny Kuznetsov","Kuznetsov","13","5","6800","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-8472:Pekka Rinne","54733-8472","G","Pekka","Pekka Rinne","Rinne","12.444444444444445","9","6800","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-66411:Juuse Saros","54733-66411","G","Juuse","Juuse Saros","Saros","9.777777777777779","9","6800","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-82035:Calvin Petersen","54733-82035","G","Calvin","Calvin Petersen","Petersen","17.399999618530273","8","6700","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-8412:Jonathan Quick","54733-8412","G","Jonathan","Jon Quick","Quick","8.533333460489908","6","6700","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-39267:Troy Grosenick","54733-39267","G","Troy","Troy Grosenick","Grosenick","0","0","6700","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-83057:Victor Olofsson","54733-83057","W","Victor","Victor Olofsson","Olofsson","15.46363691850142","11","6600","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-12262:Roman Josi","54733-12262","D","Roman","Roman Josi","Josi","13.07999979654948","15","6600","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-66572:Connor Ingram","54733-66572","G","Connor","Connor Ingram","Ingram","0","0","6500","NSH@DAL","NSH","DAL","O","Not injury related","","",""
"","","","","","","","","","","54733-38930:Andrew Hammond","54733-38930","G","Andrew","Andrew Hammond","Hammond","0","0","6500","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-68637:Kasimir Kaskisuo","54733-68637","G","Kasimir","Kasimir Kaskisuo","Kaskisuo","1.600000023841858","1","6500","NSH@DAL","NSH","DAL","","","","",""
"","","","","","","","","","","54733-9252:Alex Stalock","54733-9252","G","Alex","Alex Stalock","Stalock","17.68421052631579","38","6500","MIN@LA","MIN","LA","O","Upper body","","",""
"","","","","","","","","","","54733-43045:Michael Houser","54733-43045","G","Michael","Michael Houser","Houser","0","0","6500","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-82036:Matt Villalta","54733-82036","G","Matt","Matt Villalta","Villalta","0","0","6500","MIN@LA","LA","MIN","","","","",""
"","","","","","","","","","","54733-14457:John Klingberg","54733-14457","D","John","John Klingberg","Klingberg","13.441666920979818","12","6500","NSH@DAL","DAL","NSH","","","","",""
"","","","","","","","","","","54733-9366:Dustin Tokarski","54733-9366","G","Dustin","Dustin Tokarski","Tokarski","0","0","6500","NYI@BUF","BUF","NYI","","","","",""
"","","","","","","","","","","54733-103622:Gilles Senn","54733-103622","G","Gilles","Gilles Senn","Senn","6.800000190734863","2","6500","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-82125:Dereck Baribeau","54733-82125","G","Dereck","Dereck Baribeau","Baribeau","0","0","6500","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-82147:Alex D'Orio","54733-82147","G","Alex","Alex D'Orio","D'Orio","0","0","6500","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-117021:Hunter Jones","54733-117021","G","Hunter","Hunter Jones","Jones","0","0","6500","MIN@LA","MIN","LA","","","","",""
"","","","","","","","","","","54733-74066:Evan Cormier","54733-74066","G","Evan","Evan Cormier","Cormier","0","0","6500","NJ@NYR","NJ","NYR","","","","",""
"","","","","","","","","","","54733-8532:Henrik Lundqvist","54733-8532","G","Henrik","Henrik Lundqvist","Lundqvist","14.373333740234376","30","6500","WSH@PIT","WSH","PIT","IR","Chest","","",""
"","","","","","","","","","","54733-102820:Adam Huska","54733-102820","G","Adam","Adam Huska","Huska","0","0","6500","NJ@NYR","NYR","NJ","","","","",""
"","","","","","","","","","","54733-107996:Emil Larmi","54733-107996","G","Emil","Emil Larmi","Larmi","0","0","6500","WSH@PIT","PIT","WSH","","","","",""
"","","","","","","","","","","54733-135651:Tyler Wall","54733-135651","G","Tyler","Tyler Wall","Wall","0","0","6500","NJ@NYR","NYR","NJ","","","","",""
"","","","","","","","","","","54733-8714:Nicklas Backstrom","54733-8714","C","Nicklas","Nicklas Backstrom","Backstrom","18.26153799203726","13","6500","WSH@PIT","WSH","PIT","","","","",""
"","","","","","","","","","","54733-96784:Colton Point","54733-96784","G","Colton","Colton Point","Point","0","0","6500","NSH@DAL","DAL","NSH","","","","",""
"","","","","","","","","","","54733-8781:Cory Schneider","54733-8781","G","Cory","Cory Schneider","Schneider","10.461538461538462","13","6500","NYI@BUF","NYI","BUF","","","","",""
