Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Vegas Odds Win,Vegas Odds GA,L5 TOI,L40 TOI,S TOI,L40 SVPCT,S SVPCT,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Marc-Andre Fleury,,,G,8900,VGK,COL,1,52%,2.69,59.7,53.1,53.1,0.944,0.944,25.1,22.7,22.7,10.1,35.2,17.6,2.0,5.6,0.6
Philipp Grubauer,,,G,8400,COL,@VGK,1,48%,2.81,59.6,63.7,63.7,0.937,0.937,25.1,21.8,21.8,10.4,33.1,18.3,2.2,25.6,3.0
Ilya Sorokin,,,G,8200,NYI,@BUF,15,55%,2.61,45.3,45.3,45.3,0.892,0.892,5.8,5.8,5.8,-2.2,13.8,20.3,2.5,36.0,4.4
Kaapo Kahkonen,,,G,7800,MIN,@LA,16,57%,2.54,55.1,55.9,55.9,0.903,0.903,13.9,15.2,15.2,4.9,25.5,NaN,NaN,8.0,1.0
Tristan Jarry,,,G,7500,PIT,WAS,1,53%,3.15,60.7,48.9,48.9,0.854,0.854,11.7,6.3,6.3,-8.5,21.1,16.7,2.2,19.2,2.6
Vitek Vanecek,,,G,7300,WAS,@PIT,1,47%,3.35,54.8,53.7,53.7,0.901,0.901,9.9,14.7,14.7,1.0,28.3,15.3,2.1,28.8,3.9
Igor Shesterkin,,,G,7300,NYR,NJ,3,56%,2.59,59.9,55.7,55.7,0.922,0.922,22.6,15.0,15.0,4.9,25.1,21.6,3.0,9.6,1.3
Carter Hutton,,,G,7100,BUF,NYI,15,45%,2.89,54.1,54.1,54.1,0.895,0.895,10.8,10.8,10.8,-0.3,21.9,17.2,2.4,8.8,1.2
MacKenzie Blackwood,,D,G,7000,NJ,@NYR,27,44%,2.91,63.3,63.3,63.3,0.948,0.948,29.1,29.1,29.1,20.3,37.9,17.4,2.5,33.6,4.8
Cal Petersen,,,G,6700,LA,MIN,4,42%,2.96,56.3,57.2,57.2,0.926,0.926,18.4,17.4,17.4,7.1,27.7,15.8,2.4,0.0,0.0
