Player Name,Pos,Salary,Team,Opp,Line,Proj FP,Actual FP
Alexander Ovechkin,W,8400,WAS,PIT,1,14.8,0.0
Nathan MacKinnon,C,8300,COL,VGK,1,15.7,0.0
Max Pacioretty,W,7800,VGK,COL,1,11.9,0.0
Sidney Crosby,C,7800,PIT,WAS,1,12.6,0.0
Mikko Rantanen,W,7700,COL,VGK,1,12.0,0.0
Jack Eichel,C,7600,BUF,NYI,1,14.2,0.0
Evgeni Malkin,C,7500,PIT,WAS,2,13.5,0.0
Mark Stone,W,7500,VGK,COL,1,11.6,0.0
Anze Kopitar,C,7200,LA,MIN,1,10.1,0.0
Anders Lee,W,7200,NYI,BUF,1,9.5,0.0
John Carlson,D,7100,WAS,PIT,16,12.4,0.0
Jake Guentzel,W,7100,PIT,WAS,1,13.4,0.0
Mathew Barzal,C,7000,NYI,BUF,1,11.0,0.0
Evgeny Kuznetsov,C,6800,WAS,PIT,1,9.3,0.0
Taylor Hall,W,6800,BUF,NYI,2,12.2,0.0
Victor Olofsson,W,6600,BUF,NYI,1,9.3,0.0
Nicklas Backstrom,C,6500,WAS,PIT,2,10.5,0.0
Alex Pietrangelo,D,6400,VGK,COL,23,10.4,0.0
Nazem Kadri,C,6300,COL,VGK,2,8.4,0.0
Bryan Rust,W,6300,PIT,WAS,1,10.7,0.0
Jordan Eberle,W,6100,NYI,BUF,2,8.9,0.0
Jonathan Audy-Marchessault,W,6100,VGK,COL,2,10.2,0.0
Zach Parise,W,6000,MIN,LA,1,8.7,0.0
Mika Zibanejad,C,6000,NYR,NJ,1,14.2,0.0
Chris Kreider,W,5900,NYR,NJ,1,9.3,0.0
Kris Letang,D,5900,PIT,WAS,34,10.8,0.0
Drew Doughty,D,5900,LA,MIN,35,8.3,0.0
Dustin Brown,W,5900,LA,MIN,1,7.6,0.0
T.J. Oshie,W,5800,WAS,PIT,1,9.0,0.0
Kevin Fiala,W,5700,MIN,LA,1,10.3,0.0
Kyle Palmieri,W,5600,NJ,NYR,2,9.1,0.0
Andre Burakovsky,W,5300,COL,VGK,2,8.4,0.0
Eric Staal,C,5300,BUF,NYI,2,7.9,0.0
Jason Zucker,W,5300,PIT,WAS,2,8.7,0.0
Sam Reinhart,W,5200,BUF,NYI,2,9.3,0.0
Alex Iafallo,W,5200,LA,MIN,1,7.8,0.0
Pavel Buchnevich,W,5200,NYR,NJ,3,8.7,0.0
William Karlsson,C,5100,VGK,COL,2,9.0,0.0
Joel Eriksson Ek,C,5100,MIN,LA,1,7.0,0.0
Brandon Saad,W,4900,COL,VGK,1,7.4,0.0
Tom Wilson,W,4800,WAS,PIT,2,8.8,0.0
Adrian Kempe,W,4800,LA,MIN,2,7.0,0.0
Kirill Kaprizov,W,4700,MIN,LA,2,11.0,0.0
Ryan Strome,C,4700,NYR,NJ,2,8.6,0.0
Jack Hughes,C,4700,NJ,NYR,1,8.1,0.0
Devon Toews,D,4700,COL,VGK,56,7.4,0.0
Ryan Pulock,D,4700,NYI,BUF,57,9.6,0.0
Rasmus Dahlin,D,4600,BUF,NYI,58,8.6,0.0
Reilly Smith,W,4600,VGK,COL,2,9.1,0.0
Brock Nelson,C,4600,NYI,BUF,2,10.0,0.0
Chandler Stephenson,C,4500,VGK,COL,1,5.3,0.0
Adam Fox,D,4500,NYR,NJ,64,8.5,0.0
Jakub Vrana,W,4400,WAS,PIT,2,9.8,0.0
Kasperi Kapanen,W,4400,PIT,WAS,2,7.9,0.0
Jean-Gabriel Pageau,C,4400,NYI,BUF,3,7.8,0.0
Ryan Suter,D,4400,MIN,LA,69,8.0,0.0
Miles Wood,W,4400,NJ,NYR,3,6.4,0.0
Lars Eller,C,4400,WAS,PIT,3,7.2,0.0
Marcus Johansson,W,4400,MIN,LA,2,6.9,0.0
Alec Martinez,D,4300,VGK,COL,73,6.9,0.0
P.K. Subban,D,4300,NJ,NYR,74,7.3,0.0
Jeff Carter,W,4300,LA,MIN,2,7.2,0.0
Damon Severson,D,4300,NJ,NYR,76,7.2,0.0
Alex Tuch,W,4300,VGK,COL,3,7.9,0.0
Josh Bailey,W,4300,NYI,BUF,1,8.0,0.0
Justin Schultz,D,4200,WAS,PIT,79,6.8,0.0
J.T. Compher,C,4200,COL,VGK,3,6.9,0.0
Jeff Skinner,W,4100,BUF,NYI,1,8.5,0.0
Jordan Greenway,W,4100,MIN,LA,2,0.0,0.0
Mathew Dumba,D,4000,MIN,LA,85,8.2,0.0
Nick Bjugstad,C,4000,MIN,LA,3,5.2,0.0
Jesper Bratt,W,3900,NJ,NYR,1,7.9,0.0
John Marino,D,3900,PIT,WAS,92,0.0,0.0
Kaapo Kakko,W,3800,NYR,NJ,2,7.4,0.0
Jacob Trouba,D,3800,NYR,NJ,96,8.7,0.0
Brandon Tanev,W,3800,PIT,WAS,3,5.8,0.0
Ty Smith,D,3800,NJ,NYR,99,5.7,0.0
Joonas Donskoi,W,3700,COL,VGK,2,6.5,0.0
Nick Leddy,D,3700,NYI,BUF,102,5.5,0.0
Alexis Lafreniere,W,3700,NYR,NJ,2,8.5,0.0
Conor Sheary,W,3700,WAS,PIT,3,5.4,0.0
Kyle Okposo,W,3700,BUF,NYI,3,4.9,0.0
Theodor Blueger,C,3700,PIT,WAS,3,5.4,0.0
Kale Clague,D,3600,LA,MIN,112,5.1,0.0
Andreas Johnson,W,3600,NJ,NYR,1,7.8,0.0
Michael Matheson,D,3600,PIT,WAS,121,6.8,0.0
Carl Grundstrom,W,3500,LA,MIN,3,4.6,0.0
Cody Glass,C,3500,VGK,COL,3,6.0,0.0
Cody Eakin,C,3500,BUF,NYI,3,5.2,0.0
Calen Addison,D,3500,MIN,LA,184,0.0,0.0
Valeri Nichushkin,W,3500,COL,VGK,3,6.4,0.0
Colin Miller,D,3500,BUF,NYI,233,5.5,0.0
Tobias Rieder,W,3400,BUF,NYI,3,4.2,0.0
Richard Panik,W,3300,WAS,PIT,3,5.2,0.0
Phil Di Giuseppe,W,3300,NYR,NJ,3,3.1,0.0
Yegor Sharangovich,W,3300,NJ,NYR,2,0.0,0.0
Michael Dal Colle,W,3300,NYI,BUF,3,4.0,0.0
Jaret Anderson-Dolan,C,3200,LA,MIN,3,0.0,0.0
Gabriel Vilardi,C,3200,LA,MIN,2,0.0,0.0
Brett Howden,C,3200,NYR,NJ,3,0.0,0.0
Ryan Hartman,W,3200,MIN,LA,3,5.6,0.0
Leo Komarov,W,3200,NYI,BUF,3,4.0,0.0
Colin Blackwell,W,3200,NYR,NJ,1,4.6,0.0
Keegan Kolesar,W,3100,VGK,COL,3,0.0,0.0
Mikhail Maltsev,W,3000,NJ,NYR,2,0.0,0.0
Michael McLeod,C,3000,NJ,NYR,3,0.0,0.0
Trevor Moore,W,3000,LA,MIN,3,4.7,0.0
Nathan Bastian,W,3000,NJ,NYR,3,4.2,0.0
Marcus Foligno,W,3000,MIN,LA,3,5.3,0.0
Logan O'Connor,W,3000,COL,VGK,3,4.4,0.0
