Player Name,Salary,Team,Opp,Proj FP,Actual FP
Robin Lehner,8800,VGK,ANH,20.8,0.0
Andrei Vasilevskii,8700,TB,FLA,21.1,3.2
Jake Allen,8600,MON,EDM,18.6,10.4
James Reimer,8200,CAR,DAL,17.1,27.2
Anton Khudobin,8000,DAL,CAR,18.1,5.6
Semyon Varlamov,8000,NYI,PIT,18.1,13.6
Connor Hellebuyck,7900,WPG,OTT,22.5,40.8
Jacob Markstrom,7600,CGY,VAN,18.5,34.4
Sergei Bobrovsky,7500,FLA,TB,16.6,19.2
Mike Smith,7400,EDM,MON,14.1,50.4
Kevin Lankinen,7200,CHI,CLS,20.4,5.6
Casey DeSmith,7200,PIT,NYI,19.0,20.8
Pekka Rinne,7100,NSH,DET,20.2,23.2
Joonas Korpisalo,7100,CLS,CHI,17.2,8.8
Thatcher Demko,7000,VAN,CGY,16.5,6.4
Martin Jones,6800,SJ,LA,16.3,-8.0
Thomas Greiss,6700,DET,NSH,17.2,4.0
John Gibson,6700,ANH,VGK,15.4,36.8
Jon Quick,6700,LA,SJ,15.7,0.0
Matthew Murray,6600,OTT,WPG,15.3,-2.4
