Player Name,Likes,Inj,Pos,Salary,Team,Opp,Rest,Line,PP,GS,L5 TOI,L40 TOI,S TOI,L5 SOG,L40 SOG,S SOG,L5 FP,L40 FP,S FP,Floor FP,Ceil FP,Proj FP,Proj Val,Actual FP,Actual Val
Patrick Russell,,,W,3000,EDM,@WPG,n/a,,,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Dal Colle,,D,W,3000,NYI,@NJ,n/a,L3,,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.3,0.0,0.0
Bobo Carpenter,,,W,3000,NYI,@NJ,n/a,,,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Fontaine,,,C,3000,NYR,@PIT,n/a,,,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Backes,,,W,3000,ANH,COL,n/a,,,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Newell,,,C,3000,NYR,@PIT,n/a,,,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nico Sturm,,Q,C,3000,MIN,SJ,3,,,2.94,9.1,9.1,9.1,2.3,2.3,2.3,4.4,4.4,4.4,-0.7,9.5,0.0,0.0,0.0,0.0
Patrick Marleau,,,W,3000,SJ,@MIN,1,L4,,2.56,11.3,11.3,11.3,0.4,0.4,0.4,2.6,2.6,2.6,-0.6,5.7,4.4,1.5,3.2,1.1
Mason Jobst,,,C,3000,NYI,@NJ,n/a,,,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kasper Bjorkqvist,,,W,3000,PIT,NYR,n/a,,,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Justin Dowling,,D,W,3000,DAL,NSH,n/a,L4,,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.7,0.9,1.6,0.5
Lean Bergmann,,,W,3000,SJ,@MIN,n/a,,,2.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Walker,,,W,3000,STL,LA,n/a,,,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael McCarron,,,W,3000,NSH,@DAL,n/a,,,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Michael Amadio,,,C,3000,LA,@STL,0,L4,,2.37,11.7,11.7,11.7,1.3,1.3,1.3,2.8,2.8,2.8,0.8,4.8,4.7,1.6,3.2,1.1
Vitali Kravtsov,,,W,3000,NYR,@PIT,n/a,,,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Agozzino,,,W,3000,ANH,COL,n/a,,,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jack Kopacka,,,W,3000,ANH,COL,n/a,,,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Johan Sodergran,,,W,3000,LA,@STL,n/a,,,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riley Tufte,,,W,3000,DAL,NSH,n/a,,,2.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andrew Ladd,,,W,3000,NYI,@NJ,n/a,,,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Max Jones,,,W,3000,ANH,COL,1,L1,,2.38,12.5,12.5,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.9,2.0,1.6,0.5
T.J. Tynan,,,W,3000,COL,@ANH,n/a,,,3.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacob De La Rose,,,W,3000,STL,LA,n/a,,,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Martin Frk,,D,W,3000,LA,@STL,n/a,,,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kieffer Bellows,,,W,3000,NYI,@NJ,2,,,3.05,8.8,8.8,8.8,0.5,0.5,0.5,1.2,1.2,1.2,-0.3,2.7,0.0,0.0,0.0,0.0
Michael McLeod,,,C,3000,NJ,NYI,2,L4,,2.45,12.3,12.3,12.3,1.0,1.0,1.0,1.6,1.6,1.6,0.3,2.9,3.4,1.1,1.6,0.5
Bryan Little,,D,C,3000,WPG,EDM,n/a,,,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Quinton Byfield,,,C,3000,LA,@STL,n/a,,,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marco Rossi,,D,C,3000,MIN,SJ,n/a,,,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ross Johnston,,,W,3000,NYI,@NJ,2,L3,,3.05,8.5,8.5,8.5,0.3,0.3,0.3,1.2,1.2,1.2,-0.3,2.7,2.8,0.9,0.0,0.0
Fredrik Handemark,,,C,3000,SJ,@MIN,5,,,2.56,9.7,9.7,9.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Sorensen,,,W,3000,SJ,@MIN,1,L4,,2.56,11.5,11.5,11.5,1.2,1.2,1.2,5.9,5.9,5.9,-0.4,12.2,5.2,1.7,4.8,1.6
Alex Turcotte,,D,C,3000,LA,@STL,n/a,,,2.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Patrick Khodorenko,,,C,3000,NYR,@PIT,n/a,,,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Samuel Blais,,,W,3000,STL,LA,3,,,3.13,6.3,6.3,6.3,1.0,1.0,1.0,2.4,2.4,2.4,1.3,3.5,0.0,0.0,0.0,0.0
Tanner Kaspick,,,C,3000,STL,LA,n/a,,,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Philip Tomasino,,,C,3000,NSH,@DAL,n/a,,,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rem Pitlick,,,C,3000,NSH,@DAL,n/a,,,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Thomas Novak,,,C,3000,NSH,@DAL,n/a,,,2.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mathieu Olivier,,,W,3000,NSH,@DAL,1,,,2.73,10.7,10.7,10.7,1.0,1.0,1.0,3.2,3.2,3.2,1.6,4.8,0.0,0.0,0.0,0.0
Trevor Zegras,,,C,3000,ANH,COL,n/a,,,2.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyler Benson,,,W,3000,EDM,@WPG,n/a,,,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cole Smith,,,W,3000,NSH,@DAL,9,,,2.73,6.0,6.0,6.0,1.0,1.0,1.0,1.6,1.6,1.6,1.6,1.6,0.0,0.0,0.0,0.0
Jake Elmer,,,W,3000,NYR,@PIT,n/a,,,3.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cooper Marody,,,C,3000,EDM,@WPG,n/a,,,3.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Otto Koivula,,,C,3000,NYI,@NJ,n/a,,,3.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brett Seney,,,W,3000,NJ,NYI,n/a,,,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Merkley,,,W,3000,NJ,NYI,n/a,L3,,2.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,2.2,0.0,0.0
Nolan Stevens,,,C,3000,STL,LA,n/a,,,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Austin Poganski,,,W,3000,STL,LA,n/a,,,3.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
William Bitten,,,C,3000,MIN,SJ,n/a,,,2.94,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
