Player Name,Salary,Team,Opp,Proj FP,Actual FP
Philipp Grubauer,8400,COL,ANH,22.0,1.6
Laurent Brossoit,8300,WPG,EDM,15.2,11.2
Kaapo Kahkonen,8200,MIN,SJ,0,8.8
Ilya Sorokin,8100,NYI,NJ,21.6,17.6
Tristan Jarry,7900,PIT,NYR,17.4,23.2
Anton Khudobin,7900,DAL,NSH,18.8,16.0
Igor Shesterkin,7700,NYR,PIT,16.8,0.8
Mikko Koskinen,7600,EDM,WPG,18.1,28.0
Juuse Saros,7400,NSH,DAL,18.1,3.2
John Gibson,7300,ANH,COL,16.1,33.6
Ville Husso,7300,STL,LA,20.1,3.2
Martin Jones,7000,SJ,MIN,15.0,20.8
Scott Wedgewood,6900,NJ,NYI,0.0,42.4
Jon Quick,6800,LA,STL,14.2,22.4
